,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,12.101259115471901,-0.23807476134980696,0.12806025044341365,-1.8594310076337393,0.0629660700583172,0.0786354563900781
A1BG-AS1,77.9560814756346,-0.031396400421344624,0.09769765930385367,-0.326320359480007,0.7441819859363108,0.7722366043776439
A2M,60702.28937845819,0.3899227125889055,0.10129641547882265,-13.259452338482,3.977901286820076e-40,5.0469051038988506e-39
A2M-AS1,126.64496062610753,-1.578078950283116,0.10989939652564922,-14.425079298372252,3.59856071640876e-47,6.125044439124116e-46
A2ML1,464.1038171572748,2.8023964259369976,0.3025431727299942,9.488768771620977,2.3377910075627987e-21,1.1996530516726253e-20
A2MP1,23.61517249644813,-1.422873034485728,0.17583145844719586,-8.214427168245296,2.1317943546284459e-16,8.211741785513448e-16
A4GALT,1069.2626282898304,-0.4202014061328492,0.11805248044366305,-3.6591555139293965,0.0002530477521355764,0.00040979182630171537
AAAS,2019.3665812274196,-0.21449654069700433,0.0469009983565041,-4.5850954806479525,4.537790199377835e-06,8.505370728601213e-06
AACS,4061.666269248154,-0.6719049170114728,0.12427742934769508,-5.0933650384257385,3.517634812611111e-07,7.202978028309331e-07
AADAC,168.28423671567194,-4.282211012712949,0.3471268147422447,-12.512635688017673,6.367576279993885e-36,6.787571895564702e-35
AADACL2,3.9145215580417916,-1.0062149354026066,0.1490467480687508,-8.098595373416963,5.559736794038265e-16,2.0838157803936968e-15
AADACL2-AS1,12.699778981084103,-1.3547557918553932,0.2137350968529789,-6.480456912001019,9.144526697007544e-11,2.4240462459550737e-10
AADACL3,6.23127372450553,-4.826444480362993,0.4372018648723678,-10.822519525160637,2.6927146909534136e-27,1.8955474973688633e-26
AADACP1,13.97603838999316,-2.749144457037844,0.19471965458843868,-14.053656239538634,7.315736969117683e-45,1.1325540626244176e-43
AADAT,280.83548973430214,-0.2049933202822395,0.1558351474163535,-1.3451615310122351,0.1785730761987424,0.20884611306227155
AAGAB,4050.967063938493,0.7044376792789567,0.06625026841104718,10.372242522888001,3.3164894635507784e-25,2.1002530521327303e-24
AAK1,3235.2074803499113,-0.2465380507319806,0.06428282152436977,-4.292066140636681,1.7701819911315002e-05,3.158882680156737e-05
AAMDC,447.6722178436514,-1.012368172109363,0.11919650868905528,-8.628982894425281,6.1899947768955724e-18,2.6198298446078727e-17
AAMP,6252.478514745575,-0.04325583024448996,0.07028644127291636,-0.3086180849318174,0.7576120622068238,0.7844767300786979
AAR2,3438.296974329716,-0.28307254481190597,0.056127552942269,-4.855835150419196,1.1988040434837583e-06,2.3543099425271284e-06
AARD,2027.2598166785535,0.9085693569828706,0.224933145250822,4.351436705302194,1.3524836659926972e-05,2.4353531329897867e-05
AARS1,8764.84624304609,0.3481377273842359,0.07937331801364762,4.758324491869347,1.9520651527907333e-06,3.7725457684503394e-06
AARS2,1151.1805307773434,-0.18349888298704334,0.06723103741835097,-2.7534906929874094,0.005896344668069195,0.008314768757093296
AARSD1,52.128509256486,-0.4370281333823439,0.12206781682127865,-3.640836133945025,0.00027175406370644596,0.00043921536791738055
AARSD1P1,13.546244577500113,-0.4503474869777916,0.12498975512872859,-3.6374356756338115,0.0002753659313028721,0.0004448575411227372
AASDH,1067.5102066661677,-0.4002859995446902,0.05603044287604054,-7.213997990086529,5.433255807100889e-13,1.683432353649954e-12
AASDHPPT,2206.758341925559,0.2641182120874046,0.06729680274444906,3.8365956403501906,0.0001247516259077986,0.00020764660284555245
AASS,1371.494603675599,-1.6890393400261394,0.10599587157082892,-16.199738874924705,5.0641652719696085e-59,1.3836202047524885e-57
AATBC,145.40190969542292,0.2764314637606093,0.17496521108129034,1.6402567357199562,0.10095179713185823,0.12270064821245953
