,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,11.233884500321842,-0.17353172389028476,0.2536089069927162,-0.6531292239886854,0.5136729734647969,0.5783895007628389
A1BG-AS1,78.39060434317894,0.015219198029653403,0.19006875264205247,0.14606895656784583,0.8838669526031642,0.9070843509239883
A2M,59181.758930842465,0.25292496316850416,0.2100531988418246,-6.786885145983542,1.1458035161275448e-11,7.86321376440883e-11
A2M-AS1,132.68270059231804,-1.8832820987114316,0.194843760527307,-9.752172842836714,1.8056151481039512e-22,4.2872446708881396e-21
A2ML1,120.06997420122376,0.3007790760874298,0.4591759938975595,0.84032485993157,0.40072626643150044,0.4677990404011795
A2MP1,20.756218181474228,-2.391598219540153,0.24157554764014239,-9.657832306362394,4.553977960596411e-22,1.032505790079818e-20
A4GALT,970.0072145391291,-0.5344090271668884,0.21892984828503873,-2.624240725011963,0.008684238298237583,0.015216960255455311
A4GNT,7.637665278605838,-2.538207631122649,0.4675600238446501,-5.536383785648803,3.087805601475333e-08,1.310255609408435e-07
AAAS,2139.2386485334205,-0.2561970114286832,0.08108009850992517,-2.8224527306989384,0.004765784695960362,0.008807370386510567
AACS,3521.9142948992962,-0.14000829142700716,0.21344020443464876,-0.6957821561895702,0.48656526563212854,0.5523387461654619
AADAC,244.57193113251444,-6.023230883982769,0.8141348221140781,-7.690520172758038,1.4653802140779672e-14,1.4243126534225209e-13
AADACL2,2.654281895010867,-0.1814253925653898,0.20873560247711295,-2.304411098310194,0.021199577592106594,0.03422183586347756
AADACL2-AS1,10.010207198581442,-1.3883717758454885,0.36967744505203587,-3.8966142282892173,9.754681019139685e-05,0.0002432983871413496
AADACL3,9.29684451016881,-6.21038951088951,0.9669670030916332,-6.433583059440687,1.2463043862570182e-10,7.327591530300787e-10
AADACP1,14.79992023557844,-3.714074058081611,0.39902782187803654,-9.092079644043078,9.716248017346409e-20,1.6714886219013044e-18
AADAT,241.07489222697197,-0.294668721050139,0.24302861988549487,-1.2462173368738527,0.21268461590458965,0.2697984204691169
AAGAB,4302.489777930255,0.7343555411688522,0.12197917905206067,6.135939986716007,8.46571136687406e-10,4.460342002049447e-09
AAK1,3246.6258555163267,-0.43760496265195054,0.11319593372583416,-3.994458630963534,6.484224139074768e-05,0.0001672292086094396
AAMDC,486.92549923026155,-1.0347717397197163,0.23791387933504166,-4.545999890570501,5.467506445146408e-06,1.68022204181878e-05
AAMP,6189.013674725987,-0.13151887335033838,0.15038809146437218,-0.9933940015916426,0.3205179836405614,0.3857964499204284
AAR2,3814.6289046296447,-0.30664989558267564,0.09656049064427547,-3.1543043897115925,0.0016088118901216493,0.0032545265901936598
AARD,2193.263292392283,0.6160612337787184,0.469177443906343,1.7806546527169589,0.07496888555140951,0.10692802892001488
AARS1,8625.96025200143,0.1955532239087355,0.1389305143876576,1.8600177333881394,0.06288301706917394,0.09146395354203721
