,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,12.101259115471901,-0.04821621013484231,0.12761340432039878,-2.2096667361180278,0.027128299951208704,0.035187094578312775
A1BG-AS1,77.9560814756346,0.14761743953855508,0.09768912897673682,-0.7153138461357089,0.47441513470467667,0.5116859738978132
A2M,60702.28937845819,0.728273490119515,0.09555091219915345,-12.297480016564784,9.344412154901483e-35,8.513712040099262e-34
A2M-AS1,126.64496062610753,-1.3934719588603615,0.10997733972084929,-14.516915567509017,9.467544730718226e-48,1.5112474148614285e-46
A2ML1,53.596240241192724,3.070004442861656,0.04059368457367641,-10.032638260159471,1.0954961518483231e-23,5.887091783885974e-23
A2MP1,23.61517249644813,-1.2047235002107268,0.17584665572951158,-8.426838246610865,3.551302265187978e-17,1.335580047807322e-16
A4GALT,1069.2626282898304,-0.23033720024015172,0.1178000670226452,-2.6907649355907712,0.007128840560083582,0.00986128731151107
AAAS,2019.3665812274196,-0.09635406193954481,0.046913421391328806,-5.807166855355763,6.353880887934445e-09,1.435410094986091e-08
AACS,4061.666269248154,-0.5232524855037685,0.1243882652139982,-5.431741255480866,5.58068014848429e-08,1.1798419360078451e-07
AADAC,168.28423671567194,-4.185250714829447,0.3484513124415708,-12.673761536882468,8.265381122026275e-37,8.263883770373734e-36
AADACL2,3.9145215580417916,-0.8683940593526263,0.14849218366048822,-8.402124181306231,4.384737899116549e-17,1.6406351501846936e-16
AADACL2-AS1,12.699778981084103,-1.2560631222421643,0.21353181944573862,-6.793764380395225,1.0924475507012092e-11,2.9547748259348066e-11
AADACL3,6.23127372450553,-4.653096346023689,0.4381045246799182,-10.794852263668758,3.640475385742611e-27,2.3315095623920475e-26
AADACP1,13.97603838999316,-2.625835328580042,0.19428375228937667,-14.390862846641555,5.905452593348418e-47,9.084931808415308e-46
AADAT,280.83548973430214,-0.00933419952869044,0.1556961065293364,-1.1758237783213978,0.23966530237401085,0.27311848106590253
AAGAB,4050.967063938493,0.8113794936451242,0.06622260975790739,10.247020119354266,1.2204826044547328e-24,6.868053524329005e-24
AAK1,3235.2074803499113,-0.14720300555048216,0.06415054751966347,-5.065939725879185,4.0639049976290705e-07,8.090428959117987e-07
AAMDC,447.6722178436514,-0.6974304511102114,0.11888678913251426,-8.647139844355186,5.280624263105405e-18,2.0854214889501777e-17
AAMP,6252.478514745575,0.1146701714893346,0.07022775868387361,-0.6210404646047518,0.5345729994401374,0.5705711312243108
AAR2,3438.296974329716,-0.07436485070154855,0.05596154662757132,-6.115289081571276,9.638208324504465e-10,2.2890799400359603e-09
AARD,2027.2598166785535,1.4151077412332091,0.22956082299567074,3.842252735821039,0.00012191020628589255,0.00020005126841354074
AARS1,8764.84624304609,0.5614174069332858,0.07928949114798327,6.437785523663755,1.2122913373637856e-10,3.0498625143752626e-10
AARS2,1151.1805307773434,-0.049349449974973196,0.06726582566792967,-3.452023747791265,0.0005563987540119328,0.000861123029554643
AARSD1,52.128509256486,-0.2705150343434803,0.12191021310887257,-3.6405388147236915,0.000272068087170527,0.00043328344339752954
AARSD1P1,13.546244577500113,-0.2881732928640371,0.12491202750885398,-3.5966661875697246,0.0003223216865652448,0.000509821132952235
AASDH,1067.5102066661677,-0.28984517375735025,0.05597411751903625,-7.747407809019658,9.378737799285054e-15,3.071884505296986e-14
AASDHPPT,2206.758341925559,0.40849954274276257,0.06727560945958957,4.812168893266394,1.493010964777194e-06,2.840619672362435e-06
AASS,1371.494603675599,-1.5327883826088562,0.10561481608388168,-16.04396381977147,6.300165976385095e-58,1.4764592791367023e-56
AATBC,145.40190969542292,0.37424773016714025,0.17539580032813581,1.2455359089503495,0.21293482447764922,0.24465229442950892
AATF,3042.6976328866144,0.45261791159133696,0.06663791739196348,4.4262027906972286,9.59063679800689e-06,1.7218843359856872e-05
AATK,275.7711560203943,-0.141242815476414,0.10887009788550893,-2.8106085143261392,0.004944791130906492,0.006966254563234953
ABAT,3261.8399757141956,1.1292815275777317,0.16356897317091149,4.847846141496161,1.2480913726193035e-06,2.38821748651675e-06
ABCA1,4557.742854932929,-1.1387958963988458,0.12473721186036953,-9.416695351016877,4.655084307834877e-21,2.1813976051743313e-20
ABCA10,674.924392081621,-3.3877843585191356,0.17173941050113958,-20.84018790557738,1.871029833375107e-96,2.0447947822568743e-94
ABCA11P,62.21738554003794,-0.15477279769531344,0.09862407338967702,-2.6181807516822024,0.008839996597333777,0.012104687066290813
ABCA12,1493.6877716846632,1.409474819912998,0.28804060910845225,4.333263972235545,1.4691477648854268e-05,2.601500445785729e-05
ABCA13,45.646253178468626,1.3748480973277921,0.1081297767755106,-7.0288736036565345,2.082074777320328e-12,5.889785082537616e-12
ABCA17P,46.90905352548385,0.3708870748299962,0.1253610332367909,-0.2511881072953596,0.8016686788709231,0.8235673020966308
ABCA2,4003.6770780981583,-0.17217664399649207,0.08656902972458434,-3.653491921051817,0.00025869793194020985,0.00041264563190116134
