,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,12.101259115471901,0.21693270657104982,0.12734911035289972,1.7374563345863168,0.08230665501707808,0.10323873387255772
A1BG-AS1,77.9560814756346,0.4208319394646539,0.0977060146264588,4.359760514203707,1.3020486185581544e-05,2.4496356999565212e-05
A2M,60702.28937845819,-0.26526253048459947,0.09839107659019498,-11.738713421698925,8.070481544922531e-32,7.3288338373389465e-31
A2M-AS1,126.64496062610753,-1.1963874597771824,0.10973360413662205,-11.021924146878577,2.9958565600118386e-28,2.2829316333731914e-27
A2ML1,371.9817127753737,3.397817619699548,0.2938774091747469,10.548439401055505,5.164780281672695e-26,3.4750895915332647e-25
A2MP1,21.71532799904347,-0.9564411251768787,0.15073353136573395,-8.830157163588499,1.045287435285151e-18,4.7074184866085256e-18
A4GALT,1069.2626282898304,-0.3625426885217177,0.11799786864643261,-3.164823892505266,0.0015517684259560441,0.002405339121710829
AAAS,2019.3665812274196,0.15071364698917517,0.04687270143372818,3.1165150282561362,0.0018300235268144944,0.00281412645430181
AACS,4061.666269248154,-0.22632714905559911,0.12503558344031387,-1.974836960118924,0.048286653213437676,0.06267130086071199
AADAC,168.28423671567194,-3.931006928267662,0.34711762006200747,-11.534282454996708,8.862303221335962e-31,7.657307472180536e-30
AADACL2,8.882970765305343,-0.3079071909795825,0.33561953510563375,-3.3087680933566395,0.0009370742078418537,0.001490299705519542
AADACL2-AS1,12.699778981084103,-0.9958140335086936,0.21316052202738162,-4.876398155038825,1.0804042876916812e-06,2.216018308564671e-06
AADACL3,6.23127372450553,-4.8432125039214675,0.4369917963227516,-10.979557060673292,4.79267946613372e-28,3.6110304400808194e-27
AADACP1,13.97603838999316,-2.3298600937457574,0.194294420859716,-12.275725835512505,1.2229014477478115e-34,1.2782562670682144e-33
AADAT,250.68581259613927,0.1290578858963541,0.13447243869629052,-1.438450010955873,0.15030641143761542,0.18107308807076658
AAGAB,4050.967063938493,0.994763395018179,0.06644132149377908,14.973400147683977,1.0957295824301516e-50,2.3599342694368807e-49
AAK1,3235.2074803499113,0.09628216969923642,0.06413522459198234,1.4377640137022611,0.15050102315937436,0.1812877496189419
AAMDC,420.86078498138903,-0.2888285527108929,0.10027899468386497,-5.005873011149846,5.560941115373187e-07,1.167506762367841e-06
AAMP,6252.478514745575,0.3141654930537886,0.07045057386580919,4.113496577143608,3.897108221549511e-05,7.03685269907795e-05
AAR2,3438.296974329716,0.32082487051843744,0.056140821767303596,5.849970256824482,4.916609234638868e-09,1.2109680404316374e-08
AARD,2027.2598166785535,1.9767206997051447,0.22680297190798632,8.956889613714846,3.339657521092719e-19,1.5469215156450453e-18
