,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,14541.302901071957,-0.6332778237803477,0.2767138020724368,-4.360548648619112,1.2973673273744693e-05,4.33028285106776e-05
A2M-AS1,31.897420133262543,-1.0865630566373157,0.2695637820649958,-4.289069901049969,1.7942290256691514e-05,5.828819699606271e-05
A2ML1,48585.368727518115,-0.07830961955821303,0.4312162501678187,-6.132391756172114,8.656760829900096e-10,6.39577043631295e-09
A4GALT,4064.416405952699,-0.1426898910538964,0.2115535666621297,-0.32473616162297186,0.7453807636011165,0.7988559541859428
AAAS,1743.3858225984516,-0.1224610374344625,0.0653912294492062,-1.90821549708,0.05636336946681343,0.08761778862797719
AACS,3713.3882824313146,-0.4850027403393064,0.12499891260666383,-4.212800312603566,2.522240335246145e-05,7.966955221054429e-05
AADAC,578.5853426998674,-1.9929494089322364,0.5625388380583721,-4.105283959149482,4.0381852895401086e-05,0.0001225493947064551
AADACL2,199.36361460032305,-2.3960126797203807,0.5785194025236255,-4.647568636732659,3.358703539318313e-06,1.267707765830627e-05
AADACL3,0.04810250171205504,-0.16647931270391245,0.735255895655695,-0.10699848807472083,0.9147901792116897,0.9366693755561145
AADACP1,84.26341938528721,0.09816216253192903,0.3714226455769727,0.3220792302510248,0.7473926724598694,0.8001889619635436
AADAT,118.855081722261,-0.11670873346148455,0.22463754990732143,-0.5611130942819539,0.57472044219836,0.6477159487768895
AAGAB,2912.832760464522,0.15010432248613317,0.10465970438909036,1.450570198832784,0.14689957864958433,0.20326333268205124
AAK1,2691.3210977795966,0.30320538373529254,0.08242343313594001,3.777371517162615,0.00015849222097237607,0.0004292944088948429
AAMDC,149.02623726239955,-1.0713612312836618,0.15132566531888972,-7.232504924233576,4.741654433383664e-13,6.148804329962915e-12
AAMP,6557.230724164898,-0.16343429209372623,0.08790967857689067,-1.8306049758098433,0.06715952534237174,0.10217454415343208
AAR2,2340.9764680712,-0.011534210751116122,0.06936226993935321,-0.054462981016847066,0.9565663016627297,0.9681990888271615
AARD,35.20884482631679,-3.74123753235851,0.5480258609190691,-7.141178952046216,9.2533787570338e-13,1.1340650702541973e-11
AARS1,7295.556970404882,0.3224129231537726,0.08666593170325614,4.176494662290116,2.9603568597687987e-05,9.202016369752785e-05
AARS2,1151.0701199730463,-0.44299820480915303,0.10053954575938884,-4.445616462615059,8.764018585828476e-06,3.0217686324394478e-05
AARSD1,13.309527995893571,0.0625347722148442,0.2420843155009293,0.2805013372719243,0.7790928996355191,0.8273824690569948
AASDH,571.4846798468947,-0.32862368630564387,0.08318222385674545,-3.976957826946789,6.9802538618943e-05,0.0002034572782054847
AASDHPPT,1716.7688837212102,-0.1614239192304656,0.09789943916302209,-1.6396402012863565,0.10107999915927564,0.1464376105009124
AASS,713.1234496715126,-0.7663391049058501,0.17090088959698221,-4.727536024013121,2.2726075360590012e-06,8.816227745396711e-06
AATBC,229.4358045812983,0.04053307976464727,0.21787435065683725,0.20006658980062847,0.8414285025585653,0.8768363975311865
AATF,3704.3669787593785,0.46399985078483935,0.08502954032028377,5.5818343619958615,2.3799498330155007e-08,1.3415979830699932e-07
AATK,199.6203897292743,-0.04566587514798277,0.17285041718790645,-0.2776580899177871,0.7812748353538259,0.8289109571726564
ABAT,960.4192663161161,-0.27318920919371914,0.26534304985818435,-1.0958104333445775,0.27316174166445506,0.3478714195651472
ABCA1,2595.192053845791,0.44086846030799864,0.16979377032932566,2.6462504473097597,0.00813895332967698,0.015513561657699092
ABCA10,74.4657550117671,-0.7677939954946231,0.2949993985602311,-2.8780295433840273,0.004001676611646459,0.00818243898633703
ABCA12,2710.757894818057,0.5346894839035325,0.3731008358702072,1.7711109555252293,0.0765422525540876,0.11473994996260292
