,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,14541.302901071957,-0.8655262964404585,0.2608120588168554,-3.343783838558158,0.0008264410422233347,0.002034446416509826
A2M-AS1,31.897420133262543,-0.5341431013242018,0.26421038643495987,-2.2019027906221984,0.02767217583657393,0.047430654947047686
A2ML1,48585.368727518115,0.22061600074249924,0.4207286261121957,-5.052144600897029,4.368767470328627e-07,2.0131578958531412e-06
A4GALT,4064.416405952699,0.08943920535812866,0.2135392515861864,0.6327655869205117,0.5268867325570846,0.6047565261688292
AAAS,1743.3858225984516,0.12866734089290482,0.06549044001358245,2.0721432452889292,0.03825208438073026,0.06319035663787463
AACS,3713.3882824313146,-0.3052711835144592,0.12477376626260318,-2.6172351156011047,0.008864525920240791,0.01714085828813149
AADAC,578.5853426998674,-0.582305330205156,0.520933935931165,-1.523956672268994,0.1275195349822081,0.18098614211287634
AADACL2,199.36361460032305,-1.5520793512684363,0.5797820896229989,-3.2505667377798733,0.0011517523252907633,0.002736264177694725
AADACL3,1.5741655728101873,-6.523524632032636,0.8993527928565078,3.094603373166435,0.001970762450074166,0.004434286352438623
AADACP1,84.26341938528721,1.0432001182665935,0.3995250092013265,2.9960596270307858,0.0027349294930859454,0.005945944934329253
AADAT,118.855081722261,-0.0764206370574114,0.22499559543532066,-0.36540360003766026,0.714810154329774,0.7722515778465057
AAGAB,2912.832760464522,0.3424807060564633,0.10512193190435594,3.418812723858423,0.0006289499831962779,0.0015839134674989624
AAK1,2691.3210977795966,0.6283438479796332,0.08236762500121503,7.6714324282952155,1.7008607464745042e-14,2.7582144892828514e-13
AAMDC,149.02623726239955,-0.7813507802739845,0.15068557043080436,-5.32356688210956,1.01752016566316e-07,5.2655995609996e-07
AAMP,6557.230724164898,-0.10008597972970766,0.08806618898642762,-0.7616620643759392,0.44626172218395066,0.528536266590225
AAR2,2340.9764680712,0.43499269521694994,0.06931203975184866,6.2669851737709745,3.6810518656142933e-10,2.886011054358621e-09
