,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,24.79726022627384,0.043111496247436806,0.12380781481187873,-0.2857279445369923,0.7750864999198935,0.7996426655687126
A2M,91887.8748950453,1.444441862836976,0.1062595438448038,2.060753119599377,0.03932659905279245,0.05059174168906494
A2M-AS1,144.37218379120844,-0.3787808779156255,0.09749759186103252,-4.831150787366082,1.3574614539321487e-06,2.647609568122348e-06
A2MP1,13.477883530852406,0.6042887134146179,0.14506651760418618,3.53603070420326,0.0004061874808901206,0.000645863984501003
A4GALT,3067.998904939274,0.46960680969308255,0.11485564905224392,3.7824194815156935,0.00015531134028226018,0.00025656520481497097
A4GNT,32.0893660896631,1.1110116028325137,0.21362532458861982,5.270320752754454,1.361855626211242e-07,2.8714545338581604e-07
AAAS,1910.7615597525084,0.05353670090341079,0.04866055352824772,-0.8659664170686816,0.38650857858541143,0.4267176553270038
AACS,2088.1243444683914,-0.7903765843305839,0.09358026890744235,-9.906319678651327,3.907764531763613e-23,2.187651395264284e-22
AACSP1,82.82972296633417,1.2291724200880434,0.18089649711657588,5.8710607328352165,4.330155932687909e-09,1.0107212213557997e-08
AADAT,328.5178516775875,-0.44324094269910064,0.10156401221412398,-4.748874908487666,2.045514089508971e-06,3.934811142288779e-06
AAGAB,2641.206285230142,-0.8780629380588187,0.05901558184499365,-15.807988013186453,2.740810020669894e-56,8.50304791932188e-55
AAK1,4489.438415812305,-0.6365003087021676,0.07268655568762548,-9.819575114665831,9.273356745032832e-23,5.072907770615587e-22
AAMDC,380.6094447487262,0.14264792370837176,0.06482186235682107,1.3030912426460548,0.19254361303383405,0.22420945948968296
AAMP,7111.712011899387,0.0029349576682002943,0.06268378782000768,-1.1815835263703927,0.2373709932388488,0.27236866976703894
AAR2,2960.2466839157255,-0.05915564866186935,0.0407091524384528,-3.8298577303297154,0.00012821736603185472,0.0002134338622309055
AARD,58.845216982650214,-0.7098141294224134,0.25178164352355814,-3.125468126330095,0.0017752230698874136,0.002658163733408953
AARS1,9927.648126975517,-0.2307535855383371,0.06108945676533746,-5.054623842242674,4.3123985955044484e-07,8.756058738179454e-07
AARS2,1349.1691784554307,0.3597307519257205,0.06160338727038283,5.091530933238998,3.551839109450143e-07,7.262805077722497e-07
AARSD1,18.06871331678613,0.5453327039910342,0.1643239788498271,3.0011203096617223,0.002689882648618275,0.0039571413614982965
AASDH,835.422715718302,-0.5350358951896651,0.05932794634796457,-9.667732373053028,4.1343711520622297e-22,2.1760414176359903e-21
AASDHPPT,2852.453632683493,0.0737361885443248,0.060950355795977705,0.3818560729291271,0.7025681243705717,0.7329973138305632
AASS,1557.2222261695306,-1.313892161457168,0.12842211888134958,-11.38395122039205,5.0269390664499485e-30,4.0723126040533816e-29
AATBC,20.85680435458151,1.056201480971697,0.0728265039882515,-1.1461585660847815,0.25172954841654105,0.2877563747544805
AATF,3268.0450434214968,0.4306864635450177,0.050672601486022026,7.702402172715919,1.3353183970400251e-14,4.437496957754726e-14
AATK,249.66539298132693,0.6705425233509626,0.12015726905395709,5.217503592884217,1.813507071560944e-07,3.7921434470313867e-07
ABAT,6864.724536854235,-3.0123705299978414,0.22896199847467327,-12.383560798678403,3.2078795416442086e-35,3.4444984866086484e-34
ABCA1,5258.10549671916,1.8368513969448919,0.111083028130322,16.63738633153548,3.735715879776329e-62,1.5151697524856732e-60
ABCA10,75.65683467603152,-0.6457643663451588,0.17164143595657044,-4.27250695442198,1.9328752339559712e-05,3.443513097786362e-05
ABCA12,401.4135077262913,2.632144822932574,0.2527874218615396,10.209137633563648,1.8046154892301415e-24,1.0918223479857179e-23
ABCA13,135.6459549609589,-4.438798167178976,0.3263551475191711,-14.149031015128308,1.8934832497746386e-45,3.462070628679312e-44
ABCA17P,97.69734100454737,2.141787720339798,0.23780603180670865,8.354142218630473,6.590989893742067e-17,2.5445943810671356e-16
ABCA2,4790.069986105487,0.13270347862718318,0.10184843133601619,1.676465712903636,0.09364700676141795,0.114587491778014
ABCA3,3800.7494688409247,0.48657872310948874,0.10895100763854627,3.8172943519311957,0.0001349231654049638,0.00022406399463704136
ABCA4,1420.2734027548763,-5.768596056018621,0.2908770436127367,-19.887032751725997,5.270263715616048e-88,6.484917062505665e-86
ABCA5,1719.107157132725,-0.3497807841340979,0.08464096154015938,-4.942274110421494,7.721654695947354e-07,1.5343050045597082e-06
ABCA6,269.9403583673406,-0.3620067083258359,0.10835755559588012,-7.224870395494606,5.015799634843237e-13,1.5160618614129491e-12
