,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,80.25885940894536,-1.0160693245728678,0.2497743398658622,-4.774850520022137,1.7984078626586022e-06,6.617706274073043e-06
A1BG-AS1,23.471272987192375,-0.11230826376747645,0.1872483318519344,-1.2782592570500881,0.20115802850367825,0.26314896064784976
A1CF,11215.482906935667,-0.8335461147437239,0.16270461576226572,-5.388402738685708,7.108661515807764e-08,3.300214978697359e-07
A2M,170802.39121258675,1.2968446565987466,0.17306660272520788,-2.8731983727070562,0.004063388833242164,0.008094498409397825
A2M-AS1,74.81852097522878,-0.6317207737116952,0.15771160367615975,-4.810865957142328,1.5027777862761413e-06,5.610984631394955e-06
A2MP1,8.459034805674099,-0.2318449242069527,0.08881542662053257,-4.997758120779808,5.800067307198896e-07,2.324935301418796e-06
A4GALT,259.80981240905044,1.2378252491512634,0.1927224448217522,6.130584917356831,8.755656825731276e-10,5.562647548150884e-09
AAAS,1281.1545129259016,0.15120606774889905,0.06937266603405876,0.5313726566880413,0.5951605656609791,0.6582783917526767
AACS,528.03486992634,0.8507649224740305,0.1597074711722086,4.511779830460811,6.4285899360865215e-06,2.1468921972218445e-05
AADAC,16663.462829705895,0.6907770100716919,0.22458819615837478,-3.7193565031549585,0.00019973097950362604,0.0005118444037414835
AADACP1,237.06296825473007,-0.7766541636683256,0.24646168830098955,-4.240206687910709,2.233140656502664e-05,6.780540326688644e-05
AADAT,1339.0638805276328,-2.079995259911625,0.26878543637637803,-8.49465525390977,1.9852126914564592e-17,3.6127904818266317e-16
AAGAB,992.2683271576395,0.28774491889326,0.059836237916217484,3.117764065216841,0.001822286187745348,0.0039021229335402877
AAK1,893.8223153740092,0.7044401064167831,0.1170139816592056,5.064324196628588,4.0985165911714e-07,1.681210125394629e-06
AAMDC,230.03682378156284,-0.3242983746528355,0.11180053096884042,-3.7455472709568873,0.00018000094815051002,0.000464072598709177
AAMP,4367.717177794002,-0.23866364841321033,0.06567266203508414,-5.392122109615917,6.963042226158539e-08,3.241435873340306e-07
AAR2,1650.7833617483855,-0.2078861016728517,0.059292666344008,-6.4898067997361135,8.59465170891534e-11,6.36369956319689e-10
AARS1,6933.210174455527,0.322892663043798,0.09830706104847348,3.4847913585455053,0.0004925209223726431,0.0011736258759500154
AARS2,757.8239262715241,0.3987526000675159,0.08550752877733284,1.9374765609578783,0.05268711583809024,0.08131975916646586
AASDH,321.2982775299795,-0.29944491901168613,0.08530394072986032,-4.758820332027428,1.9472766774463842e-06,7.127057717067126e-06
AASDHPPT,1142.960266043272,-0.37535010086132636,0.07416611858523343,-6.350500240045018,2.1461587602209984e-10,1.4894708660679066e-09
AASS,3329.5482863548505,-0.6497224629074846,0.2572330623126672,-3.822051408246737,0.00013234608961705744,0.0003506472219002584
AATF,1753.0606735237534,0.35047657516847336,0.06941789092479174,3.6247637825915358,0.00028922568500166677,0.0007215620161885036
AATK,152.6475486593913,0.5849030609119732,0.22260103690009847,1.927072594962136,0.05397058350970563,0.08304515340258982
ABAT,23132.25226386851,-0.7949842832902329,0.20503082064921985,-7.630727166295186,2.334332366704266e-14,2.8307813268234494e-13
