,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,38.451978328272276,-0.4452303614588286,0.14906792280028053,-3.9227058316281287,8.756003367788624e-05,0.00018227120174600927
A2M,92416.71230815841,0.8947591896189763,0.17414753421563206,-6.906189270047566,4.978456695766427e-12,2.22951211104445e-11
A2M-AS1,53.177751559975746,-0.7746256215825229,0.1490463906064311,-6.328076832584497,2.4823553950012586e-10,9.464546718491628e-10
A2MP1,9.511783410616447,-1.18790013479326,0.2189278585409058,-6.12662455708503,8.976294187322237e-10,3.2529224001206136e-09
A4GALT,830.572858492685,0.14412293891104377,0.17450631872913758,0.26070249699180553,0.7943219403119728,0.8248103930662629
AAAS,1181.087469895874,0.11933290045312595,0.06392444818288436,-0.8721652562295138,0.3831182305422698,0.43762871610905585
AACS,1305.547240934005,0.4580893816229698,0.0998906942545387,3.1146905978197448,0.0018413794847935508,0.003202188475265817
AACSP1,8.001383286463813,-0.9447989297270376,0.40063165154585156,-2.9710024429316975,0.0029682941961094926,0.005020151292865777
AADAC,289.7336129136364,-2.009282521950841,0.3481072506736032,-6.197720476557655,5.728676080339518e-10,2.1126956792473986e-09
AADACP1,32.345581773554315,-0.6507882184989064,0.3475627540951476,-2.2715961822180617,0.02311091169718012,0.03396497287149498
AADAT,225.29138936740299,-0.17415925483803002,0.1443545673242241,-2.002119385211377,0.04527189310316639,0.06302152616607859
AAGAB,1715.8983738892773,0.5221173367838773,0.07605175829674714,6.30878236066694,2.812392663601702e-10,1.066547074377926e-09
AAK1,1839.5853440715014,-0.28588788069877985,0.09496930099697964,-5.086098632829524,3.655040224123377e-07,1.007918893677744e-06
AAMDC,192.06359274586,-0.7460429483123373,0.09525999125355819,-10.277202075867626,8.92818500215538e-25,1.1141970333086292e-23
AAMP,3929.654951680797,0.17854169200112838,0.05865988681755901,0.6343482175291588,0.5258535955460563,0.5786215004483756
AAR2,1967.831375212892,-0.32369752590466594,0.063469553390853,-9.257545909246748,2.091846828823334e-20,1.9080645177353594e-19
