,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,171291.38742946574,0.3510662834965533,0.21208182473200027,-16.340591351811987,5.07582162749316e-60,1.8629728470043078e-58
A2M-AS1,99.96448192013509,-0.5874654434698583,0.1477549216298873,-5.303490569874753,1.136090755012585e-07,2.573656804122529e-07
A2ML1,3450.580169455469,7.396659745932991,0.420234959552882,17.322806773086388,3.165349745707235e-67,1.4732444817098385e-65
A2MP1,19.992222061797843,-1.5053487371501144,0.25240327937127416,-6.781165100568926,1.1921054791051163e-11,3.6360644915472625e-11
A4GALT,3003.3249871470207,1.2134103144912376,0.19020478347368644,5.668253982028041,1.4426001707479428e-08,3.5215101941292875e-08
A4GNT,9.239379852628982,-1.9860288937998722,0.27113306743763044,-8.374906089293708,5.526792555287913e-17,2.4559730783270024e-16
AAAS,2365.452713644514,0.4933539375904408,0.05992749721933562,5.603037646628231,2.1062745459419235e-08,5.0617251101882486e-08
AACS,2935.8591355482185,1.0104925455872353,0.12419909449513374,7.301869725817253,2.8379598779764327e-13,9.79090243020923e-13
AACSP1,16.928875320658317,1.67038823324572,0.40138377007927245,4.521968834943416,6.126708178725836e-06,1.1882296483005128e-05
AADAC,740.8184393896108,-0.3285084638967262,0.3752008306108544,-2.2749825497675387,0.02290697666476076,0.030695311643469995
AADACL2,81.72201278350482,3.114879497159518,0.5093953185551229,5.306572236814106,1.1170590436270936e-07,2.5326227022543873e-07
AADACP1,125.6610215959126,1.2970922609084985,0.3280497878936397,2.855053880656573,0.004302952819018978,0.006292674088984994
AADAT,334.47135570024307,0.2526095837712047,0.16241358645725662,1.5612838463245102,0.11845679326853331,0.14387081216333056
AAGAB,3306.295879225959,0.7975866576554859,0.07940145827471962,9.315367755195465,1.2153078743981103e-20,6.828578155095695e-20
AAK1,3767.728511584388,0.18779974435721852,0.09588986889284236,-0.10178035731698067,0.9189310172612177,0.9287498552158344
AAMDC,293.4799330561437,-0.7035371641281652,0.11162747579502903,-7.613233548455135,2.6732210504436894e-14,9.839855025126616e-14
AAMP,6891.756973240344,0.6175137531632359,0.07114223130320302,7.897978356048359,2.8346335537530904e-15,1.109784513133276e-14
AANAT,15.46092591954203,0.40598544107019013,0.2575155484601575,1.1709805186506455,0.24160660789245347,0.27883386881710814
AAR2,3434.8318389749256,-0.2049677601118841,0.07382839820347482,-5.751064774902718,8.86831262252067e-09,2.194277710621594e-08
AARD,230.44832179327761,-2.1894865832024375,0.30179779984380817,-8.023535526788748,1.0274425347433393e-15,4.141041216850863e-15
AARS1,9971.306762710197,0.7319612387618253,0.08482629675194167,8.25977590077637,1.4594621334669124e-16,6.283088867432458e-16
AARS2,1269.8507791911948,0.6186284430768374,0.082430200516109,6.445337518772735,1.1534343729684652e-10,3.2822415636491323e-10
