,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,38999.50743165517,0.887373840589893,0.21094695699880173,-1.2135274562747016,0.2249282236075142,0.30258742676455996
A2M-AS1,152.54204486197744,-0.654029556503504,0.1103550958178158,-6.100473343363228,1.0575481860209508e-09,8.242063766555044e-09
A2ML1,166.46381364923894,-0.10472950557395638,0.23409592130278747,-0.5487459609728608,0.5831798000010127,0.6642236108732954
A4GALT,2093.724067915087,-0.6711443102959047,0.15158880209982306,-4.830572835143671,1.3614080068645604e-06,6.029326009399273e-06
AAAS,2331.781756617405,0.2575963751486646,0.060700937374728516,4.284328968558144,1.8329154291638856e-05,6.586091686925052e-05
AACS,2946.189635392254,0.3994732520640144,0.090350189845558,4.549934217972786,5.36626890101636e-06,2.112518763670697e-05
AADAT,1152.3766023954854,0.6222988850487365,0.14936306881892436,4.355541918076679,1.3273811093346853e-05,4.905726728815546e-05
AAGAB,2942.4579402227755,0.057673361320255336,0.057317548579971504,1.0165585783381723,0.3093634675562963,0.3954376640629104
AAK1,5189.59814426662,0.5053984748877535,0.11502348193123771,4.538942793314028,5.653697032998784e-06,2.2189370354718173e-05
AAMDC,319.8054672082686,-0.414407503091596,0.08069545708611986,-5.225728241700879,1.7347098661916635e-07,8.987733357267513e-07
AAMP,8867.996021252744,0.1549811667749575,0.04977708387688198,3.0407604649798854,0.0023598148523312646,0.0054443930971025
AAR2,3168.1448237591576,-0.09525557502585202,0.046491924612766466,-2.077051753421245,0.03779678285020221,0.0644917710844798
AARD,38.549234129781034,-1.576775136813634,0.2878990371056698,-5.84912781571897,4.9415726652662096e-09,3.432590781740919e-08
AARS1,10624.72421524151,0.2652229931031993,0.07489478232243899,3.726548911205843,0.00019411941673930702,0.0005644989579371377
AARS2,1528.171848992168,0.1773627358445958,0.05798273413808233,3.0810545432549405,0.0020626886019252623,0.004820669166089106
AASDH,910.6599535522264,-0.04710705298251088,0.07985876038483705,-0.4741579869808639,0.6353872504475153,0.7098187279044382
AASDHPPT,1954.8973259386382,-0.0018538313763659716,0.06342713651201838,-0.06299406797668622,0.9497712280098897,0.9636439180134405
AASS,1635.3570538977626,0.21446285464448797,0.09751587955350723,2.237170604762886,0.025275191785562003,0.045129685006251447
AATBC,125.62423753635966,-0.5526473778592919,0.22952737344460247,-2.763194023596393,0.0057238730383921245,0.012045921003664977
AATK,500.3573764712623,-0.0629263233867017,0.14032808408686115,-0.48275307378594884,0.6292710738345475,0.7048084316618678
ABAT,6738.608336524294,0.6522942039809532,0.174056792364271,4.2106488032087945,2.5463833502591426e-05,8.896370327378747e-05
ABCA1,1468.2054355569928,0.31056552231384227,0.1526833636064291,2.157175998644192,0.030991953825144535,0.05406493170984253
ABCA10,57.719276618793465,-0.5852917081728862,0.19285252592429625,-3.3485558559314508,0.0008123390451595876,0.002088285727203182
ABCA12,31.32929764953682,-0.9628679044407508,0.20220864210697728,-5.0624601130124365,4.138806755685355e-07,2.0129465080946135e-06
ABCA13,6.71196562348164,0.19513350885100375,0.11140298362924939,-1.054001939629557,0.2918820291070565,0.3769110866633944
ABCA17P,20.123154719309017,-0.3083268391131813,0.1352768457251311,-2.4069079337498938,0.016088225077460033,0.030306060537058137
ABCA2,5033.11250395746,0.5179536959388541,0.08844613582580695,5.945370058775696,2.7583298775963867e-09,2.0086683435224598e-08
ABCA3,3618.6138807906104,0.7007853158641145,0.10479480166382614,6.83329980037485,8.298327717760252e-12,9.371967516592125e-11
ABCA4,25.32008466097289,-2.1154208886249113,0.049832318874909694,-0.5263537542741592,0.59864244091046,0.6772349072868868
ABCA5,1764.7824881614245,0.0009468332977568569,0.09592146725346508,-0.017201447240851042,0.9862759076295258,0.9898972375412681
ABCA6,121.80783462156083,-0.5121215601908397,0.18138854358219594,-3.1222885525306654,0.0017945095982228611,0.004256589455145051
ABCA7,810.9454397917211,-0.18880390266563432,0.11805188668380528,-1.6979946130188057,0.08950877856916187,0.13696942618373206
ABCA8,954.6471655614962,-0.23273271290152345,0.19029289464749005,-1.4325598481359514,0.15198366323653478,0.21656828391104258
ABCA9,87.43496244776235,-0.15493548647235603,0.1762708800382519,-0.9893838009506835,0.32247539709243156,0.4093970359061996
ABCB1,711.2760126102522,-0.07091246209638599,0.15819018678934058,-0.49028032281157874,0.6239355491032311,0.6998413860420056
ABCB10,1292.8069534265117,-0.055091508011752145,0.07369747010659113,-0.7052206654302883,0.4806729227472697,0.5680230620529728
ABCB4,58.108304907513414,-0.2488215075223513,0.12957167611179862,-2.0305605226335937,0.04229959579712721,0.07104965106524747
