,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,38999.50743165517,0.853306134528441,0.21038474516542535,-1.4949818555620533,0.1349191775781632,0.1891788980966384
A2M-AS1,152.54204486197744,-0.6738928437336144,0.11022609748985343,-6.263013059173061,3.776089822265181e-10,2.8658309653152343e-09
A2ML1,166.46381364923894,-0.19598558578230962,0.23926639510062286,-0.9681440719350696,0.33297242198799115,0.41001081376860443
A4GALT,2093.724067915087,-0.7236134367091571,0.15149121468172053,-5.1654087245833,2.3991408313406866e-07,1.0992544855896014e-06
AAAS,2331.781756617405,0.3123576875990995,0.06079441188277924,5.113764925177285,3.158003225463504e-07,1.4107849254951752e-06
AACS,2946.189635392254,0.4791716467640016,0.09055482010170181,5.431139561337835,5.5995320038199607e-08,2.86951728537186e-07
AADAT,1152.3766023954854,0.6948429075206612,0.1493658282437994,4.834354296157436,1.335784993349015e-06,5.387259369861259e-06
AAGAB,2942.4579402227755,0.1011690998205212,0.05738313242521227,1.8389322610968637,0.06592514999558183,0.10106470696484464
AAK1,5189.59814426662,0.4934193471055374,0.11479515358818707,4.720084645927121,2.357465213283902e-06,9.064671631083038e-06
AAMDC,319.8054672082686,-0.34708408134260016,0.08056405634469345,-4.375769913440429,1.2100460335310587e-05,4.09607377245478e-05
AAMP,8867.996021252744,0.2099758747873455,0.04982630034981857,4.207912769487596,2.577403168006229e-05,8.203807626785345e-05
AAR2,3168.1448237591576,-0.026095365640370217,0.04656068041009279,-0.7785179651693309,0.4362637198634428,0.5143022732010846
AARD,38.549234129781034,-1.3912787732603489,0.28743698312601523,-5.231363332009886,1.6826441446467843e-07,7.932004906571452e-07
AARS1,10624.72421524151,0.12743856642323842,0.07463015147299207,1.9983730724191007,0.04567622873066317,0.0731582498777968
AARS2,1528.171848992168,0.19701642339944833,0.05804108233582945,3.5021654775296085,0.0004614928982849405,0.0011449334142063306
AASDH,910.6599535522264,0.010386766383474385,0.07993250915377614,0.15442685328587058,0.8772731817536399,0.9058552486415093
AASDHPPT,1954.8973259386382,-0.007931358952168118,0.06351177514219397,-0.13473485871253885,0.8928215112082386,0.9177394835074106
AASS,1635.3570538977626,0.31957856570225845,0.09798347285499673,3.387298219331559,0.0007058461744885459,0.001690665285601903
AATBC,125.62423753635966,-0.5147798054636541,0.22795589987887532,-2.5471937792662938,0.010859311328820238,0.020307793891492582
AATK,500.3573764712623,-0.029738611928501742,0.14095864412617995,-0.23388409828633847,0.81507495860181,0.8554242639644194
ABAT,6738.608336524294,0.6600315054103817,0.1736939154073335,4.234402062854163,2.291606268570387e-05,7.375186964592731e-05
ABCA1,1468.2054355569928,0.3854423523486302,0.15339193898346146,2.615142289050962,0.008919029092058271,0.01697963796936737
ABCA10,57.719276618793465,-0.5194575789364412,0.19168341811527545,-2.961658864693551,0.0030598659453898256,0.006424674459406076
ABCA12,31.32929764953682,-0.8886656466858123,0.201468090157254,-4.7039378959075195,2.5519090198147973e-06,9.756444295533196e-06
ABCA13,10.530162352689885,0.14787389074785828,0.30493936619125334,-1.1369578086262466,0.25555592380834635,0.3276591230771306
ABCA17P,20.123154719309017,-0.2721759137134023,0.13503622971975074,-2.1288366091847335,0.033267780902087096,0.05521823512507579
ABCA2,5033.11250395746,0.5207839034112008,0.08879189089644707,6.77589728399881,1.2363649793144833e-11,1.245557597509932e-10
ABCA3,3618.6138807906104,0.6830404412230416,0.10471327540404142,7.015046305609286,2.2987281091055807e-12,2.6277024336981675e-11
ABCA4,50.32226708806706,-2.2141385705601753,0.2804134202227052,-5.8240154345524235,5.745026700180305e-09,3.541008613656243e-08
ABCA5,1764.7824881614245,0.04622318995510651,0.09637033089402654,0.6407730572774922,0.5216701402457509,0.5960964256316823
ABCA6,121.80783462156083,-0.48142851891741145,0.1807294735216195,-2.8954419776305897,0.003786250183265043,0.0078044841530553275
ABCA7,810.9454397917211,-0.15785968551763457,0.11828860793569117,-1.3804191533481083,0.16745762627194682,0.22813224632509757
ABCA8,954.6471655614962,-0.20286371394549638,0.19068486061236406,-1.246522124982839,0.21257277171851174,0.28028633742618514
ABCA9,87.43496244776235,-0.11526106708645605,0.17700576039962443,-0.7184035448622014,0.47250850172992664,0.5498328987185831
ABCB1,711.2760126102522,-0.02155477694568355,0.159087812441743,-0.1457223345299208,0.8841405891709994,0.9110315129368001
ABCB10,1292.8069534265117,-0.013346472002873451,0.0737541377888126,-0.2248067820220175,0.822129589827312,0.861014885275817
ABCB4,58.108304907513414,-0.15628248557997318,0.1292619348644473,-1.2717242337263641,0.2034711171349992,0.2698200916021756
ABCB5,16.727509752984016,-0.37602728244932093,0.25416210965629144,0.7430304481143731,0.45746324642907854,0.5353200765795944
ABCB6,23.429152828649016,0.11196230790826177,0.1433310113731766,0.834411772799161,0.4040489854056183,0.4815137146337106
ABCB8,2154.7607874399687,0.13667744737972332,0.0738345825872531,1.740327579045037,0.08180151404252023,0.12214402597249836
ABCB9,316.9216883034666,-0.4234451940427846,0.11542413130731813,-3.823198733416223,0.00013173152011289698,0.0003654287792162614
ABCC10,1358.3499414479186,-0.12126703141783457,0.06777050204706865,-1.8408393621393875,0.06564510264497554,0.10067627424336903
ABCC11,375.4919516378863,-0.08690167661797409,0.3592050086342594,-0.36872350058895637,0.7123338302045277,0.7689269359955174
ABCC2,34.24758227536112,0.08756125161981211,0.15501848915492794,0.6088779958805417,0.5426053102872156,0.6156836069170165
ABCC3,1229.6566803978021,-1.2775089769257553,0.22982987524727463,-5.881883825138141,4.05623021933228e-09,2.556827320073344e-08
ABCC4,33455.63126857762,2.794100205322256,0.21250757459921144,9.523226557335567,1.6788383681601602e-21,1.511875845082769e-19
ABCC8,493.4393324400882,-0.6030666612067448,0.2615532215391973,-2.6639148545310514,0.0077237109668202636,0.014905460246827188
ABCC9,1113.6054222246516,-0.7210506728000291,0.16019657221267875,-4.655755133926949,3.2279539711086627e-06,1.2109131876886929e-05
ABCD2,61.7720167883579,-1.092680791585631,0.21268191153069912,-5.441825808746651,5.2737231435346713e-08,2.7138542545945494e-07
ABCD3,3695.1846428427825,-0.33640407838901515,0.08012912426685838,-4.297517673832951,1.7272149283243543e-05,5.6876783225022045e-05
ABCD4,1602.5003793227818,0.04609756769623938,0.05053969272307563,0.9165653653638174,0.3593704403756115,0.43639271712430333
