"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"A1BG-AS1",1,1,1,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2,1,1,1,1,1,2
"A2ML1",2,0.5,1,1,2,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,1,2,1,1.5
"A4GALT",1,0.5,1,0.5,1.5,1,1,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1,1.5,0.5,1,1,1,1.5,1,1
"A4GNT",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2,0.5,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AAAS",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,0.5,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"AACS",1,0.5,1,1,0.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"AADAC",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,0,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AADACL2",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AADACP1",1.5,0.5,1,1,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"AADAT",1.5,0.5,1,0.5,1,2.5,1,1,1.5,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,2.5,1,1,1.5
"AAGAB",1,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,0.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,1,1,2,1,1,1
"AAK1",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AAMDC",3,1,1,2,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1,1,1,1,2,1,2.5,1,1.5,1,2.5,1.5,1,1,1.5
"AAMP",1.5,1,1,1,2,2,1,1,1,1,1.5,0.5,1,1.5,1,1,2.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"AAR2",2.5,1.5,1,1.5,2,3.5,1,1,1.5,1,2.5,1,1,2.5,1,1.5,2,1,1,1,1.5,1.5,1,2,1.5,2.5,1.5,1.5,2,3,1.5,1.5
"AARD",2.5,1,1,2,2.5,3,1.5,1,1,1,2.5,1.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
"AARS1",1.5,0.5,1,0.5,1.5,1,1,1,1,1,2,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,2,1,1.5,1,1,1,1.5,1,1.5
"AARSD1",1,0.5,1,1,1.5,1,1,1,1,1.5,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1.5,1,1,1,1.5,1,1,1,1,2,1,1.5
"AASDH",1,0.5,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,2,1,1,1,1,1,1.5
"AASDHPPT",1,1,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,0.5,1,1,1,1,0.5,1,1.5,1,1.5,0.5,1,1,1,1,1.5
"AASS",1,0.5,1,1,1,2.5,1,1,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,1
"AATBC",1,0.5,1,0.5,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,2,1,1,1,0.5,0.5,0.5,1,1.5,1,1,0.5,1,0.5,1,1
