,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,29.745398965138442,-0.16577068848581397,0.230460893197678,-0.8187145222648108,0.41294930911803307,0.527915782146545
A2ML1,29319.79752635678,-0.22464260638110178,0.5841512879464681,-3.2442991212681225,0.0011774003196416145,0.004300502343452465
A4GALT,1271.3156658284734,-0.10394190548558162,0.18793858460384308,-0.6256534037809005,0.5315423024457331,0.6390308466268646
A4GNT,455.61173226358426,-1.8150531771708975,0.6650893088294221,-3.4854361938798872,0.0004913353865865536,0.0020394259036782265
AAAS,2091.9578262134646,0.1888060966937123,0.10411084773032407,1.9041749680142341,0.056887400667473775,0.10923044118778459
AACS,2281.158950005499,-0.3605223762514146,0.18965409034890182,-1.918422074797597,0.05505751421032986,0.10640488364997067
AADAC,1560.5676110250288,-2.713324150166657,0.54090467215221,-5.536989267860762,3.077153993091994e-08,4.79905006924264e-07
AADACL2,14.455355083676583,-2.5494609604439282,0.5121441305555703,-5.394668761479121,6.865007739530826e-08,9.634420921411464e-07
AADACP1,137.76459800216838,-0.028322172934368894,0.42771752930089685,-0.10808388266341735,0.9139291530220721,0.9403776309175168
AADAT,256.0454040796429,-0.4380487931985097,0.2463354648976599,-2.0361724639009013,0.04173304027295651,0.08465918779709306
AAGAB,2366.610484039936,0.34598761815258167,0.14373679058761651,2.3765894816656616,0.017473522681927343,0.04129668414989498
AAK1,3698.7492027057115,-0.32993035480400257,0.12715198615650744,-2.738002816331708,0.006181354656827141,0.017320418784798026
AAMDC,311.5356086359256,-1.1367978065400288,0.19086062539910273,-6.206471102995976,5.418757905818147e-10,1.4992200444635014e-08
AAMP,5268.105663295904,-0.16626179562995588,0.13347595099151216,-0.8860751978811644,0.37557700701409846,0.490085805212939
AAR2,2430.253674125579,-0.3255215741257957,0.10197843705180627,-3.2728059909683105,0.00106485541630642,0.003938362135078924
AARD,119.29449358439976,-2.538988922013675,0.4376458022272235,-6.192903122425351,5.906603625762893e-10,1.6205751481218125e-08
AARS1,6480.560084465635,0.3507270571003889,0.148822507702723,2.271412881768966,0.02312199532267631,0.05202053942898694
AARSD1,43.66520252867295,0.6059486116423017,0.23963780077329697,2.801505378417076,0.005086479324981889,0.014736646013349501
AASDH,466.46122142282167,-0.061533515909194605,0.09616696329845335,-0.6549012202977831,0.5125313545150094,0.6217143072534193
AASDHPPT,1268.0527766647806,0.06886809507832888,0.10526065399377237,0.6971099511826869,0.4857339870281784,0.5978879089620063
AASS,613.9924129895414,-0.8613891556711065,0.24439622396983052,-3.853793959668156,0.00011630147792252437,0.0005892751399078475
AATBC,90.72832344099415,0.05818747639705439,0.27767637621560154,0.25357581043259975,0.7998232864082389,0.8582121588353819
AATF,2812.3062958777055,0.4459327911033696,0.10523697904002911,4.504350208126789,6.657633807812035e-06,5.057589651324491e-05
AATK,1470.711297028678,-0.01287277813063439,0.26033003576995667,-0.10699242818588778,0.9147949867063552,0.9408568706210182
ABAT,1861.6188979149877,-1.3791312124328072,0.30749536310385617,-4.9833949613178055,6.247823660584902e-07,6.588832357498313e-06
ABCA1,2082.7730129972706,0.31979653609798614,0.19334657778853645,1.7445224256908078,0.0810680344629079,0.14542246739984635
ABCA10,202.78511524016093,-0.9146154215368764,0.3454183604130745,-3.114855943309991,0.0018403476489801853,0.006286740609568751
ABCA12,356.5317219343797,0.6157487950226016,0.5044446075677983,1.804330119149603,0.07117957081430182,0.13106913811465734
ABCA13,140.20111982390753,0.8229692125464428,0.4843880205222497,2.331499447592053,0.019727039165603612,0.045655351995524625
ABCA17P,17.780600784007632,0.5422029241794043,0.35061206740183426,1.9386808809687595,0.05254020811877235,0.10227230768017388
ABCA3,1186.221069603073,-0.22389661703252464,0.2709707510982307,-0.9118358122088943,0.36185515512414135,0.4759395624523502
ABCA4,48.62617512116102,-0.9019300271619664,0.4116685733961186,-2.7448202765738627,0.006054404452941803,0.01703137493238687
ABCA5,988.0350032815875,-0.7453977060197241,0.2402728968853147,-3.4680517427805335,0.0005242463363968337,0.002155380417024145
ABCA6,365.6091599349713,-1.3422426552488749,0.28314938593492095,-5.10955711123724,3.2291487138792347e-07,3.714762133324945e-06
ABCA7,1559.8888533905838,0.8396375684103488,0.23667786585730483,3.9622979515229417,7.423182056974052e-05,0.0004006471056077124
ABCA8,1248.4647166149093,-1.7104133960307186,0.36901147920891125,-5.083890895816123,3.6978040042235767e-07,4.17511999434352e-06
ABCA9,352.982864276983,-1.92061837512419,0.3915547205908081,-5.3266003760841905,1.0006799125190404e-07,1.3425584938784388e-06
ABCB10,1298.6674881822448,-0.011391929025570695,0.16588639030526156,-0.08535150214286732,0.9319819480853783,0.9528187075755493
ABCB5,31.0223835602917,-2.285382298247605,0.5310335310180264,-4.802952387895594,1.5634307138192298e-06,1.4442871162116813e-05
ABCB8,2020.4323198227314,0.14024443113181742,0.13087002827207833,1.1163848539769208,0.2642574339101802,0.37283218006765395
ABCB9,453.82486688707615,0.13028175288509153,0.19295578233323424,0.7421104723851069,0.45802040532810984,0.5718653712959343
ABCC10,1550.9874943145621,0.2274808972136571,0.13139830426805335,1.793131140240491,0.07295195740585617,0.13355595227037412
ABCC11,21.30159761671886,0.013372214522326571,0.277745580538551,0.056470502180422134,0.9549669938649075,0.9686774695301071
ABCC13,97.10351491320506,-0.5110874940041605,0.6106331891475877,-1.5859100753467108,0.11275970995032752,0.19007273655563092
ABCC2,525.8725000936004,-1.3053015077955086,0.5764545080702796,-3.011263949223794,0.0026016259420055207,0.008395994169240322
ABCC3,8259.982385036954,0.41004205964863966,0.33057375664602034,1.0573271770036496,0.2903622941755335,0.4008675014020155
ABCC4,1048.071560538669,0.1826531749308913,0.2083132031011261,0.8889888609145757,0.37400906634187603,0.48852949695469045
ABCC8,94.647810620719,-1.4967486761051019,0.4815088516903604,-3.696069474675412,0.0002189630766577833,0.0010159442412458932
ABCC9,1453.7494548255472,-1.2946996113947993,0.38078880168830087,-3.9616300354000114,7.443982252042803e-05,0.0004015165001085473
ABCD2,107.32616450776561,-0.7713783632257138,0.288172820726587,-3.0590642783544584,0.002220295056713053,0.007349788301550427
ABCD3,3803.698491770562,-0.40337534235634676,0.1574627555729596,-2.720489570706249,0.006518532809126511,0.018119483961527946
ABCD4,1573.8571341583988,-0.09698797642988592,0.14299244755555704,-0.7243697345891382,0.4688387754322286,0.5825548116713859
ABCE1,2932.0754703895004,0.6942034925878009,0.1377312245019564,5.329060809116606,9.872194167241819e-08,1.3288312377852398e-06
ABCF1,4707.50452208728,0.3305489960186473,0.08800416712623113,3.957710330816782,7.567164607160273e-05,0.00040722675306659824
ABCF2,667.0385567749308,0.5730848120754504,0.11902748718524542,4.968897297559922,6.733471985736074e-07,7.0111584964697815e-06
ABCG1,1679.7760892139142,0.3413542999827444,0.24803429942054445,1.4835841149639981,0.1379192861464847,0.22337930819986532
ABCG2,1614.8714003870662,-1.907269028680267,0.49072757983236803,-4.559078491044693,5.137856741340186e-06,4.0275903655210546e-05
ABCG4,49.9811912288284,-1.5218996317772213,0.37363702289236006,-4.53116482726742,5.865934731464687e-06,4.535698334869502e-05
ABCG5,431.7876701603864,-1.9920507412455377,0.6325201482360078,-3.8287374763645556,0.00012880230953485434,0.0006425283695644764
ABCG8,812.1169080293337,-1.8855541255791561,0.6998816572180573,-3.467841470181718,0.0005246566992977832,0.002156528984729115
ABHD1,22.95439815032747,0.375236651344111,0.08306520003805966,-2.928326765984326,0.0034079167993512982,0.010571156274905045
ABHD10,1311.2088093168452,0.04647560864007812,0.10667318197438733,0.4855652336974026,0.6272754510150262,0.7236305868682104
ABHD11,1895.673746189827,1.0983439653102862,0.19631021453983538,5.798481933444692,6.691791060655835e-09,1.3256349511494146e-07
ABHD11-AS1,280.9941935024473,-0.26401049450713926,0.4121052806486879,-0.9364697737821774,0.34903136810464885,0.46306853495637723
ABHD12,5073.149406783659,-0.3195166807396248,0.17764742125495475,-1.784317038690513,0.07437216310676181,0.13577847943479127
ABHD12B,14.435811149085982,2.7539280259463577,0.0933102625015307,-1.5378930451737245,0.12407476808504928,0.20534018620851321
ABHD13,1265.5520665249605,-0.15211723035630545,0.10451122984395513,-1.5337672111643776,0.1250869321763059,0.2066691532101274
ABHD14A,326.99769294469866,0.05664655003798204,0.2081955971137574,0.3051588095652915,0.7602452022628758,0.8294774999768996
ABHD14B,4576.958831445627,-0.15322622703689864,0.15877311283846512,-1.18677703757942,0.23531557853218776,0.3403712374832506
ABHD15,888.7063049621131,0.165919793661856,0.1466922421931188,1.201477548481388,0.22956601045473768,0.3336967473824187
ABHD17A,3541.0977321055925,-0.11844271386102605,0.11130552313947406,-1.1128080535394933,0.2657908758112987,0.37451419991488477
