,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,29.745398965138442,-0.05689083153133906,0.23019349626736824,-0.28063179281952133,0.778992828390222,0.8428170108476863
A2ML1,29319.79752635678,-0.43502061024553845,0.7728306786236174,-2.971113882319005,0.002967217285731681,0.008880619237394327
A4GALT,1271.3156658284734,-0.2600279424766599,0.18951576473715095,-1.4935966437218944,0.13528107721433355,0.2152383602782298
A4GNT,455.61173226358426,-1.856748871316803,0.6615768722144312,-3.532260815437736,0.0004120227658478398,0.0016329191059485867
AAAS,2091.9578262134646,0.23224975222258876,0.10416679129948396,2.3528679024340695,0.018629250813858383,0.04188325193484184
AACS,2281.158950005499,-0.28471984323138166,0.18902465085654394,-1.4541560716102182,0.1459030408419026,0.22914500462981496
AADAC,1560.5676110250288,-2.9812889527008615,0.5404180930650354,-5.970007931582487,2.372420536016171e-09,4.345567182044304e-08
AADACL2,14.455355083676583,-2.4244966323875063,0.5115863254957053,-5.190234883608434,2.1002896927912205e-07,2.2443523926796255e-06
AADACP1,137.76459800216838,0.06744373677333035,0.43718149021481334,0.2326380581301616,0.8160424718787826,0.869817389404728
AADAT,256.0454040796429,-0.34150473489149663,0.24433963806860598,-1.5804298363441813,0.11400846324770612,0.18726956252368845
AAGAB,2366.610484039936,0.4918675775053841,0.14433059451831307,3.417000994225928,0.0006331504838681731,0.0023722614375101723
AAK1,3698.7492027057115,-0.2416134056746216,0.12713470096684296,-1.719526536982079,0.08551853987878198,0.14800198973651135
AAMDC,311.5356086359256,-0.7725427869742209,0.19007320055650614,-4.285857790705916,1.8203541277936448e-05,0.0001108981554656972
AAMP,5268.105663295904,-0.01674767028666952,0.13422198712310157,0.41827666162284877,0.6757448511584665,0.7598047606464085
AAR2,2430.253674125579,0.22953781091520603,0.1020273550364298,2.39897257381217,0.01644114607696585,0.03765456918628605
AARD,119.29449358439976,-2.263281980244714,0.4382627092685315,-5.586422019859835,2.3179555818491514e-08,3.293336890967211e-07
AARS1,6480.560084465635,0.3207748586328745,0.14654920735345195,2.69359547372302,0.007068589767258892,0.018573822978400996
AARSD1,43.66520252867295,0.780585387087106,0.2409960352942183,3.5289052672134016,0.00041728247726498593,0.001650586248648216
AASDH,466.46122142282167,-0.09966412412009128,0.09614706314778669,-1.0613363540882876,0.2885370699571146,0.394744472107623
AASDHPPT,1268.0527766647806,0.1147622314362083,0.1053222538945438,1.1212259018562223,0.26219171695981314,0.3667610434231433
AASS,613.9924129895414,-0.9309429726843316,0.24435388651315507,-4.120203155368359,3.785384789623345e-05,0.00020889387175176816
