"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"A1BG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,2,3,3,1,1,1,1,2
"A1BG-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,2,3,3,1,1,1,1,2
"A2M",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"A2M-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"A2ML1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"A2MP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"A4GALT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,0.5,1,2,1,2,1,1,0.5,2.5,2
"AAAS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.5,2,2,2,1,1,1,1,2
"AACS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,2,2,2,1,1,1,1,2
"AADAC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,2
"AADACL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,2
"AADACL2-AS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,2
"AADACP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,2
