,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,61121.03703052103,0.36502112965949524,0.1013666084504673,-13.479549599172476,2.0636271465460837e-41,2.3547545927852426e-40
A2M-AS1,128.02315514565666,-1.5832641016509377,0.11333396238534875,-14.0502517060465,7.676072420324209e-45,1.0087764832454795e-43
A4GALT,1065.152460622021,-0.4622871995021335,0.11709755005760221,-4.031338691622781,5.546005454994314e-05,9.604154230082417e-05
AAAS,2023.4315245544497,-0.25451059776186047,0.04656221642045191,-5.089742873476487,3.5854936060876533e-07,7.446677031227584e-07
AACS,4061.5551190390097,-0.6871767006038125,0.12438632974618127,-5.244571850802421,1.5664565355106412e-07,3.3390977984676454e-07
AADAC,170.46644880536542,-4.291633324396994,0.3456708671640641,-12.592447170669088,2.323563524833257e-36,2.1639293895393694e-35
AADAT,280.25538877435457,-0.24570649567935943,0.15678089699162118,-1.6087708759542234,0.10766645139598079,0.13114542378210822
AAGAB,4053.0939041202237,0.6803602243547765,0.06590617750892017,10.088341993596122,6.221139401414752e-24,3.3946135235449857e-23
AAK1,3261.879473558194,-0.26018199936349196,0.06641858759479159,-4.477507956524116,7.5519413856791325e-06,1.4073373458037487e-05
AAMDC,447.3709102332601,-1.0312721596203551,0.1185765910010775,-8.872577183199859,7.1472275821297e-19,3.04970596917455e-18
AAMP,6243.992826516353,-0.04540357167944573,0.07034353726667361,-0.6369978705407744,0.5241262306669822,0.5642479606562703
AAR2,3431.8027318546547,-0.29374840731328944,0.05452244677702813,-5.392733673766563,6.939376801139885e-08,1.5187991683164587e-07
AARD,2011.0426687882245,0.8804322099155516,0.2264655839073659,4.211253212907725,2.539578897813234e-05,4.5202960564116406e-05
AARS1,8671.053038632439,0.330573772909237,0.0775979896636941,4.456394961249541,8.334941057280148e-06,1.5481291179723595e-05
AARS2,1152.6565989608944,-0.19831926593211505,0.0677945603792176,-2.9627979490289564,0.0030485660834880858,0.004482374958548315
AASDH,1070.7916914807372,-0.424080553622456,0.05707449731416128,-7.424236902811274,1.1343197529548844e-13,3.657000921219887e-13
AASDHPPT,2207.775581272966,0.24289505568703545,0.06730664508601734,3.551335432319259,0.0003832815999632748,0.0006156053344445796
AASS,1389.5439623341117,-1.7319020597252088,0.10700733212429044,-16.142996817673655,1.2721181854260187e-58,2.8090211515289463e-57
AATBC,146.52590089208346,0.2520905092420672,0.17773397767318636,1.4798765615045804,0.1389061917821539,0.16621059646021522
AATF,3035.1544834523593,0.17810669219044803,0.06654484561746186,3.408315400287832,0.0006536529502210417,0.0010265478643248286
AATK,277.2516329485885,-0.31288530758059185,0.11115511299628668,-2.8879970061475806,0.003877035626379312,0.005643810437525418
ABAT,3280.101008622891,0.8812939975230263,0.16443942171541995,5.533841378168855,3.132923236253667e-08,7.034661990606393e-08
ABCA1,4614.197320356425,-1.2315401724454256,0.12666262407597023,-9.955381016344907,2.3890596287083134e-23,1.2622097785741503e-22
ABCA10,686.5421128035545,-3.5849046532521065,0.17402240525075588,-20.66853445608208,6.650515611673955e-95,7.055329605428022e-93
ABCA12,1492.1228182690022,1.154850778923598,0.28678202874341446,4.3998929366143775,1.0830429924420334e-05,1.98942903505036e-05
