,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,12.350234343567752,-0.5298933317147783,0.1654776709781455,-3.22599813346072,0.0012553417568714495,0.0022312851930048356
A1BG-AS1,80.39276185810252,-0.17167931931891628,0.1364874348088997,-1.2941610186461825,0.1956098083833614,0.24015173800037845
A1CF,1.8969916832128446,-0.7808588341568833,0.12045575150155227,-3.6582087377988945,0.00025398415856949387,0.0004958526614347974
A2M,61448.68214482773,0.3187946842005105,0.13277487749067993,-11.100543574391649,1.246832500122201e-28,1.9272764321015726e-27
A2M-AS1,126.1692351829294,-1.4650574721645933,0.15917234266951916,-9.343128853214477,9.352852723377942e-21,8.50103422962286e-20
A2ML1,552.0323850035435,2.8357633740361634,0.410421713619793,7.204657255465605,5.819003178302544e-13,2.8551004375723327e-12
A2MP1,17.909176970229975,-1.6461769807234352,0.066759795980164,-9.356172427710844,8.267760559586277e-21,7.539345841437937e-20
A4GALT,1145.2745424198597,-0.41630919608725364,0.16228803268219033,-2.7567291805870364,0.005838268356928676,0.00938541086135453
AAAS,2040.052919996131,-0.28729075955068245,0.06534347830283822,-4.364304541246596,1.27527814979392e-05,2.9364177899404757e-05
AACS,3093.1908270611175,-0.8221384159962313,0.03510221242237034,-9.093080324251957,9.62720776789115e-20,8.115452353091916e-19
AADAC,136.93877130293092,-4.148540329865075,0.42290109012375476,-10.03819338093763,1.035533085643561e-23,1.1606816821748557e-22
AADACL2,9.189860273699555,-1.2976058000667081,0.4470828344987909,-3.3666548084746193,0.0007608586311859294,0.00139391800974145
AADACL2-AS1,12.826634391774798,-1.5416235181779707,0.2826184234558923,-5.671145661417083,1.4184572875458038e-08,4.563491965773713e-08
AADACP1,14.810040235639075,-2.8087737168425093,0.25559642836568086,-11.007361429383257,3.521667131430495e-28,5.2896151761991375e-27
AADAT,328.17724843251426,-0.06904458485635472,0.2239813281199811,-0.3724566037433799,0.7095529166631762,0.7488326380966239
AAGAB,4103.602393212335,0.618305783409236,0.09564409651779861,6.646558198467251,3.000258519418795e-11,1.257909140519478e-10
AAK1,3274.7725788190774,-0.2664394440670223,0.08943226754813878,-3.180748781911365,0.001468949516247052,0.002586840277900718
AAMDC,464.2230494775232,-1.0237033220916403,0.17468299683990413,-6.033855326156677,1.6009340514522192e-09,5.6590862151571705e-09
AAMP,6368.79220916695,0.011664149228961633,0.08670604687155015,-0.2725714560670731,0.7851826561110182,0.8160616534437474
AAR2,3465.9031858663648,-0.33947947876596907,0.0843150353551289,-3.3915028106023932,0.0006951045018683203,0.001280924150212565
AARD,1894.8110038993357,0.8374820859301088,0.2904075544074482,3.2449547192461523,0.0011746930119891923,0.0020949718637363834
AARS1,9104.397969054759,0.33345142132798933,0.10772133504347543,3.6832370498535894,0.00023029082168486868,0.0004520493511995948
AARS2,1177.1501190819429,-0.21587796507901813,0.07902024797779356,-2.792036837144975,0.005237739286148962,0.008486690017256472
AARSD1,51.67645783142512,-0.629753427162492,0.15094832519730886,-4.279940477192031,1.8694330405285906e-05,4.218280624075894e-05
AARSD1P1,12.92824944341465,-0.5458174144859435,0.14154429479989314,-3.8787957225050964,0.00010497485901011976,0.00021542591132769537
AASDH,1070.433207781637,-0.41030964692952193,0.07666670443333887,-5.388870873625506,7.090172299843436e-08,2.1151035595560765e-07
AASDHPPT,2174.2126604868645,0.25138117992406667,0.08645366498560679,3.279125028469981,0.0010412949061990651,0.001873071200223399
AASS,1349.581117148594,-1.6781332369117312,0.13632766431127258,-12.510690307117414,6.525466318703101e-36,1.5224950443375804e-34
AATBC,147.4136952878211,0.1765736171209379,0.2007275363100345,0.9192000749138731,0.35799093197250254,0.41313057417460003
AATF,3152.237895672816,0.2382694709149102,0.09241293076149996,2.611005080711272,0.009027655254819193,0.014083217964662336
AATK,273.10595774952577,-0.6457045367745607,0.1304138174347432,-5.04985080080533,4.4215526601796823e-07,1.206246723156896e-06
ABAT,3386.3011890656935,0.6793433219926942,0.22115548467766316,3.3566922155729704,0.0007888086953127319,0.0014419257456933687
ABCA1,4256.467298912939,-1.151178266568549,0.159336434889756,-7.235863978796936,4.625747658295994e-13,2.290780164922204e-12
ABCA10,678.5498830892628,-3.6484175039260838,0.22594639528548968,-16.241938574163658,2.5474494433478497e-59,2.705755230184466e-57
ABCA11P,63.179082678519435,-0.24738480137536278,0.13529291260742032,-1.8759708441974239,0.06065928352745611,0.08232463152296371
ABCA12,1724.4913004724276,0.49468943988067726,0.3712115500453692,1.776753516091972,0.07560880297441573,0.10079215577004201
ABCA13,38.531166123219464,1.794578104318557,0.1039522023643607,-5.508312536906544,3.622897706288237e-08,1.1151043999408692e-07
ABCA17P,49.18980311544652,0.003099499698900065,0.17125529037091108,0.017240911635003082,0.9862444242675735,0.9884602059442025
ABCA2,3998.9445620049214,-0.3260479667772236,0.1087286079020916,-2.8478661937473273,0.004401342557497166,0.007210572585014638
ABCA3,5135.3329971499625,0.1713719457665093,0.16660046688506647,1.2762348403946877,0.20187251608055679,0.24710605154081985
ABCA4,270.67588727574145,0.0965262020241704,0.2360326400856065,0.4078000781723463,0.6834204562211026,0.7251994898197761
ABCA5,1969.4845777105784,-2.1013718627495996,0.13361300732505085,-16.06199144473793,4.711773899149501e-58,4.434435308883107e-56
ABCA6,1382.6807579980996,-2.4411283026182673,0.19556936151540588,-12.706332064534568,5.453287461717948e-37,1.3530097534329125e-35
ABCA7,926.6827659974568,-0.08624603295725591,0.10342444536661866,-0.8735319953657966,0.3823731746369893,0.43823007194933955
ABCA8,3374.831614946448,-3.517418283270241,0.2607923426951016,-13.49196716710559,1.7438475916268854e-41,5.645358567668749e-40
