,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,61121.03703052103,-0.311386000313233,0.09825845172652196,-12.02710075861541,2.5599309832359075e-33,2.1031082825237761e-32
A2M-AS1,128.02315514565666,-1.2050024098757803,0.11322627070863445,-10.776948432548203,4.423166130982037e-27,2.7037641819447604e-26
A4GALT,1065.152460622021,-0.4189091620380744,0.11704843363714244,-3.6524559879152756,0.0002597441247968036,0.00041123110057588456
AAAS,2023.4315245544497,0.1267796257609289,0.04648291253448072,2.6971655487664408,0.006993249419402993,0.009671374598532007
AACS,4061.5551190390097,-0.2444686152427933,0.12496065373422321,-2.117803976447557,0.0341916724390426,0.04389005563415903
AADAC,170.46644880536542,-3.9404316833044115,0.3456830152608007,-11.608940745819535,3.7118523153328696e-31,2.758452685100163e-30
AADAT,250.55884584089674,0.08919566858139646,0.1352999986057483,-1.7283109503634932,0.08393249088453822,0.10260284456827316
AAGAB,4053.0939041202237,0.982143106950464,0.06612119656575963,14.708395861293525,5.694126117100916e-49,9.041432359474773e-48
AAK1,3261.879473558194,0.0712754738542977,0.06629817022565132,1.099884633532674,0.271382390754351,0.30727286934599374
AAMDC,421.94926585863055,-0.3172930468928405,0.10034376146400104,-5.2033536823408255,1.9572386381707063e-07,3.9257396441730566e-07
AAMP,6243.992826516353,0.2826425049073724,0.06996083662730043,3.854759186451764,0.00011584359954571762,0.00018885860772263984
AAR2,3431.8027318546547,0.2833637092922434,0.0546689930310797,5.554968410688724,2.7766197007833935e-08,5.910106487273754e-08
AARD,2011.0426687882245,1.944154917759684,0.2284213800790754,8.76250120458019,1.9096507153894932e-18,7.443367005671507e-18
AARS1,8671.053038632439,0.43114250348442046,0.07774479913056084,5.026500057075303,4.995123352439823e-07,9.71937877189248e-07
AARS2,1152.6565989608944,0.19532277666372605,0.06778771775945414,2.8432886378625017,0.004465061374179562,0.0063054401965842366
AASDH,1070.7916914807372,-0.14389963661978783,0.057000611091643436,-2.5484211880605026,0.010821173447063964,0.014678215441954641
AASDHPPT,2207.775581272966,0.39189521712710945,0.06726306135914693,5.870424755483424,4.346800311284201e-09,9.761797293634102e-09
AASS,1389.5439623341117,-1.464777190902762,0.1072496097624851,-13.85383690370634,1.2059442391668122e-43,1.516754610086094e-42
AATBC,146.52590089208346,0.6125120882231976,0.17925894483877577,3.561684980060967,0.0003684823527807213,0.0005749927142090983
AATF,3035.1544834523593,0.5048677527248778,0.06667109228816902,7.826238846122714,5.0268191920107016e-15,1.6245614342392203e-14
AATK,277.2516329485885,-0.013110240862733017,0.11093783644200048,-0.14771973939368974,0.8825639527612311,0.8954079188097314
ABAT,3280.101008622891,1.6238641438411257,0.1637194998446952,10.160158489150263,2.985906740120736e-24,1.5684849183841972e-23
ABCA1,4614.197320356425,-1.0641389103048646,0.1265909640218971,-8.656697848121908,4.8562777083813794e-18,1.8495292833169458e-17
ABCA10,686.5421128035545,-3.230522779620808,0.17394046159720333,-18.683794030951855,6.707761435449564e-78,3.677963573594817e-76
ABCA12,1492.1228182690022,1.6697579044670727,0.28995339253974467,6.071758931297664,1.2651675962357628e-09,2.939075469516275e-09
ABCA2,4011.7737554236605,-0.05359094834242151,0.08631262205192286,-0.34704607451588365,0.728556704843174,0.7567809109482098
ABCA3,4969.818792155969,1.0386185561947507,0.11960551491580679,8.594858022609879,8.33678086034179e-18,3.1351264268020496e-17
ABCA4,276.8126300427716,0.3237325602951701,0.17757882898833122,1.8673270558043573,0.061855929357906896,0.07688010916034951
ABCA5,2044.2245983180048,-1.5365286894099697,0.09875421926729687,-15.708549387175525,1.3216876480739755e-55,2.812428367413227e-54
ABCA6,1428.485833945355,-2.176366543244634,0.15319592257604875,-14.589011749089302,3.299424785717402e-48,5.005552213772308e-47
ABCA7,913.2042816712918,0.12170447334060623,0.08470639908143479,1.3440365582870806,0.17893656535482239,0.20853616596040436
ABCA8,3649.585250877733,-3.275930325078216,0.2052660184451788,-16.28091458085688,1.3483857342456218e-59,3.391815661401358e-58
ABCA9,1725.3519622966992,-3.1300622061816608,0.17246206056170016,-18.31711565608902,6.043196834398929e-75,2.853948440503236e-73
ABCB1,744.4984754631396,-1.7498671995037043,0.13933623150463614,-12.762457903705231,2.656834434772485e-37,2.5878946190997458e-36
