,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,12.350234343567752,0.03126233574232992,0.1628227647057979,0.19864409225693253,0.8425411602283447,0.8710072354847039
A1BG-AS1,80.39276185810252,0.3580924708898265,0.1365667942215253,2.6869469563563513,0.007210840281308559,0.011988149609813573
A1CF,4.376844733756079,0.14108287024329477,0.3353002930485252,-0.38068980698343635,0.7034334332214434,0.7493927863901765
A2M,61448.68214482773,-0.3544341290305228,0.12809250862776128,-9.532587288315415,1.5341124717753296e-21,1.744134189369037e-20
A2M-AS1,126.1692351829294,-1.0226496428290661,0.15877993270253163,-6.6045779217446565,3.986514866748736e-11,1.8217535736206697e-10
A2ML1,389.0863905438638,3.4583081613609994,0.39236959158011,7.635162518590108,2.255357437589283e-14,1.401337130999068e-13
A2MP1,20.514615781539568,-0.9166071661092451,0.1788989598055502,-8.759197121146528,1.9664597208065023e-18,1.74270363656376e-17
A4GALT,1145.2745424198597,-0.3642790304143076,0.16215887496680276,-2.435903555071795,0.014854644551706748,0.023355727170675317
AAAS,2040.052919996131,0.09118695143133179,0.06528658843311982,1.3937988970188424,0.163378341333141,0.20909681553148837
AACS,3969.271789211186,-0.3717552528080461,0.1609934798569309,-1.1034913555368229,0.2698138435047165,0.327517827232053
AADAC,136.93877130293092,-3.6618058821584527,0.4227341742269531,-8.94234269398926,3.8100593712094085e-19,3.564898671736454e-18
AADACL2,9.189860273699555,-0.9301347867590845,0.43934314308809547,-2.5573513678483217,0.010547262070009524,0.017043409717011914
AADACL2-AS1,12.826634391774798,-1.2488418421766028,0.2817901288981636,-4.709225404616174,2.4865996430424814e-06,6.687495977538653e-06
AADACP1,14.810040235639075,-2.387534036274569,0.2544573858467691,-9.66782202413395,4.1307518083244815e-22,4.8984874979524656e-21
AADAT,274.3226186239645,0.34938173040425524,0.19001211398009352,-0.7085749939729781,0.4785882586119897,0.5404986935648344
AAGAB,4103.602393212335,0.9521886650929432,0.09544131451270611,9.976994878207678,1.9219973251767558e-23,2.5519090675828997e-22
AAK1,3274.7725788190774,0.09013219518307469,0.08925707850334146,1.5142231748584967,0.1299692458122234,0.16980577503001554
AAMDC,416.2165976204746,-0.21346254403085024,0.13336327713437895,-4.394009620300954,1.112788879787811e-05,2.7625897331716094e-05
AAMP,6368.79220916695,0.30600448499064964,0.08715966355040086,3.0237715906091984,0.0024964484017351053,0.004470598751533659
AAR2,3465.9031858663648,0.3363467979365712,0.08423656659267412,4.025459425743306,5.686418508345316e-05,0.00012900859565414017
AARD,1894.8110038993357,1.8120986900699751,0.2942666476611182,6.472136096165944,9.662702660178688e-11,4.225372388510994e-10
AARS1,9104.397969054759,0.48065645051158296,0.10924075224006793,4.732912753408555,2.2132063710618086e-06,5.994873262040644e-06
AARS2,1177.1501190819429,0.15361249956295628,0.07898145795619206,1.9593625276195965,0.05007034583404239,0.07136088008268798
AARSD1,51.67645783142512,-0.3623951404718306,0.14999114817481318,-2.495446472156553,0.01257987336794595,0.0200304558030839
AARSD1P1,12.92824944341465,-0.267929983658541,0.13962602860986026,-1.9713573464475809,0.04868301621872211,0.06960154850498754
AASDH,1070.433207781637,-0.09021371764943227,0.07656282164328161,-1.1442192606154376,0.2525327173381695,0.30897892561818935
AASDHPPT,2174.2126604868645,0.42854611533021436,0.08640880663581198,5.008979499671871,5.471940069375656e-07,1.5930187312384937e-06
AASS,1349.581117148594,-1.3174117792623707,0.13630043158809868,-9.966040714464066,2.146142494225704e-23,2.834331230088724e-22
AATBC,147.4136952878211,0.48402660458304686,0.20232745578628247,2.5180242489244447,0.011801519584119086,0.01890039458955775
AATF,3152.237895672816,0.6237605704465478,0.09275212071604409,6.4424990372776545,1.175221101880107e-10,5.090190659910226e-10
AATK,273.10595774952577,-0.19093334255073965,0.12961569859975702,-1.5180124921461828,0.12901124950006404,0.1686825868316781
ABAT,3386.3011890656935,1.5539820500555055,0.2221193788048449,7.282119537400533,3.286156865390733e-13,1.8552522156265677e-12
ABCA1,4256.467298912939,-0.9266397881078885,0.15914924506125752,-5.815253605278383,6.0542029029503904e-09,2.1958544707839254e-08
ABCA10,678.5498830892628,-3.2454724419268723,0.22569488784645234,-14.572417659078248,4.207335123586711e-48,3.4126842642445518e-46
ABCA11P,63.179082678519435,-0.07428447218084874,0.1348989970349726,-0.56862432099464,0.5696111161100456,0.6271654847697653
ABCA12,1724.4913004724276,1.0621553876340275,0.3889915148158841,3.147574682218449,0.0016463104479548928,0.0030326699853069484
ABCA13,84.77171931029802,2.34203632451003,0.40172851146906335,0.17526776100471098,0.8608692426243525,0.8862987780845013
ABCA17P,49.18980311544652,0.8738448458055135,0.1732025654293499,5.205564521897559,1.9340772944157506e-07,5.926034083686503e-07
ABCA2,3998.9445620049214,0.016748332499597934,0.1087686920143618,-0.09674723691117461,0.9229271261198309,0.9380024056608006
ABCA3,5135.3329971499625,0.9664979486075045,0.16907601181154044,5.992341674786399,2.0684077515189927e-09,7.888169482882998e-09
ABCA4,270.67588727574145,0.18051932855198585,0.2365792558174959,0.8213743247110586,0.41143308369170695,0.47389375012017015
ABCA5,1969.4845777105784,-1.5922756156380957,0.1335521441994866,-12.159021611769097,5.1370237105996645e-34,1.4900708828171145e-32
ABCA6,1382.6807579980996,-2.1067503167221022,0.19558081335988287,-10.985271396825484,4.4988437056057345e-28,8.688416250843422e-27
ABCA7,926.6827659974568,0.08119082235194106,0.10345767226878752,0.7886176330947904,0.4303355217734338,0.492487001625274
ABCA8,3374.831614946448,-3.1398004496683645,0.25992371163857914,-12.089965201658293,1.1933725935687103e-33,3.3441418432341274e-32
ABCA9,1612.4677117759159,-3.1340757000042294,0.2174303594541266,-14.589764625634484,3.2632153312287336e-48,2.666274035838393e-46
ABCB1,769.6668562863917,-1.8869450654669935,0.17951730407530236,-10.774543153416833,4.540303948605411e-27,7.968215568653996e-26
ABCB10,1474.7477058013924,0.58726119642969,0.09052902355253342,6.567240076572687,5.125637333545225e-11,2.3167673021693983e-10
ABCB11,30.252696265954803,-2.116922355529537,0.3004693186739041,-7.313192860854013,2.608681715200483e-13,1.487835702870416e-12
ABCB4,120.38468135675105,0.2263300456210409,0.16145752876042416,1.4478502251336278,0.14765894273785016,0.19069478790588731
ABCB5,190.33263001052103,-3.5856255706657403,0.27612081630225604,-13.15755070908096,1.5399746870067394e-39,6.802113934331155e-38
ABCB6,23.548123385019835,-0.15194080644475655,0.15125705386953994,-1.0405606777212266,0.2980794890960736,0.35750946788778465
ABCB7,1724.6702652259517,0.07099864265185626,0.06730785431515629,1.003120754902431,0.3158026017892993,0.3763177966511091
ABCB8,1685.1078758905035,0.7058758604377169,0.09711937713063498,7.590759149664573,3.1803662815566464e-14,1.9526906214258893e-13
ABCB9,551.0825339847169,0.8585795336804534,0.1451097651906091,5.988631304126022,2.1161426180468e-09,8.05643919408635e-09
ABCC1,3788.9128598325724,0.4152177391716019,0.09205774208980493,4.135183947406901,3.5467042749873124e-05,8.264158106953618e-05
ABCC10,1212.8592417217121,0.20874157648956138,0.0760532536640449,2.9334968096100673,0.003351670989175412,0.00588541077576531
ABCC11,4298.042834960969,-0.21290918741780826,0.38361359789723404,-0.3517958379820423,0.7249913801063498,0.7690535345564122
ABCC12,68.1925694198858,0.7863172343518962,0.44871932330147907,1.0389660175775373,0.2988205409957183,0.3583212013466559
ABCC2,130.9424549159307,0.11276086555303577,0.23609022066163846,-0.6383430419170845,0.5232503993617166,0.5838731069616033
ABCC3,1663.3916512058372,0.1161908442644299,0.1907142305070884,0.5429715610653529,0.5871493832629998,0.6436482279862626
ABCC4,682.0485616273925,1.1690049111532326,0.17401855800949104,1.2897725534751314,0.19712964014073708,0.247268388515958
ABCC5,3401.1122124556355,0.9471610588126497,0.13076056440570574,7.553827734399827,4.226491186718052e-14,2.5681316374539054e-13
ABCC6,480.5908158227754,-1.3514338879396255,0.24013135139453226,-5.9034639266090405,3.5594748347592657e-09,1.327275922168843e-08
ABCC6P1,24.44479653453239,-1.0773387250803013,0.2993142880115688,-3.9027181889604368,9.511842728867739e-05,0.000209267154928411
ABCC6P2,17.972878512783783,0.31413646225167147,0.25669431181758784,1.3400809608941966,0.18021902515138966,0.22805727435337253
ABCC8,479.80041438120355,0.023377511142998995,0.30975598658582665,0.04949880767948413,0.9605217873707077,0.9678109580400671
ABCC9,1909.1303558455293,-1.568282363215835,0.20745313868137566,-7.960309597120556,1.7160934222203332e-15,1.177820919262977e-14
ABCD1,1243.7762912302783,0.5161022868982628,0.1453346440207506,3.546539963558335,0.00039032553598862687,0.0007888557946690506
ABCD2,574.3994362201786,-3.303116988970766,0.2798932993647309,-11.971139107304626,5.033280918467e-33,1.3494274539341935e-31
ABCD3,6003.912443503906,0.6819062523814164,0.11360996445443856,6.222845390658337,4.882184407390482e-10,1.9971026112461413e-09
ABCD4,1933.245872294365,-0.603750671883825,0.079806677268958,-7.701304200115366,1.3468443009357161e-14,8.542140738320184e-14
ABCE1,4140.793464592041,0.6513716791181168,0.08942303851117846,6.992456988704505,2.701133382453856e-12,1.395356211880864e-11
ABCF1,5171.775208364126,0.435725120929116,0.07880476562132709,5.580212110098663,2.4022545406415762e-08,8.137386451564313e-08
ABCF2,955.0807845106827,0.33880394883098675,0.08067150336283664,4.28703109713523,1.8107695253894835e-05,4.375787077459313e-05
ABCF3,3373.552674982808,0.5191360988814158,0.08411647967649867,6.232685585711746,4.585058475077362e-10,1.878316149588166e-09
ABCG1,2527.629187380583,0.8870701115899241,0.11961311559885357,7.643471663614097,2.114416790356832e-14,1.31706732548728e-13
ABCG2,509.0931063789549,-0.5068382785384031,0.16555861618909556,-7.342323823067244,2.0991674766446427e-13,1.2046315856453665e-12
ABCG4,12.637365810999164,0.17732881212833645,0.1495998001036914,1.227409284934155,0.21966879836981024,0.2727032622683096
ABCG5,9.772351916822462,-0.07044293094114577,0.17733893157605554,-0.4183349316533015,0.6757022531849863,0.724695377418228
ABCG8,15.942156276107546,-1.3407305785022832,0.308685404685656,-4.684473921733755,2.8067989868494503e-06,7.505209566130885e-06
ABHD1,94.56485479995985,-0.6299791450785098,0.1572646251705979,-4.1363263733769005,3.529101551037734e-05,8.225719874341452e-05
ABHD10,1999.9935127516712,0.3051733670433339,0.08349325852181423,3.876421373524694,0.00010600404324543577,0.00023131737317870184
ABHD11,2203.8669346308793,1.1550704938742804,0.1394627590853736,8.355986682818184,6.488803062561409e-17,5.060812626345972e-16
ABHD11-AS1,50.37940937934619,0.2945642519138028,0.19635112584998796,5.995171459502333,2.032708565757861e-09,7.759985840800077e-09
ABHD12,3589.8734929644183,0.8898190845270711,0.0916444484480016,9.514038534990767,1.8340095185500448e-21,2.0734625606070603e-20
ABHD12B,87.72003953278782,0.6843605045187469,0.29003351128985666,2.6021210266105115,0.009264914997156974,0.015115798268474508
ABHD13,1462.7387944962838,-0.03675873876644199,0.07472572782142262,-0.3326730471696991,0.7393810970221714,0.7815303392966191
ABHD14A,245.27072545602783,-0.3270810493805992,0.12493381023031912,-2.682877997600465,0.007299161275372448,0.012120530887252129
ABHD14B,4658.164294627687,-0.6605713604354502,0.10907358808235308,-6.591028039326789,4.3679137601392556e-11,1.9871646814943143e-10
ABHD15,1500.1108083007439,-0.42162753523186675,0.1406076517672146,-3.165914008251049,0.0015459648866517225,0.0028579722162815615
ABHD16A,50.29822433208925,0.12362674337668747,0.10054402300220047,1.2488836507379593,0.2117076322544439,0.26389217351593325
ABHD17A,1386.3261890482102,-0.07233790670431191,0.09821640134710974,-0.874083428474294,0.38207282140353227,0.44439025728580617
ABHD17B,1014.8017133512215,0.26221512427393173,0.10424652442617945,2.508898009847171,0.012110844624536656,0.019358258702609432
ABHD17C,1328.974689481442,1.2904822399694256,0.14452195808459292,9.131868698183284,6.732694122029277e-20,6.7314870051987915e-19
