,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PRDM16,809.7824470039122,-2.6475856143098744,0.22334564183423108,-12.00316845775662,3.419503197008586e-33,3.7361740211275997e-32
AL354743.2,16.012704067243675,-1.1829639835856312,0.234774414844776,-5.193739866250666,2.0611108568225214e-07,4.402266840384929e-07
ARHGEF16,1327.8699802518777,1.5141756400979434,0.14580299833119192,10.459758784989917,1.3219176455083887e-25,9.652272953727552e-25
MEGF6,3787.6790909355627,-0.6475333823135667,0.17179264700001567,-3.934023505901409,8.35356085998414e-05,0.00014399301563606943
TPRG1L,5229.843000403201,-0.07722212575273431,0.09967082448340289,-0.8590003341778116,0.3903403316362716,0.4329471662808365
WRAP73,1383.3489042430062,0.8096978556089849,0.0919414276367169,8.844269069177969,9.212937132336322e-19,4.429327573382607e-18
TP73,1095.1202545377187,2.4183531753387464,0.2672090460324532,9.257858449166473,2.0857341631546087e-20,1.1137147613773626e-19
TP73-AS1,1378.7345960445957,-0.5241569313486159,0.13174904892047837,-4.075958163801019,4.5825257945114936e-05,8.092878424895845e-05
SMIM1,100.69060829353761,-0.5638732824972796,0.1841434542763249,-3.135447157978132,0.0017159233863315027,0.0026222008690865366
LRRC47,3217.67895200531,0.43842413416191156,0.07323184717632726,6.0172572609945245,1.773970377017997e-09,4.462694779753633e-09
RN7SL574P,6.998118471237057,-0.7706309386778465,0.1845806586745942,-4.260480002662997,2.039883341326784e-05,3.709347352409344e-05
AL365330.1,25.406657054468823,-0.11759847856519856,0.1666262879716847,-0.7203806802407747,0.47129064189868397,0.5133768093806867
CEP104,2568.0314672943164,-0.004596750527463328,0.07567171646778802,-0.12587843275024485,0.8998281550325472,0.9125631325973382
DFFB,318.9405508100248,0.1774470354639763,0.10387193315073999,1.720498253739758,0.08534191082983103,0.10590483919080838
C1orf174,1408.7577507356025,0.5897750061303131,0.07407371595429478,7.985088107935509,1.4042197247853115e-15,5.496346442272704e-15
LINC01134,24.408431777407902,0.6387079980042566,0.16387301081562114,3.9660953580484906,7.305964257857801e-05,0.0001265546529513606
AJAP1,159.22044118614002,0.1421251741557289,0.32724941200232677,0.47583229664757465,0.6341938588854539,0.6706345557864145
NPHP4,1119.9142636414667,0.0359450926883822,0.112103156407473,0.2825427788007904,0.7775273494115729,0.8034967046328984
KCNAB2,3434.213011141772,-1.3226454132721,0.14613563229584514,-8.915967181900495,4.835767409665427e-19,2.3612524463773394e-18
CHD5,21.557667740540893,0.1963879946049577,0.22673510368425545,-4.977328530989023,6.446784811791971e-07,1.3248122779589385e-06
RPL22,6161.636703913789,0.04107487593629065,0.11054029457365354,0.1523356153791237,0.8789222357012892,0.8942101885410841
RNF207-AS1,11.320057333639488,-0.31541341587736954,0.2110112894874596,-1.5451528171546953,0.1223093039588974,0.14793116384857727
RNF207,410.0567188885229,0.8742940693355201,0.18709912819602378,4.745858550050764,2.0762377244845123e-06,4.080736529730721e-06
ICMT,6897.757780199038,0.643215949159537,0.10064541460882709,6.048392503377105,1.462981851483035e-09,3.7142237097543987e-09
GPR153,2347.8453063825104,0.5227434611806796,0.172519939831008,3.006033351220661,0.002646799655938072,0.003962061376808003
ACOT7,2874.11127006838,1.1808513683983501,0.11891704620635424,9.882656817242745,4.9502712409042995e-23,3.1015079428724023e-22
AL031848.2,16.246920801533047,1.0825335969589776,0.20658574196000484,5.371608207676742,7.803751722148699e-08,1.726252869928203e-07
HES2,1379.3523779772645,3.551923014430334,0.2400263386391951,14.951399232144764,1.5251068609337883e-50,3.877894603538709e-49
ESPN,747.0548904053416,3.012188155196608,0.2527117532530387,12.098763510895006,1.0721388775870965e-33,1.2064659986879137e-32
PLEKHG5,1619.684645017518,1.3118296353888677,0.15741619833837134,8.580534650833533,9.443317774650353e-18,4.2581105726991905e-17
NOL9,1933.1946133811257,0.4557718591736454,0.0985001409003079,4.608921734122989,4.04762653366941e-06,7.765456885932978e-06
TAS1R1,19.555166563693415,-0.6070165424359233,0.23143901782110052,-2.726307640157999,0.006404727236152134,0.009182179970554849
ZBTB48,1169.002930199653,0.10770728052288132,0.10332719710849575,1.0538146478021793,0.29196778589789596,0.33131848632123617
KLHL21,3935.822430890157,0.7860765433605674,0.1172245194632369,7.119879817908956,1.080212126223821e-12,3.459228346949683e-12
THAP3,688.9750965354241,0.24246962980600142,0.0988832636154581,2.491057843943184,0.012736338259391543,0.01764517971273085
DNAJC11,1889.1752343522307,0.6228222849976496,0.07968052273606954,7.699669713256763,1.3641837753571701e-14,4.992556717551899e-14
CAMTA1,1857.6528805505932,0.15428582429461235,0.09232017095983701,1.6348157234153387,0.10208768362687094,0.1251097525043011
VAMP3,8751.039669146116,-0.4567786530717705,0.09409063159597161,-5.664250971842183,1.4766814493327177e-08,3.4490627953724395e-08
Z98884.2,26.64320180973954,-0.004296983183755854,0.13738112801695854,-0.036751075769588054,0.9706834835500214,0.974510171227772
PER3,1766.3304482519673,-0.5802287589964834,0.18955209199129058,-3.15996771594736,0.0015778662142483134,0.002421286682530113
UTS2,18.344875630815928,0.4658780823596148,0.3649018510140911,-0.7404336191067075,0.4590369257661445,0.5016795346762836
TNFRSF9,338.2322995978564,0.5690151478435064,0.23649378084530107,2.509978413722224,0.012073854201429146,0.016772281688171926
PARK7,9140.294181767336,0.26193277821417993,0.08699099859283799,3.012549208084298,0.0025906343127257148,0.0038818475403773656
AL034417.4,60.05616273136522,-0.5491221143728007,0.20854514928343715,-2.7207547740764015,0.006513305936506283,0.009324922432709609
ERRFI1,10826.457141535095,-0.3698232895978075,0.2220205913992785,-2.300749500115978,0.02140579438942377,0.028833112094404072
AL034417.2,11.536548245050628,0.13952545634385957,0.2516880401895951,0.5803101820181608,0.5617054623042497,0.601962353847096
SLC45A1,120.27167169123113,0.19702197783124767,0.18542633227341687,1.0906407800828355,0.27543097802529104,0.31431981932110603
RERE,8537.363488761208,-0.28583437506302795,0.10356296740008732,-3.2787334549301415,0.0010427407506740723,0.0016314260534884611
RERE-AS1,10.474674440639205,-1.2000637122321014,0.1911008520857997,-6.408948545664117,1.4652663119274268e-10,4.0256519935825225e-10
ENO1,99764.45566881221,2.677894733967139,0.12263558249504124,11.044027751352036,2.3429009371804295e-28,1.964642310696436e-27
SLC2A5,484.04068393307364,2.2648843224353747,0.2496014168150116,9.281841458039514,1.6657438726986697e-20,8.94648225982514e-20
GPR157,1784.949733083964,0.42803305230971855,0.15951606514310263,2.8572942946929065,0.004272694810307904,0.00625173845973895
MIR34AHG,340.2265298977268,-0.17655338222804254,0.18051071857102255,-0.9852926623982391,0.32448033590714365,0.36508448887105416
LNCTAM34A,87.40504813316399,1.1718702639793273,0.1619415622812749,7.345592113190336,2.0485019340324938e-13,6.896248223315003e-13
H6PD,9551.950346851427,-0.2220108125166459,0.10497007596760544,-1.9834457106911518,0.04731766551625869,0.06085853281201477
SPSB1,3882.890395675307,0.44621380223666124,0.18893546253562485,2.3201304739559854,0.020333820260500818,0.027460694033782332
LINC02606,77.89321159423747,-0.7115021320920099,0.1267844346950455,-5.673135680743082,1.4020709323365277e-08,3.2812781200292015e-08
SLC25A33,786.3017212141107,0.7208828181145728,0.1409494038236493,5.094688973506984,3.493142507877748e-07,7.322019492579507e-07
AL954705.1,11.32591278324564,0.13006897304132883,0.19998011902911392,0.6673521289935042,0.5045472360301462,0.5462600822818372
TMEM201,1519.6030108277405,1.2860602981559728,0.10217547563500903,12.663212337615693,9.454973318108785e-37,1.2818032214140435e-35
PIK3CD,2354.1003688163105,-0.16226960615474523,0.14638832305205138,-1.1931978956011045,0.23279187864548,0.2690924558113569
PIK3CD-AS2,98.51245397367552,1.1925876519422494,0.1901650430489552,6.399926304926218,1.5545196349704587e-10,4.2644951139651977e-10
CLSTN1,22080.131508172402,1.4357585662691368,0.11879242032423214,12.545344745914747,4.2157563568356655e-36,5.47320901762359e-35
CTNNBIP1,3077.9580142147793,0.28299220383732954,0.11704185543997866,2.3676592848358475,0.017901012594688334,0.024340024764241498
LZIC,2717.9936756891484,0.32656740330778605,0.07276365971663518,4.577561997262418,4.704263926323514e-06,8.985654370232301e-06
