,padjScreen,p_naive,p_aware
A1BG,0.08853921236512113,,
A1BG-AS1,3.627921911307563e-05,1.4286294882350804e-05,0.8165289026605367
A2M,7.580159586347864e-39,8.855067126526331e-32,4.364619722059642e-40
A2M-AS1,9.253561604594033e-46,3.2871038478539437e-28,3.9484009132922355e-47
A2ML1,4.910322545142396e-25,5.66688317585519e-26,2.5650633341429595e-21
A2MP1,6.6683327326556835e-18,1.1469068300872262e-18,2.339040366440237e-16
A4GALT,0.0006437292205744393,0.0017026262311831825,0.00027764821949030735
AAAS,1.3037841666098142e-05,0.0020079323746499396,4.9789391869515445e-06
AACS,1.0957429959531943e-06,0.05298092228329275,3.85960766019895e-07
AADAC,1.0073136077187029e-34,9.723867093151724e-31,6.986611031667247e-36
AADACL2,3.0290412010165043e-15,0.001028173469797056,6.100236056917929e-16
AADACL2-AS1,3.613291057153008e-10,1.185437626992125e-06,1.003352740373452e-10
AADACL3,5.07936590947518e-27,5.258607947036183e-28,2.9544915267140934e-27
AADACP1,1.7072115151188368e-43,1.3417878906799546e-34,8.026948773868885e-45
AADAT,0.18746394170732977,,
AAGAB,3.3113382972933644e-49,1.20225279630855e-50,3.6389076241226134e-25
AAK1,4.8866496981641864e-05,0.16513223594763163,1.942273242356809e-05
AAMDC,3.786376411602845e-17,6.101557458398533e-07,6.7917656408919815e-18
AAMP,0.00010500098992973334,4.2759722216166505e-05,0.8312646066241473
AAR2,1.735236857935854e-08,5.394585758642527e-09,1.315347816299575e-06
AARD,2.190323215556829e-18,3.6643280037595856e-19,1.483967664535526e-05
AARS1,1.1349330477939649e-07,3.731684680755952e-08,2.1418384847419596e-06
AARS2,0.004317352803152055,0.00198819246508973,0.006469567837589242
AARSD1,0.0006899249853813468,0.2959512474898076,0.0002981730969375498
AARSD1P1,0.0006987732972518195,0.09296687898837311,0.0003021360983818193
AASDH,2.46191615758537e-12,0.031169318072851497,5.961459005842904e-13
AASDHPPT,2.1292276955845986e-09,6.23582216512537e-10,0.00013687956727338778
AASS,2.1520021663907812e-57,7.536818699298335e-44,5.556486706958304e-59
AATBC,0.0005072803066109753,0.0002171699264907373,0.11076599768801702
AATF,2.8127756610286335e-15,5.650715319024721e-16,0.0001781772372931793
AATK,0.012492947213062053,1.0,0.00595991818213599
ABAT,9.678149536848823e-24,1.1989457117592292e-24,1.8089399574124635e-08
ABCA1,7.876229282005107e-22,1.5052599796145464e-17,1.0853065524280137e-22
ABCA10,2.5344457708174654e-94,3.321690550816521e-79,1.4675096038779064e-96
ABCA11P,0.010770553458043874,0.27487454516100024,0.005115209918903491
ABCA12,1.6665399629315018e-09,4.841000404251074e-10,5.9704532392720654e-06
ABCA13,1.0779799701164115e-12,0.3910258355216722,2.5441291690346816e-13
ABCA17P,4.607866766423219e-11,1.2068167955102957e-11,0.76392762745885
ABCA2,0.000647582266040042,1.0,0.00027939054971971096
ABCA3,5.354868004051951e-18,9.163424720651524e-19,0.007393972065636381
ABCA4,0.09305629366954098,,
ABCA5,4.096868023938618e-95,1.8178414544212718e-55,2.2500194664275215e-97
ABCA6,4.345405014177604e-61,8.672585379107855e-49,9.600062270387401e-63
ABCA7,0.17359102112218872,,
ABCA8,1.3443120731001848e-67,6.248132068187925e-59,2.2549966434955881e-69
ABCA9,2.429445338311484e-87,1.0673751269690909e-73,1.871590593629622e-89
ABCB1,2.0455704804793258e-44,6.284528598907375e-37,9.243736025309898e-46
ABCB10,1.4430751089835023e-15,2.851364361711686e-16,1.7016250316144814e-07
ABCB11,1.4048380694591937e-21,2.698387188430952e-18,1.9672620580026233e-22
ABCB4,0.0058540249483862725,0.0027253803027601498,0.8688720867546302
ABCB5,1.6233910551301985e-56,9.224916368047128e-52,4.361048038259803e-58
ABCB6,0.0001665654884082596,0.2820703617764902,6.886969672307712e-05
ABCB7,0.003090770166952292,0.9587077855131871,0.001405363363437527
ABCB8,4.682665232690529e-30,4.141552078316499e-31,2.9183864649190267e-12
ABCB9,4.4408542766675694e-20,6.751775960400645e-21,3.6976783769740176e-09
ABCC1,2.1501944276234055e-07,7.208281021033732e-08,0.0005975801533812318
ABCC10,7.247149322949853e-06,2.707055205597894e-06,0.017961627913921526
ABCC11,0.23367033831553413,,
ABCC12,0.0006396291520900788,0.00027580033344719074,0.0029472378253958507
ABCC2,4.0359280457820075e-21,0.24279277066846325,5.793121369889879e-22
ABCC3,0.00046301771580488924,0.797224880790503,0.00019759948393432807
ABCC4,1.9917660947887825e-16,5.523100578563558e-06,3.7286217674065346e-17
ABCC5,2.4937881741753467e-27,2.5291127084516875e-28,6.713869874355819e-10
ABCC6,8.94959365403968e-32,1.0080956234991328e-14,7.201487140104493e-33
ABCC6P1,2.6563909104235258e-20,7.323946355049408e-09,3.9911877346969775e-21
ABCC6P2,0.0035456672567654303,0.4961046228516773,0.0016206624715130854
ABCC8,0.006030149034818946,0.0028097737177647923,0.24225355730986775
ABCC9,2.4707982265456258e-37,5.689690533101857e-30,1.5356526750970701e-38
ABCD1,0.004603059009002884,0.0021244535764215096,0.04742144785284202
ABCD2,1.2970358277306442e-65,2.7144251296779213e-62,2.4077678014781094e-67
ABCD3,1.5621074276304783e-18,2.5923840461521704e-19,7.047926916374432e-11
ABCD4,2.684383837797795e-48,2.2422519031651966e-24,1.0193187137562204e-49
ABCE1,1.2461133121728995e-11,3.1524437171769676e-12,0.019824194839599057
ABCF1,8.44282061091049e-14,1.8566232501477865e-14,1.0
ABCF2,1.6160432690872907e-08,5.011179898526643e-09,0.9782071100400602
ABCF3,5.720223090383159e-15,1.1730437609801647e-15,0.5466004781030184
ABCG1,7.067025256705846e-22,9.717159727970538e-23,2.332458918866659e-08
ABCG2,1.3025682736558057e-29,4.1683244307072753e-23,1.1756779249298923e-30
ABCG4,0.6694801383695969,,
ABCG8,3.439032577555043e-10,4.523356004566926e-06,9.535110951237975e-11
ABHD1,1.830316783939778e-17,1.0351904675777516e-08,3.22488717647441e-18
ABHD10,1.2839943048944655e-05,4.899855006451147e-06,0.0011275473056810944
ABHD11,2.743045002877522e-31,2.2713285162991808e-32,2.318303419340708e-11
ABHD11-AS1,3.82252443811829e-12,9.366324791214299e-13,3.8211517314393285e-05
ABHD12,2.367080034048422e-49,8.541253005562398e-51,2.513580333763552e-15
ABHD12B,1.385321478850178e-05,5.302021892587373e-06,0.004636770110815417
ABHD13,1.0575476449782887e-05,0.07167744400806311,4.005549558386548e-06
ABHD14A,1.1711145096518242e-06,0.0006125979986897236,4.134406740584944e-07
ABHD14B,3.0982926621472966e-24,6.856203857805656e-17,3.742743695501493e-25
ABHD15,5.817066295666509e-14,8.393680469346283e-05,1.2654721260503134e-14
ABHD16A,0.0001939117349024464,0.12772150571862884,8.05572184981162e-05
ABHD17A,0.005060804064472243,0.7423480771815274,0.0023432629554981815
ABHD17B,0.07417221415641949,,
ABHD17C,1.1111253648872177e-34,7.737011114348868e-36,3.935266701254245e-21
ABHD18,0.033443610150213084,0.016499900405372275,0.3692059119875193
ABHD2,6.204847456133967e-26,6.824715417705998e-27,4.8818832443577846e-14
ABHD3,7.700723726434431e-26,8.519786786800718e-27,6.629815066174378e-19
ABHD4,5.8379190073695645e-05,0.3217355151968334,2.334732370417455e-05
ABHD5,8.936942126578409e-14,5.38515954921725e-09,1.9675042320914048e-14
ABHD6,2.2585906618484612e-26,1.7606915701832272e-19,2.4202392976865223e-27
ABHD8,7.016913702098043e-05,2.8242031391446298e-05,0.5332108844747016
ABI1,5.531148826507172e-06,2.047652188580451e-06,0.00012185310266501428
ABI2,3.438762942284776e-11,0.03584137447588412,8.93702357117649e-12
ABI3,0.18030659986607234,,
ABI3BP,4.985699156364703e-38,1.293538452715098e-31,2.990923897481211e-39
ABITRAM,0.010496754916192782,0.0049812632176843286,0.05248794680333992
ABL1,1.2528811667381705e-18,6.364810916095291e-05,2.0680011703466521e-19
ABL2,5.048628337800975e-16,9.671937339987008e-17,1.622713825762444e-05
ABLIM1,2.7555337598179447e-47,1.953864840670745e-37,1.0901614676019302e-48
ABLIM2,0.3090858536512264,,
ABLIM3,1.6307170030628825e-27,1.2791544178401917e-19,1.63557997623305e-28
ABO,2.7399658209086306e-24,0.008210324735026512,3.300351474638204e-25
ABR,0.0011235032696015588,0.0004939058856672857,0.0347875271959663
ABRA,6.146460270130438e-13,7.438855527654331e-11,1.426333151155021e-13
ABRACL,7.858022120888733e-32,6.307507815723311e-33,3.707416218172591e-22
ABRAXAS1,3.6947092963169543e-17,7.784287083603446e-08,6.62550255522444e-18
ABRAXAS2,5.288869376770243e-05,2.1085817945209992e-05,0.7833335281657974
ABT1,1.6368892677803743e-05,6.295352462268656e-06,0.0004560216410642852
ABTB1,1.4468829960329794e-46,7.779738686591604e-24,5.939986852501198e-48
ABTB2,0.003470461796139013,0.0015847349777349494,0.3023881768053494
AC000068.1,0.005631932467638095,0.00261694516103124,0.2980512592447603
AC000078.1,5.7187132718998356e-08,2.703091977313898e-05,1.8443702992722678e-08
AC000082.1,3.512489254126327e-46,1.4690654609082027e-47,3.390339557594726e-47
AC000085.1,5.082479096318572e-42,4.266150488350845e-37,2.553869963408587e-43
AC000089.1,0.3288952690078981,,
AC000093.1,0.0012807846590840145,0.05406977015026273,0.0005653722141975483
AC000120.1,1.4844439840891007e-23,0.05864220212846896,1.8573994681631765e-24
AC000123.1,0.0009859034318176725,0.7769026379999009,0.00043162675840785134
AC000123.2,0.002913686649076499,0.6691217034119807,0.0013220201500705449
AC000123.3,0.02658138957008033,0.013024484546552532,0.1850381162828116
AC000403.1,4.6755180756623386e-21,2.0055395205662843e-19,6.733257268504784e-22
AC001226.2,1.8240179830174304e-32,0.10708297639472249,1.4142485355403535e-33
AC002064.2,3.4891940487405423e-25,0.006483322588404307,4.0016477472508953e-26
AC002066.1,3.1417893524326125e-38,3.696237748363979e-30,1.8668037628395567e-39
AC002070.1,0.28369493702864396,,
AC002074.1,0.003542918801589585,0.0016193181560346832,0.08277432793563218
AC002091.1,7.113852085630389e-09,9.937292320152414e-07,2.1555466819108184e-09
AC002128.1,6.39424567529963e-08,2.0679600700385037e-08,0.15232701773034765
AC002310.1,2.181883539910051e-07,0.0881595384073549,7.316684017779878e-08
AC002310.5,0.00018933839782825308,7.86055485616003e-05,0.1547871541618274
AC002350.2,0.0011124394631576552,0.0004888762292862817,1.0
AC002398.1,0.0028629574619444503,0.0012981491513578143,0.39456316037899436
AC002401.2,7.828855124494976e-29,1.2363994489739882e-21,7.35025215217247e-30
AC002401.3,1.1561558393848109e-33,5.397742643414477e-26,8.478667698868232e-35
AC002451.1,5.00632462599446e-85,8.665170926142308e-69,4.093143146004417e-87
AC002456.1,0.0029517978667970373,0.0013401925205363287,0.29555759009979304
AC002460.2,4.676330520822183e-22,5.6209673245548665e-18,6.370686857640955e-23
AC002467.1,0.0005435846003976142,0.3727189194365967,0.00023319833391312163
AC002470.1,0.13729169856682152,,
AC002480.1,2.366888625811138e-43,1.3632939529012484e-30,1.1205076620701337e-44
AC002480.2,1.1387926629095168e-34,1.3815425200756225e-22,7.9438146242222e-36
AC002525.1,0.00015116314610363497,6.233225853125286e-05,0.004834074275101732
AC002546.1,1.5302061716887404e-46,1.6752608037675634e-42,6.30107263043798e-48
