,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG,12.101259115471901,-0.2380747613498073,0.12806025044341365,-1.8594310076337393,0.0629660700583172,0.0786354563900781,,0.0
A1BG-AS1,77.9560814756346,-0.03139640042134534,0.09769765930385367,-0.326320359480007,0.7441819859363108,0.7722366043776439,0.8165289026605367,0.0
A2M,60702.28937845819,0.38992271258889766,0.10129641547882269,-13.259452338482,3.977901286820076e-40,5.0469051038988506e-39,4.364619722059642e-40,1.0
A2M-AS1,126.64496062610753,-1.5780789502831165,0.10989939652564917,-14.425079298372252,3.59856071640876e-47,6.125044439124116e-46,3.9484009132922355e-47,1.0
A2ML1,464.1038171572748,2.8023964259369953,0.30254317272999415,9.488768771620977,2.3377910075627987e-21,1.1996530516726253e-20,2.5650633341429595e-21,1.0
A2MP1,23.61517249644813,-1.4228730344857277,0.17583145844719586,-8.214427168245296,2.1317943546284459e-16,8.211741785513448e-16,2.339040366440237e-16,1.0
A4GALT,1069.2626282898304,-0.4202014061328474,0.11805248044366307,-3.6591555139293965,0.0002530477521355764,0.00040979182630171537,0.00027764821949030735,1.0
AAAS,2019.3665812274196,-0.2144965406969995,0.046900998356504096,-4.5850954806479525,4.537790199377835e-06,8.505370728601213e-06,4.9789391869515445e-06,1.0
AACS,4061.666269248154,-0.6719049170114688,0.12427742934769508,-5.0933650384257385,3.517634812611111e-07,7.202978028309331e-07,3.85960766019895e-07,1.0
AADAC,168.28423671567194,-4.282211012712929,0.3471268147422414,-12.512635688017673,6.367576279993885e-36,6.787571895564702e-35,6.986611031667247e-36,1.0
AADACL2,3.9145215580417916,-1.0062149354026064,0.14904674806875082,-8.098595373416963,5.559736794038265e-16,2.0838157803936968e-15,6.100236056917929e-16,1.0
AADACL2-AS1,12.699778981084103,-1.3547557918553934,0.2137350968529789,-6.480456912001019,9.144526697007544e-11,2.4240462459550737e-10,1.003352740373452e-10,1.0
AADACL3,6.23127372450553,-4.826444480362995,0.4372018648723678,-10.822519525160637,2.6927146909534136e-27,1.8955474973688633e-26,2.9544915267140934e-27,1.0
AADACP1,13.97603838999316,-2.749144457037844,0.19471965458843868,-14.053656239538634,7.315736969117683e-45,1.1325540626244176e-43,8.026948773868885e-45,1.0
AADAT,280.83548973430214,-0.20499332028224032,0.1558351474163535,-1.3451615310122351,0.1785730761987424,0.20884611306227155,,0.0
AAGAB,4050.967063938493,0.704437679278967,0.06625026841104718,10.372242522888001,3.3164894635507784e-25,2.1002530521327303e-24,3.6389076241226134e-25,1.0
AAK1,3235.2074803499113,-0.24653805073197924,0.06428282152436976,-4.292066140636681,1.7701819911315002e-05,3.158882680156737e-05,1.942273242356809e-05,1.0
AAMDC,447.6722178436514,-1.012368172109363,0.11919650868905526,-8.628982894425281,6.1899947768955724e-18,2.6198298446078727e-17,6.7917656408919815e-18,1.0
AAMP,6252.478514745575,-0.043255830244478856,0.07028644127291649,-0.3086180849318174,0.7576120622068238,0.7844767300786979,0.8312646066241473,0.0
AAR2,3438.296974329716,-0.28307254481190464,0.056127552942269045,-4.855835150419196,1.1988040434837583e-06,2.3543099425271284e-06,1.315347816299575e-06,1.0
AARD,2027.2598166785535,0.9085693569828813,0.22493314525082217,4.351436705302194,1.3524836659926972e-05,2.4353531329897867e-05,1.483967664535526e-05,1.0
AARS1,8764.84624304609,0.34813772738419124,0.07937331801364723,4.758324491869347,1.9520651527907333e-06,3.7725457684503394e-06,2.1418384847419596e-06,1.0
AARS2,1151.1805307773434,-0.18349888298704273,0.067231037418351,-2.7534906929874094,0.005896344668069195,0.008314768757093296,0.006469567837589242,1.0
AARSD1,52.128509256486,-0.4370281333823439,0.12206781682127865,-3.640836133945025,0.00027175406370644596,0.00043921536791738055,0.0002981730969375498,1.0
AARSD1P1,13.546244577500113,-0.450347486977792,0.12498975512872859,-3.6374356756338115,0.0002753659313028721,0.0004448575411227372,0.0003021360983818193,1.0
AASDH,1067.5102066661677,-0.400285999544691,0.05603044287604054,-7.213997990086529,5.433255807100889e-13,1.683432353649954e-12,5.961459005842904e-13,1.0
AASDHPPT,2206.758341925559,0.2641182120874036,0.06729680274444906,3.8365956403501906,0.0001247516259077986,0.00020764660284555245,0.00013687956727338778,1.0
AASS,1371.494603675599,-1.689039340026134,0.10599587157082901,-16.199738874924705,5.0641652719696085e-59,1.3836202047524885e-57,5.556486706958304e-59,1.0
AATBC,145.40190969542292,0.2764314637606121,0.17496521108129048,1.6402567357199562,0.10095179713185823,0.12270064821245953,0.11076599768801702,0.0
AATF,3042.6976328866144,0.2187607441176283,0.06687336950383556,3.7713139689113317,0.0001623901981490654,0.0002673123565982229,0.0001781772372931793,1.0
AATK,275.7711560203943,-0.2976984381547353,0.10905819123080346,-2.780241328868931,0.005431851505008884,0.007690217009207729,0.00595991818213599,1.0
ABAT,3261.8399757141956,0.9019083769289419,0.16449967207270924,5.645328397343068,1.6486624362719135e-08,3.727557552554155e-08,1.8089399574124635e-08,1.0
ABCA1,4557.742854932929,-1.2143112450503022,0.1267347123490966,-9.813068027095225,9.891451275073217e-23,5.497695288106535e-22,1.0853065524280137e-22,1.0
ABCA10,674.924392081621,-3.5850206521529193,0.17232957841944782,-20.856253151988202,1.3374838390117537e-96,1.9425192914489126e-94,1.4675096038779064e-96,1.0
ABCA11P,62.21738554003794,-0.27607970921105784,0.09864809195449555,-2.8295063878641615,0.004661986934604921,0.0066510290531432235,0.005115209918903491,1.0
ABCA12,1493.6877716846632,1.1908451723314242,0.2841880254219198,4.547005676224518,5.44145312439545e-06,1.0126065849629432e-05,5.9704532392720654e-06,1.0
ABCA13,45.646253178468626,1.2207908999878472,0.10806022231749049,-7.329003017002324,2.3187116724487133e-13,7.375775054895936e-13,2.5441291690346816e-13,1.0
ABCA17P,46.90905352548385,0.04810766575786787,0.12520535250614273,0.3903992505847704,0.6962413419311497,0.727860200997872,0.76392762745885,0.0
ABCA2,4003.6770780981583,-0.3047242346112886,0.08662101190538499,-3.6575519038205058,0.00025463570666608916,0.0004122122065234718,0.00027939054971971096,1.0
ABCA3,4993.262383670525,0.25949758273705853,0.11693414561475943,2.7094816189517243,0.006738843901096394,0.00944790537029112,0.007393972065636381,1.0
ABCA4,274.6135451590771,0.11590631499382754,0.1760500587931923,0.641040497080222,0.5214963720154442,0.5614510562600802,,0.0
ABCA5,2029.134147992718,-2.0179380174258146,0.09728041731927173,-20.945767944631122,2.0506609741131425e-97,3.1437771989251204e-95,2.2500194664275215e-97,1.0
ABCA6,1410.1208028317687,-2.508542553323164,0.1515409397658186,-16.724095323644303,8.749467878247623e-63,2.739762452201341e-61,9.600062270387401e-63,1.0
ABCA7,910.0927934404185,-0.055735694870809205,0.08421605554917502,-0.6089432561559605,0.542562051253505,0.5821150779292562,,0.0
ABCA8,3600.342585081526,-3.633435243531109,0.20260964997252345,-17.610254283255465,2.0551971583226686e-69,8.609209196799096e-68,2.2549966434955881e-69,1.0
ABCA9,1699.6457187722556,-3.4611671875560774,0.17350504093697855,-20.058372471917696,1.7057620376801956e-89,1.7846636371482464e-87,1.871590593629622e-89,1.0
ABCB1,735.2380517835012,-1.9433290294911638,0.13821664896507216,-14.205872220727185,8.424713210238954e-46,1.3655210633570862e-44,9.243736025309898e-46,1.0
ABCB10,1481.064024516621,-0.3506650040378063,0.06684081639258378,-5.246417087233801,1.5508559356805293e-07,3.26374600915952e-07,1.7016250316144814e-07,1.0
ABCB11,37.34744229549423,-2.3758737659938642,0.24842578426992756,-9.752886865648177,1.792956722549954e-22,9.799780293887791e-22,1.9672620580026233e-22,1.0
ABCB4,111.12810291819399,0.02975516791964203,0.11526456989268337,0.2638605093386898,0.7918874064822956,0.8157585807514306,0.8688720867546302,0.0
ABCB5,182.35268958604453,-3.459710659925684,0.216705288972947,-16.07253942871443,3.974646064947782e-58,1.0359419897259412e-56,4.361048038259803e-58,1.0
ABCB6,23.375400156440755,-0.44425826772895444,0.11181847454036614,-4.002156960739843,6.276763444774016e-05,0.00010696760059196479,6.886969672307712e-05,1.0
ABCB7,1706.1083719495577,-0.16375549640998438,0.04899241009166455,-3.220237591128712,0.0012808439423973113,0.001937826772341377,0.001405363363437527,1.0
ABCB8,1642.506478215097,0.5273139450184424,0.07390234177491353,6.994618934782744,2.6598086462298794e-12,7.852090889832953e-12,2.9183864649190267e-12,1.0
ABCB9,553.4826403524302,0.6349878273666133,0.10754301784034691,5.912474860426944,3.370052950929391e-09,8.020406311418417e-09,3.6976783769740176e-09,1.0
ABCC1,3667.8801730804184,-0.21387949810811085,0.07073028660102759,-3.45778652594595,0.0005446327543952883,0.0008552648090788436,0.0005975801533812318,1.0
ABCC10,1183.4961663440151,-0.14364322795420964,0.060079701943680744,-2.400556270171176,0.016370173655920507,0.02199227575011319,0.017961627913921526,1.0
ABCC11,3572.1945101357155,0.22250233141370676,0.28725133695627875,1.1707789868696827,0.24168762627234086,0.2773703492195985,,0.0
ABCC12,88.06091223701549,0.9856624965609954,0.37428243924294513,3.0015483612936116,0.0026861036893895867,0.0039361715928950885,0.0029472378253958507,1.0
ABCC2,81.40906411508091,-0.11338501789973336,0.04351639947302871,-9.642666487248542,5.279833392017773e-22,2.8113266271631543e-21,5.793121369889879e-22,1.0
ABCC3,1569.090473973347,-0.5457626608718817,0.1522636499426305,-3.74542091339805,0.00018009157531974457,0.0002954813539025404,0.00019759948393432807,1.0
ABCC4,481.55187622886655,0.8451081327310579,0.02671901191410086,-8.43199363647577,3.398254663898328e-17,1.3737386918187053e-16,3.7286217674065346e-17,1.0
ABCC5,3523.369196674342,0.6171089786842591,0.10452157505370371,6.187334565780975,6.119000809568721e-10,1.529561445909149e-09,6.713869874355819e-10,1.0
ABCC6,530.3407368087217,-2.1796437663292942,0.18563298973609368,-11.949097453183036,6.56341371892111e-33,6.093100137043836e-32,7.201487140104493e-33,1.0
ABCC6P1,26.43734365763207,-2.140321449557046,0.22904604949435514,-9.442567272061403,3.637556496743214e-21,1.8468881605819503e-20,3.9911877346969775e-21,1.0
ABCC6P2,17.33495383177188,-0.5816969021762628,0.18909026499490642,-3.179151848375875,0.0014770669019225982,0.002222143173425329,0.0016206624715130854,1.0
ABCC8,531.5142826131276,0.27533508378736554,0.2351258135065756,1.224432372304819,0.2207891634840795,0.25459083693259543,0.24225355730986775,0.0
ABCC9,2092.1353617232667,-2.0083448975149634,0.1618965128855083,-12.989708603610108,1.399589229160765e-38,1.654918683607555e-37,1.5356526750970701e-38,1.0
ABCD1,1215.2318297148622,0.2440469153288898,0.11576564587913167,2.0215799518130018,0.04321976493926352,0.05517374260100512,0.04742144785284202,1.0
ABCD2,741.1931788416624,-3.8140183533145073,0.22152503235548854,-17.34387212005797,2.1944323322041837e-67,8.238824517982918e-66,2.4077678014781094e-67,1.0
ABCD3,5993.229346773932,0.5671993880332225,0.08347750019323051,6.533536351006846,6.42345939289063e-11,1.721134719716635e-10,7.047926916374432e-11,1.0
ABCD4,1856.0557670273051,-0.8577974330358062,0.057988651571127814,-14.830598901353284,9.290040098194942e-50,1.7725749801879994e-48,1.0193187137562204e-49,1.0
ABCE1,4029.1979855801833,0.12309716609253006,0.06397838918585493,2.364227544702627,0.018067711549770476,0.024126503351839194,0.019824194839599057,1.0
ABCF1,5015.841983651552,0.008699857966577483,0.054980352438456406,0.08940381277419684,0.9287609934522457,0.9377657284186841,1.0,0.0
ABCF2,939.5796838892637,0.010840079727958474,0.060971114541914055,0.13636211990123,0.8915350178477085,0.9049810122312862,0.9782071100400602,0.0
