,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG,12.101259115471901,0.21693627385690886,0.1273491832013114,1.7374563345863168,0.08230665501707808,0.10323873387255772,,0.0
A1BG-AS1,77.9560814756346,0.4210038678491454,0.09770020030800093,4.359760514203707,1.3020486185581544e-05,2.4496356999565212e-05,1.4286294882350804e-05,1.0
A2M,60702.28937845819,-1.0443285531367628,0.09045013924744802,-11.738713421698925,8.070481544922531e-32,7.3288338373389465e-31,8.855067126526331e-32,1.0
A2M-AS1,126.64496062610753,-1.1963870288937697,0.10973361685263809,-11.021924146878577,2.9958565600118386e-28,2.2829316333731914e-27,3.2871038478539437e-28,1.0
A2ML1,371.9817127753737,3.3980238844821926,0.2938668794544599,10.548439401055505,5.164780281672695e-26,3.4750895915332647e-25,5.66688317585519e-26,1.0
A2MP1,21.71532799904347,-0.9564366369324059,0.15073418164213612,-8.830157163588499,1.045287435285151e-18,4.7074184866085256e-18,1.1469068300872262e-18,1.0
A4GALT,1069.2626282898304,-0.36617205039100154,0.11795019198794984,-3.164823892505266,0.0015517684259560441,0.002405339121710829,0.0017026262311831825,1.0
AAAS,2019.3665812274196,0.1455496454446876,0.04687847873737362,3.1165150282561362,0.0018300235268144944,0.00281412645430181,0.0020079323746499396,1.0
AACS,4061.666269248154,-0.23797707931757175,0.1250289253167003,-1.974836960118924,0.048286653213437676,0.06267130086071199,0.05298092228329275,0.0
AADAC,168.28423671567194,-3.930666076734738,0.3471368392169388,-11.534282454996708,8.862303221335962e-31,7.657307472180536e-30,9.723867093151724e-31,1.0
AADACL2,8.882970765305343,-0.3079028486549625,0.3356185283700798,-3.3087680933566395,0.0009370742078418537,0.001490299705519542,0.001028173469797056,1.0
AADACL2-AS1,12.699778981084103,-0.9958120007655598,0.21316061639702238,-4.876398155038825,1.0804042876916812e-06,2.2162242199481093e-06,1.185437626992125e-06,1.0
AADACL3,6.23127372450553,-4.843168362196868,0.43698998340577977,-10.979557060673292,4.79267946613372e-28,3.6110304400808194e-27,5.258607947036183e-28,1.0
AADACP1,13.97603838999316,-2.3298086725776144,0.19429599683616106,-12.275725835512505,1.2229014477478115e-34,1.2782562670682144e-33,1.3417878906799546e-34,1.0
AADAT,250.68581259613927,0.13226988261177827,0.13439671192419117,-1.438450010955873,0.15030641143761542,0.18107308807076658,,0.0
AAGAB,4050.967063938493,0.9856978933930973,0.06619562315998394,14.973400147683977,1.0957295824301516e-50,2.3599342694368807e-49,1.20225279630855e-50,1.0
AAK1,3235.2074803499113,0.09204906538000868,0.06411297479575279,1.4377640137022611,0.15050102315937436,0.1812877496189419,0.16513223594763163,0.0
AAMDC,420.86078498138903,-0.2918947422837021,0.1003119987525027,-5.005873011149846,5.560941115373187e-07,1.1676178054306495e-06,6.101557458398533e-07,1.0
AAMP,6252.478514745575,0.28785108759910627,0.07025708829230856,4.113496577143608,3.897108221549511e-05,7.03685269907795e-05,4.2759722216166505e-05,1.0
AAR2,3438.296974329716,0.32468980926111773,0.05596643881215754,5.849970256824482,4.916609234638868e-09,1.211103162953444e-08,5.394585758642527e-09,1.0
AARD,2027.2598166785535,1.9904725638352885,0.2273190911804021,8.956889613714846,3.339657521092719e-19,1.5469215156450453e-18,3.6643280037595856e-19,1.0
AARS1,8764.84624304609,0.4371998060578482,0.07950901548974268,5.519428149025108,3.401046193912382e-08,7.87760946142165e-08,3.731684680755952e-08,1.0
AARS2,1151.1805307773434,0.20912746227463544,0.0672101988210752,3.1194268243151098,0.0018120326326148473,0.002788014524505532,0.00198819246508973,1.0
AARSD1,52.128509256486,-0.13136209958324943,0.12168717712215228,-1.1036866773480891,0.26972907680263314,0.3101483983277738,0.2959512474898076,0.0
AARSD1P1,13.546244577500113,-0.20903726300599318,0.12422572456618967,-1.7238787520358723,0.08472973388503655,0.10603705245159108,0.09296687898837311,0.0
AASDH,1067.5102066661677,-0.12205385898636535,0.05593629181106568,-2.19161078207124,0.02840762274079417,0.0380491857557197,0.031169318072851497,1.0
AASDHPPT,2206.758341925559,0.4132715278118584,0.06723150711937427,6.198972124064983,5.683309565243815e-10,1.493627880503839e-09,6.23582216512537e-10,1.0
