,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,12.101259115471901,-0.24810054057376132,0.12812848832058304,-1.8594310076337393,0.0629660700583172,0.0786354563900781
A1BG-AS1,77.9560814756346,-0.040320213349854264,0.09771527521597641,-0.326320359480007,0.7441819859363108,0.7722366043776439
A2M,60702.28937845819,0.39631557661443584,0.09975264310317951,-13.259452338482,3.977901286820076e-40,5.0469051038988506e-39
A2M-AS1,126.64496062610753,-1.5824855185059126,0.10988906322414342,-14.425079298372252,3.59856071640876e-47,6.125044439124116e-46
A2ML1,464.1038171572748,2.806621939676353,0.30328987085247905,9.488768771620977,2.3377910075627987e-21,1.1996530516726253e-20
A2MP1,23.61517249644813,-1.4320286770762913,0.17587793909205868,-8.214427168245296,2.1317943546284459e-16,8.211741785513448e-16
A4GALT,1069.2626282898304,-0.43528741440396346,0.11794150079542987,-3.6591555139293965,0.0002530477521355764,0.00040979182630171537
AAAS,2019.3665812274196,-0.2326394117023114,0.046962939344752964,-4.5850954806479525,4.537790199377835e-06,8.505370728601213e-06
AACS,4061.666269248154,-0.5963710699442714,0.1263489753894584,-5.0933650384257385,3.517634812611111e-07,7.202978028309331e-07
AADAC,168.28423671567194,-4.307936582973492,0.3474468735066506,-12.512635688017673,6.367576279993885e-36,6.787571895564702e-35
AADACL2,3.9145215580417916,-1.0231682014617094,0.14908237142743502,-8.098595373416963,5.559736794038265e-16,2.0838157803936968e-15
AADACL2-AS1,12.699778981084103,-1.3648740149999234,0.21376241322956302,-6.480456912001019,9.144526697007544e-11,2.4240462459550737e-10
AADACL3,6.23127372450553,-4.816975264829575,0.43745110801114956,-10.822519525160637,2.6927146909534136e-27,1.8955474973688633e-26
AADACP1,13.97603838999316,-2.7616764414581145,0.19476497405638601,-14.053656239538634,7.315736969117683e-45,1.1325540626244176e-43
AADAT,280.83548973430214,-0.19465279621324766,0.15572840205728664,-1.3451615310122351,0.1785730761987424,0.20884611306227155
AAGAB,4050.967063938493,0.6633611139441745,0.06619700397897338,10.372242522888001,3.3164894635507784e-25,2.1002530521327303e-24
AAK1,3235.2074803499113,-0.28260260217992383,0.0641961588591704,-4.292066140636681,1.7701819911315002e-05,3.158882680156737e-05
AAMDC,447.6722178436514,-1.0202833132275766,0.11907573262716832,-8.628982894425281,6.1899947768955724e-18,2.6198298446078727e-17
AAMP,6252.478514745575,-0.004395789597563963,0.0702295473478435,-0.3086180849318174,0.7576120622068238,0.7844767300786979
AAR2,3438.296974329716,-0.2906980500848084,0.056058410421644896,-4.855835150419196,1.1988040434837583e-06,2.3543099425271284e-06
AARD,2027.2598166785535,0.8766501319922779,0.22465495896155585,4.351436705302194,1.3524836659926972e-05,2.4353531329897867e-05
AARS1,8764.84624304609,0.33300832634297167,0.07834344895618067,4.758324491869347,1.9520651527907333e-06,3.7725457684503394e-06
AARS2,1151.1805307773434,-0.2023815548564078,0.06730770593672919,-2.7534906929874094,0.005896344668069195,0.008314768757093296
AARSD1,52.128509256486,-0.43981462784283476,0.12209137865323212,-3.640836133945025,0.00027175406370644596,0.00043921536791738055
AARSD1P1,13.546244577500113,-0.4519550176249015,0.12506245938371893,-3.6374356756338115,0.0002753659313028721,0.0004448575411227372
AASDH,1067.5102066661677,-0.41236450936689595,0.05600945218455952,-7.213997990086529,5.433255807100889e-13,1.683432353649954e-12
AASDHPPT,2206.758341925559,0.2472853528747209,0.06725398598948339,3.8365956403501906,0.0001247516259077986,0.00020764660284555245
AASS,1371.494603675599,-1.6917106006597447,0.10570431219462595,-16.199738874924705,5.0641652719696085e-59,1.3836202047524885e-57
AATBC,145.40190969542292,0.2636822692210533,0.17504047680978277,1.6402567357199562,0.10095179713185823,0.12270064821245953
AATF,3042.6976328866144,0.26170418310721355,0.06661956790057726,3.7713139689113317,0.0001623901981490654,0.0002673123565982229
AATK,275.7711560203943,-0.3041982719324123,0.10907172718869129,-2.780241328868931,0.005431851505008884,0.007690217009207729
ABAT,3261.8399757141956,0.858546537818787,0.16366615399918133,5.645328397343068,1.6486624362719135e-08,3.727557552554155e-08
ABCA1,4557.742854932929,-1.1460458465397148,0.12802370649294142,-9.813068027095225,9.891451275073217e-23,5.497695288106535e-22
ABCA10,674.924392081621,-3.5702239164783043,0.17188659779100676,-20.856253151988202,1.3374838390117537e-96,1.9425192914489126e-94
ABCA11P,62.21738554003794,-0.2754972988112462,0.09866454966364487,-2.8295063878641615,0.004661986934604921,0.0066510290531432235
ABCA12,1493.6877716846632,1.1974561190304456,0.2860457170244,4.547005676224518,5.44145312439545e-06,1.0126065849629432e-05
ABCA13,45.646253178468626,1.2017850859942163,0.10808774165535986,-7.329003017002324,2.3187116724487133e-13,7.375775054895936e-13
ABCA17P,46.90905352548385,0.030377970607769676,0.12521693742493306,0.3903992505847704,0.6962413419311497,0.727860200997872
ABCA2,4003.6770780981583,-0.30280820526598423,0.08658015919792697,-3.6575519038205058,0.00025463570666608916,0.0004122122065234718
ABCA3,4993.262383670525,0.2554374240595577,0.11706495609559031,2.7094816189517243,0.006738843901096394,0.00944790537029112
ABCA4,274.6135451590771,0.10190380068610623,0.17618916401690998,0.641040497080222,0.5214963720154442,0.5614510562600802
ABCA5,2029.134147992718,-2.02849106514324,0.0972630979355481,-20.945767944631122,2.0506609741131425e-97,3.1437771989251204e-95
ABCA6,1410.1208028317687,-2.4637138159301886,0.15200929669392663,-16.724095323644303,8.749467878247623e-63,2.739762452201341e-61
ABCA7,910.0927934404185,-0.04758777375454373,0.08416532499862593,-0.6089432561559605,0.542562051253505,0.5821150779292562
ABCA8,3600.342585081526,-3.809507763043054,0.2063178318395485,-17.610254283255465,2.0551971583226686e-69,8.609209196799096e-68
ABCA9,1699.6457187722556,-3.446302968139527,0.1740867541576532,-20.058372471917696,1.7057620376801956e-89,1.7846636371482464e-87
ABCB1,735.2380517835012,-1.9368338633024864,0.13809999952571198,-14.205872220727185,8.424713210238954e-46,1.3655210633570862e-44
ABCB10,1481.064024516621,-0.362586119035442,0.0667598618051011,-5.246417087233801,1.5508559356805293e-07,3.26374600915952e-07
ABCB11,37.34744229549423,-2.3830235511936073,0.24842885656807093,-9.752886865648177,1.792956722549954e-22,9.799780293887791e-22
ABCB4,111.12810291819399,0.02467693037725365,0.11527652805184299,0.2638605093386898,0.7918874064822956,0.8157585807514306
ABCB5,182.35268958604453,-3.473850399208074,0.21701614090853624,-16.07253942871443,3.974646064947782e-58,1.0359419897259412e-56
ABCB6,23.375400156440755,-0.45080067899309156,0.11186761531462439,-4.002156960739843,6.276763444774016e-05,0.00010696760059196479
ABCB7,1706.1083719495577,-0.15394464501178606,0.04903251300152704,-3.220237591128712,0.0012808439423973113,0.001937826772341377
ABCB8,1642.506478215097,0.49171695446481256,0.07387782337100889,6.994618934782744,2.6598086462298794e-12,7.852090889832953e-12
ABCB9,553.4826403524302,0.6227806084202668,0.10752251711337941,5.912474860426944,3.370052950929391e-09,8.020406311418417e-09
ABCC1,3667.8801730804184,-0.2507321291333747,0.07067720502564917,-3.45778652594595,0.0005446327543952883,0.0008552648090788436
ABCC10,1183.4961663440151,-0.14951036281166952,0.06002247156795965,-2.400556270171176,0.016370173655920507,0.02199227575011319
ABCC11,3572.1945101357155,0.26427793424524293,0.2913087462195203,1.1707789868696827,0.24168762627234086,0.2773703492195985
ABCC12,88.06091223701549,0.9778444296691995,0.37419240332652715,3.0015483612936116,0.0026861036893895867,0.0039361715928950885
ABCC2,81.40906411508091,-0.12264769879538298,0.04352523797729791,-9.642666487248542,5.279833392017773e-22,2.8113266271631543e-21
ABCC3,1569.090473973347,-0.5870019997388483,0.1517060678058722,-3.74542091339805,0.00018009157531974457,0.0002954813539025404
ABCC4,481.55187622886655,0.8453274973847964,0.026724428513571864,-8.43199363647577,3.398254663898328e-17,1.3737386918187053e-16
ABCC5,3523.369196674342,0.6388215332968687,0.10512025880111679,6.187334565780975,6.119000809568721e-10,1.529561445909149e-09
ABCC6,530.3407368087217,-2.2106918210901356,0.18602781408980074,-11.949097453183036,6.56341371892111e-33,6.093100137043836e-32
