,padjScreen,p_naive,p_aware
A1BG-AS1,0.0,0.0,0.0
A2M,1.0,1.0,1.0
A2M-AS1,1.0,1.0,1.0
A2MP1,1.0,1.0,1.0
A4GALT,1.0,1.0,1.0
A4GNT,1.0,1.0,1.0
AAAS,1.0,1.0,0.0
AACS,1.0,1.0,1.0
AACSP1,1.0,1.0,1.0
AADAT,1.0,1.0,1.0
AAGAB,1.0,1.0,1.0
AAK1,1.0,1.0,1.0
AAMDC,1.0,1.0,0.0
AAMP,0.0,0.0,0.0
AAR2,1.0,1.0,1.0
AARD,1.0,1.0,1.0
AARS1,1.0,0.0,1.0
AARS2,1.0,1.0,1.0
AARSD1,1.0,1.0,1.0
AASDH,1.0,1.0,1.0
AASDHPPT,0.0,0.0,0.0
AASS,1.0,1.0,1.0
AATBC,1.0,1.0,0.0
AATF,1.0,1.0,1.0
AATK,1.0,1.0,1.0
ABAT,1.0,1.0,1.0
ABCA1,1.0,1.0,1.0
ABCA10,1.0,1.0,1.0
ABCA12,1.0,1.0,1.0
ABCA13,1.0,1.0,1.0
ABCA17P,1.0,1.0,1.0
ABCA2,0.0,0.0,0.0
ABCA3,1.0,1.0,1.0
ABCA4,1.0,1.0,1.0
ABCA5,1.0,1.0,1.0
ABCA6,1.0,1.0,1.0
ABCA7,1.0,1.0,1.0
ABCA8,1.0,1.0,1.0
ABCA9,1.0,1.0,1.0
ABCB1,1.0,1.0,1.0
ABCB10,1.0,1.0,1.0
ABCB4,1.0,1.0,1.0
ABCB6,1.0,1.0,1.0
ABCB8,1.0,1.0,1.0
ABCB9,1.0,1.0,1.0
ABCC1,1.0,1.0,1.0
ABCC10,0.0,0.0,0.0
ABCC11,0.0,0.0,0.0
ABCC2,1.0,1.0,1.0
ABCC3,1.0,1.0,1.0
ABCC4,0.0,0.0,0.0
ABCC6,0.0,0.0,0.0
ABCC6P1,1.0,1.0,1.0
ABCC6P2,0.0,0.0,0.0
ABCC8,1.0,1.0,1.0
ABCC9,0.0,0.0,0.0
ABCD2,1.0,1.0,1.0
ABCD3,1.0,1.0,1.0
ABCD4,1.0,0.0,1.0
ABCE1,1.0,1.0,1.0
ABCF1,1.0,1.0,1.0
ABCF2,1.0,0.0,1.0
ABCG1,1.0,1.0,1.0
ABCG4,1.0,1.0,1.0
ABCG5,1.0,1.0,1.0
ABCG8,1.0,1.0,1.0
ABHD1,1.0,1.0,1.0
ABHD10,1.0,1.0,1.0
ABHD11,1.0,1.0,1.0
ABHD11-AS1,1.0,1.0,1.0
ABHD12,0.0,0.0,0.0
ABHD12B,1.0,0.0,1.0
ABHD13,1.0,1.0,1.0
ABHD14A,1.0,1.0,1.0
ABHD14B,1.0,1.0,0.0
ABHD15,1.0,1.0,0.0
ABHD17A,1.0,1.0,1.0
ABHD17C,1.0,1.0,1.0
ABHD3,1.0,1.0,1.0
ABHD5,1.0,1.0,1.0
ABHD6,1.0,0.0,1.0
ABHD8,1.0,1.0,1.0
ABI2,1.0,1.0,1.0
ABI3,1.0,1.0,1.0
ABI3BP,1.0,1.0,1.0
ABITRAM,0.0,0.0,0.0
ABL1,0.0,0.0,0.0
ABL2,1.0,1.0,1.0
ABLIM1,1.0,1.0,1.0
ABLIM2,1.0,0.0,1.0
ABO,1.0,1.0,1.0
ABR,1.0,1.0,1.0
ABRACL,0.0,0.0,0.0
ABRAXAS1,0.0,0.0,0.0
ABRAXAS2,1.0,1.0,1.0
ABT1,1.0,1.0,1.0
ABTB1,1.0,1.0,1.0
ABTB2,1.0,1.0,1.0
AC000123.1,1.0,1.0,1.0
AC000123.3,1.0,1.0,0.0
AC000403.1,1.0,0.0,1.0
AC002070.1,1.0,1.0,1.0
AC002128.1,0.0,0.0,0.0
AC002350.2,1.0,1.0,1.0
