,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG-AS1,24.79726022627384,-0.0014748596561226714,0.12392000905918121,-0.012790380760808037,0.9897950309099333,0.9913737381971617,,0.0
A2M,91887.8748950453,1.7172300354181387,0.10765923791317737,2.4000559633692915,0.016392565470777786,0.022403377845278367,0.019449150419462786,1.0
A2M-AS1,144.37218379120844,-0.42822202418973576,0.09751915428018576,-4.412313426000708,1.022719155820248e-05,1.8873873679208082e-05,1.2134170660396465e-05,1.0
A2MP1,13.477883530852406,0.556532134406535,0.1451708778560525,3.8485241316479453,0.00011883159268357595,0.00020072740324279768,0.00014098912856606955,1.0
A4GALT,3067.998904939274,0.45550905549674137,0.11481472934799648,3.9683814331807885,7.23624451662628e-05,0.0001244491915122119,8.585526672244523e-05,1.0
A4GNT,32.0893660896631,0.9742619187858391,0.21321286360334546,4.7108913403408526,2.4663571566694354e-06,4.801670962166676e-06,2.9262382031472463e-06,1.0
AAAS,1910.7615597525084,0.005626193090223771,0.048621573655557596,0.11965000067019907,0.9047604093929602,0.9170474656567705,1.0,0.0
AACS,2088.1243444683914,-0.8623223331719664,0.09368594168072789,-9.418696307887574,4.567233644697322e-21,2.4171430370120004e-20,5.4188476059406434e-21,1.0
AACSP1,82.82972296633417,1.1349428319955361,0.18084563010829968,6.406055983351391,1.4933215015894178e-10,3.9886884519573023e-10,1.771768705807863e-10,1.0
AADAT,328.5178516775875,-0.49264330642400705,0.10160614036895971,-4.887642280974198,1.0205073943950265e-06,2.049907363702606e-06,1.2107928959103411e-06,1.0
AAGAB,2641.206285230142,-0.9133796171088383,0.05897755118109735,-15.527272131945,2.2682536106649456e-54,7.234179772998131e-53,2.691195941352487e-54,1.0
AAK1,4489.438415812305,-0.6680688317427637,0.07294714467987556,-9.391631981736522,5.9077678156687095e-21,3.1112307602991e-20,7.009340002028984e-21,1.0
AAMDC,380.6094447487262,0.10011578397565808,0.06482033804722806,1.5449160327666136,0.1223665748757494,0.14815621933796105,0.14518324940141197,0.0
AAMP,7111.712011899387,-0.08743930623605302,0.06283438340974082,-1.385915223882549,0.16577279158653446,0.1960823567511156,,0.0
AAR2,2960.2466839157255,-0.12608296632279412,0.04074323298446262,-2.9922389382421866,0.0027693941556307107,0.004120715497033326,0.003285779983594428,1.0
AARD,58.845216982650214,-0.8829762891772395,0.25263180033044474,-3.66959290258271,0.00024293703878820727,0.00039975841812343383,0.000288235482010036,1.0
AARS1,9927.648126975517,-0.2648540037541764,0.06147443859189593,-4.311526825134985,1.6213110018501568e-05,2.9399277760323813e-05,1.9236233405885206e-05,1.0
AARS2,1349.1691784554307,0.29339743015050657,0.06159596835757143,4.781459080207925,1.7402743045020356e-06,3.4265472331372658e-06,2.0647687379820556e-06,1.0
AARSD1,18.06871331678613,0.5118045585318513,0.16435803611270547,3.164474352909855,0.0015536335424327988,0.0023644676952401552,0.0018433266298288943,1.0
AASDH,835.422715718302,-0.5679963762363001,0.059322457967188776,-9.516186022021312,1.79651741629029e-21,9.76899930369139e-21,2.131499033687046e-21,1.0
AASDHPPT,2852.453632683493,-0.016949459648020193,0.0610672211555282,0.15357882358017888,0.8779418351585045,0.89319546145651,,0.0
AASS,1557.2222261695306,-1.4049137402494305,0.12858026142170015,-11.025253868664333,2.887027502409007e-28,2.321221096969997e-27,3.425347439336141e-28,1.0
AATBC,20.829183039415142,1.0030001276736977,0.07279346565636922,-0.684154362523599,0.49387769705304163,0.5348481649044327,0.5859669516602346,0.0
AATF,3268.0450434214968,0.4178822394855078,0.050592309058247444,8.232557714551024,1.832578065638599e-16,7.310641654620926e-16,2.1742836115280816e-16,1.0
