,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG-AS1,24.79726022627384,0.1727132402160712,0.12374740090377968,1.4120027238125465,0.15794915917119934,0.1865619495178824,,0.0
A2M,91887.8748950453,0.4443332049420244,0.10482230777384981,4.209700139445335,2.5570984008530014e-05,4.517590122034731e-05,3.03389921023741e-05,1.0
A2M-AS1,144.37218379120844,-0.2240697638426294,0.09742630528075205,-2.3191373809046945,0.020387588471323288,0.02710061121542105,0.024189092035394384,1.0
A2MP1,13.477883530852406,0.7547795978711442,0.14502588466819039,5.2845837952107715,1.259908695914825e-07,2.667619725765013e-07,1.4948333612160324e-07,1.0
A4GALT,3067.998904939274,0.5673058660296288,0.1148767517597204,4.992971229975856,5.945741729515384e-07,1.1984272566265043e-06,7.054394594840359e-07,1.0
A4GNT,32.0893660896631,0.9034243414058734,0.21281301442301404,4.367615418813714,1.2561042039819028e-05,2.2761108118123813e-05,1.4903194774066344e-05,1.0
AAAS,1910.7615597525084,0.2553102244736307,0.04861874371478446,5.297890487397877,1.1714818767983623e-07,2.487333153593911e-07,1.3899183307300133e-07,1.0
AACS,2088.1243444683914,-0.6292687141114648,0.09306406979674685,-6.79773307952068,1.0627812339402886e-11,2.9598270456165463e-11,1.2609491856985209e-11,1.0
AACSP1,82.82972296633417,1.5449167187368789,0.18092854120952528,8.671502879875812,4.26453838182574e-18,1.74050893033233e-17,5.059711282261291e-18,1.0
AADAT,328.5178516775875,-0.45312816348094126,0.10155958417817253,-4.492574209234501,7.0367386126551594e-06,1.3030917925062345e-05,8.348820566490528e-06,1.0
AAGAB,2641.206285230142,-0.8273235827103765,0.05900639912081349,-14.094049071190584,4.1317590086934115e-45,6.947688209355098e-44,4.902173646968253e-45,1.0
AAK1,4489.438415812305,-0.5232286075930058,0.07266802143312119,-7.230138982701983,4.824999904784766e-13,1.455251296224501e-12,5.724677390451194e-13,1.0
AAMDC,380.6094447487262,0.22654892560347048,0.06480277822935285,3.5048839040239277,0.0004568064360042845,0.0007233827831368718,0.0005419833217847434,1.0
AAMP,7111.712011899387,0.03136686384688096,0.06267853351333498,0.5010861833823224,0.6163104702322015,0.6530681934946249,,0.0
AAR2,2960.2466839157255,0.09096466291038853,0.04072754326615522,2.2371823881928816,0.02527442194849197,0.033235070987362794,0.029987132588702017,1.0
AARD,58.845216982650214,-0.9304053192635134,0.2524822538666835,-3.842723534495225,0.00012167650655773348,0.00020247175264280742,0.0001443645098001749,1.0
AARS1,9927.648126975517,-0.03437076414126369,0.06113671681800685,-0.5647137350205085,0.572268490461532,0.6109139738434235,0.6789746224376155,0.0
