,padjScreen,p_naive,p_aware
A1BG-AS1,0.3386604035635146,,
A2M,7.897450856937847e-05,3.03389921023741e-05,0.019449150419462786
A2M-AS1,3.252945340431846e-05,0.024189092035394384,1.2134170660396465e-05
A2MP1,4.6170031716077834e-07,1.4948333612160324e-07,0.00014098912856606955
A4GALT,2.0738920252098193e-06,7.054394594840359e-07,8.585526672244523e-05
A4GNT,8.228419928571418e-06,1.4903194774066344e-05,2.9262382031472463e-06
AAAS,4.30334976467473e-07,1.3899183307300133e-07,1.0
AACS,3.7996295981536284e-20,1.2609491856985209e-11,5.4188476059406434e-21
AACSP1,3.0324681168070497e-17,5.059711282261291e-18,1.771768705807863e-10
AADAT,3.498251324108767e-06,8.348820566490528e-06,1.2107928959103411e-06
AAGAB,1.0249917246605292e-52,4.902173646968253e-45,2.691195941352487e-54
AAK1,4.895852545672031e-20,5.724677390451194e-13,7.009340002028984e-21
AAMDC,0.0012756117466953961,0.0005419833217847434,0.14518324940141197
AAMP,0.3542672425725963,,
AAR2,0.007212504393019788,0.029987132588702017,0.003285779983594428
AARD,0.00035603785718429443,0.0001443645098001749,0.000288235482010036
AARS1,5.085376275351913e-05,0.6789746224376155,1.9236233405885206e-05
AARS2,1.862598491985486e-08,5.473483939084328e-09,2.0647687379820556e-06
AARSD1,0.00017036837990924223,6.718612310838772e-05,0.0018433266298288943
AASDH,1.527620917997238e-20,1.8637745669665879e-16,2.131499033687046e-21
AASDHPPT,0.3502575285017563,,
AASS,3.5238376572634334e-27,2.4153346878910123e-20,3.425347439336141e-28
AATBC,7.617983591630501e-05,2.923064327507188e-05,0.5859669516602346
AATF,6.373250074907525e-28,5.954290577508235e-29,2.1742836115280816e-16
AATK,5.607521662974475e-10,1.4828933761165804e-10,7.757962503970176e-08
ABAT,4.32979181898048e-33,3.0986316369302823e-30,3.0564397914296376e-34
ABCA1,4.314027168989042e-52,1.585314733462367e-47,1.1790568749696416e-53
ABCA10,0.00011496606632460557,0.0017475693725490717,4.474980541119005e-05
ABCA12,3.042995115657808e-26,3.1056432658010008e-27,2.592388009288423e-24
ABCA13,1.0533747908897545e-42,1.927819797386777e-38,4.481423796019348e-44
ABCA17P,1.7318547985867417e-24,1.9423988766480393e-25,5.855664984668425e-18
ABCA2,0.17432737628675526,,
ABCA3,1.7364962529251511e-09,4.755594500730258e-10,3.27257889076179e-05
ABCA4,3.0570770811784535e-86,8.464228105572105e-88,1.6630786127982333e-88
ABCA5,9.996334773159407e-06,0.0022930603275846673,3.5819819696642605e-06
ABCA6,3.45331838505403e-11,8.065130089267138e-10,8.433620409391514e-12
ABCA7,0.006453776287226744,0.038699702600001926,0.00292667338896617
ABCA8,2.7102999428586755e-20,6.062976919739296e-20,3.836163024210354e-21
ABCA9,2.4616863748780657e-12,1.058976879793637e-11,5.593283752939772e-13
ABCB1,1.5467390962171057e-16,2.8081107952641006e-11,2.6926098541221623e-17
ABCB10,1.9769368007362617e-05,7.246879216458778e-06,0.006765636938183416
ABCB4,1.1268431353592358e-25,1.1838129883163513e-26,3.2798864870824612e-19
ABCB6,9.404784270705146e-36,5.735147617030436e-37,5.71174068557445e-31
ABCB8,9.939447480901868e-11,0.0006012747292600324,2.4995586680628018e-11
ABCB9,1.4077063884794453e-07,0.016189120408073642,4.398566577071744e-08
ABCC1,9.407894089059914e-26,9.849818099628173e-27,5.52922263430941e-17
ABCC10,0.5677805352110759,,
ABCC11,0.5320671432796205,,
ABCC2,0.004010772083451895,0.002951952379446795,0.003572563419438029
ABCC3,1.802613962105933e-41,8.17982034404054e-43,2.970509255544933e-37
ABCC4,0.4982101561925231,,
ABCC6,0.7781342935583401,,
ABCC6P1,0.0017870129275092247,0.0007696626482794726,0.04445806838660866
ABCC6P2,0.44926559950984624,,
ABCC8,5.963181817462928e-14,2.564271906750641e-13,1.229039395370641e-14
ABCC9,0.4824565871241003,,
ABCD2,0.0011130680876568573,0.0004702021943036721,0.0060861045949825105
ABCD3,4.929501816919558e-28,3.012709210356871e-27,4.578151566889589e-29
ABCD4,7.647440213633381e-08,0.14223942654436056,2.346447305108242e-08
ABCE1,0.001814733839112938,0.0007820416299962557,0.02076750225293945
ABCF1,5.367300420696956e-13,6.30161610223087e-11,1.1702176596431273e-13
ABCF2,5.6333869070675616e-08,0.1513480151921286,1.7119638561480645e-08
ABCG1,1.93560301508851e-33,1.3342028731276591e-34,7.165235134578679e-32
ABCG4,3.232931368597588e-06,1.2703187868597407e-05,1.1158025881259837e-06
ABCG5,1.5114234174111232e-11,3.04670948547457e-09,3.6217443020640506e-12
ABCG8,1.2945215319233743e-08,5.2008709987766415e-08,3.764056027737324e-09
ABHD1,0.00041799473911538216,0.00017009545511203838,0.023147856796829132
ABHD10,5.279275675392405e-12,1.2263507342896356e-12,5.803871188671417e-09
ABHD11,1.3321054315818153e-06,0.03484816272850506,4.460457271232484e-07
ABHD11-AS1,1.4174302648638906e-34,9.123858894296203e-36,1.6361328781889653e-26
ABHD12,0.14796350973374914,,
ABHD12B,0.0005706951677817387,0.05599326511505309,0.0002347996602085921
ABHD13,1.4581761497223664e-05,0.0001325769983372871,5.29062673646743e-06
ABHD14A,7.447252703732517e-20,1.0790729046257813e-20,7.032782522051656e-05
ABHD14B,4.7986108865663815e-20,6.868556985983673e-21,0.30594431352924234
ABHD15,0.000340826465852442,0.00013762736564945177,0.13802033516838028
ABHD17A,9.719249490534154e-14,2.0259781578581033e-14,4.471414818705644e-09
ABHD17C,6.914063188834851e-108,4.914057482059716e-102,1.3288478993460689e-110
ABHD3,7.466835461171383e-13,1.290227472753018e-12,1.6445134716587308e-13
ABHD5,1.807546577982456e-53,4.5162167740978035e-55,0.0001780925312601686
ABHD6,1.499090210252873e-07,0.15406214881768815,4.693385891830205e-08
ABHD8,9.320121285968993e-05,0.01775028326407763,3.601080154175459e-05
ABI2,7.179158226593572e-37,1.3119580676459175e-22,4.0972979389510514e-38
ABI3,9.456031781904893e-24,1.0999898851124624e-24,3.2998787629232037e-20
ABI3BP,1.1417211961798923e-05,1.2314514717595104e-05,4.107116805464379e-06
ABITRAM,0.32926230554870484,,
ABL1,0.20708784142562636,,
ABL2,2.656669281475307e-27,2.5651077432708356e-28,3.1644529129240733e-19
ABLIM1,4.525351030473204e-26,4.661267821472496e-27,9.791749346554593e-27
ABLIM2,0.04570471596757218,0.061326965836445674,0.022763026986390357
ABO,5.1063032277124e-07,1.6599061798599922e-07,6.3664015036547715e-06
ABR,0.0007590089707293964,0.00031563973289241884,0.005257266008118739
ABRACL,0.5698700122262061,,
ABRAXAS1,0.8346078784250045,,
ABRAXAS2,0.0050063975983754335,0.004490395187753899,0.002828235064276296
