"","TCGA.CZ.5467..01A","TCGA.CJ.5677..01A","TCGA.B0.5697..01A","TCGA.CZ.5457..01A","TCGA.B0.5709..01A","TCGA.CJ.5679..01A","TCGA.CW.5587..01A","TCGA.CW.5580..01A","TCGA.B0.5691..01A","TCGA.CZ.4864..01A","TCGA.B0.5703..01A","TCGA.B0.4700..01A","TCGA.B0.5696..01A","TCGA.CW.5585..01A","TCGA.CZ.5461..01A","TCGA.CZ.5466..01A","TCGA.CZ.5453..01A","TCGA.CZ.5468..01A","TCGA.CZ.5986..01A","TCGA.CZ.5982..01A","TCGA.B2.5641..01A","TCGA.B8.5549..01A","TCGA.B8.4622..01A","TCGA.CZ.5452..01A","TCGA.CJ.5672..01A","TCGA.CW.5591..01A","TCGA.CZ.5988..01A","TCGA.CJ.6030..01A","TCGA.CW.5584..01A","TCGA.CZ.5984..01A","TCGA.CZ.5989..01A","TCGA.CZ.4865..01A","TCGA.CZ.5985..01A","TCGA.CZ.5469..01A","TCGA.B0.5694..01A","TCGA.B0.4712..01A","TCGA.CJ.5689..01A","TCGA.A3.3358..01A","TCGA.B0.5690..01A","TCGA.CZ.5465..01A","TCGA.B0.5712..01A","TCGA.CZ.5454..01A","TCGA.CZ.5463..01A","TCGA.B0.5699..01A","TCGA.B8.5552..01A","TCGA.B0.5402..01A","TCGA.CJ.5681..01A","TCGA.CJ.5676..01A","TCGA.B0.5706..01A","TCGA.CW.6090..01A","TCGA.CW.5589..01A","TCGA.CZ.5455..01A","TCGA.CJ.5680..01A","TCGA.B0.5705..01A","TCGA.CW.6088..01A","TCGA.CZ.5470..01A","TCGA.CZ.5462..01A","TCGA.CZ.5458..01A","TCGA.CJ.6033..01A","TCGA.CJ.5678..01A","TCGA.A3.3387..01A","TCGA.B0.5711..01A","TCGA.B0.5701..01A","TCGA.CZ.5451..01A","TCGA.CZ.5456..01A","TCGA.B8.4620..01A","TCGA.CW.5581..01A","TCGA.B8.4619..01A","TCGA.CZ.4863..01A","TCGA.CZ.5987..01A"
"A1BG-AS1",1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,3,1,1,1.5,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,3.5,1,1.5,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1,1,1
"A2M",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1.5,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"A2M-AS1",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1.5,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"A2MP1",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1.5,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"A4GALT",1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1.5,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1.5,1.5,1,1,1
"A4GNT",1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1.5,1,1,2.5,0.5,1,1,2,1,0.5,1,1.5,1,1,1,2,1,2,0.5,3.5,1,2,0.5,1,1.5,3.5,1,1,0.5,1,1,2,1,1,0.5,1.5,1,1,1,1,1,1,0.5,1,1,1,1.5,1,1,0.5,2,1,1,1,1,0.5
"AAAS",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1.5,1,1,1.5
"AACS",1,1,1.5,1,1,2,1,1,1,1,1,1,1.5,1,3.5,1.5,1,2,1,1,1,2,1.5,1,1,1.5,1,1,1,2,1,2,1,3,1,2,1,1.5,1,3,1,1,1,1,1,2,1,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.5,1,1,1,1.5
"AACSP1",1.5,1,1.5,2,1.5,2.5,1.5,1,1.5,1.5,1,1,2,1.5,3,1.5,1,2,1.5,1,1.5,2,1,1,1.5,2.5,1,1,1,3.5,1.5,2,1.5,3.5,1.5,2,1,1.5,1,3,1.5,1.5,1.5,1,1.5,3,1,1.5,1,2,1.5,1.5,1,1.5,1,1.5,2,1.5,1.5,1.5,2,1.5,1.5,1.5,2.5,2,1.5,1,1,1
"AADAT",1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,2,1,1,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,1,2,1,1,1,1,1,2,1,1,1,0.5,1,2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1.5,1,1,1,1
