,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,24.79726022627384,-0.0014748596561224721,0.12392000905918121,-0.012790380760808037,0.9897950309099333,0.9913737381971617
A2M,91887.8748950453,1.717230035418119,0.10765923791317424,2.4000559633692915,0.016392565470777786,0.022403377845278367
A2M-AS1,144.37218379120844,-0.42822202418973593,0.09751915428018576,-4.412313426000708,1.022719155820248e-05,1.8873873679208082e-05
A2MP1,13.477883530852406,0.5565321344065354,0.1451708778560525,3.8485241316479453,0.00011883159268357595,0.00020072740324279768
A4GALT,3067.998904939274,0.4555090554967439,0.11481472934799652,3.9683814331807885,7.23624451662628e-05,0.0001244491915122119
A4GNT,32.0893660896631,0.974261918785839,0.21321286360334546,4.7108913403408526,2.4663571566694354e-06,4.801670962166676e-06
AAAS,1910.7615597525084,0.00562619309022314,0.048621573655557616,0.11965000067019907,0.9047604093929602,0.9170474656567705
AACS,2088.1243444683914,-0.862322333171966,0.09368594168072789,-9.418696307887574,4.567233644697322e-21,2.4171430370120004e-20
AACSP1,82.82972296633417,1.134942831995537,0.1808456301082997,6.406055983351391,1.4933215015894178e-10,3.9886884519573023e-10
AADAT,328.5178516775875,-0.49264330642400705,0.10160614036895971,-4.887642280974198,1.0205073943950265e-06,2.049907363702606e-06
AAGAB,2641.206285230142,-0.9133796171088319,0.058977551181097355,-15.527272131945,2.2682536106649456e-54,7.234179772998131e-53
AAK1,4489.438415812305,-0.6680688317427688,0.07294714467987556,-9.391631981736522,5.9077678156687095e-21,3.1112307602991e-20
AAMDC,380.6094447487262,0.10011578397565898,0.06482033804722803,1.5449160327666136,0.1223665748757494,0.14815621933796105
AAMP,7111.712011899387,-0.08743930623605757,0.06283438340974076,-1.385915223882549,0.16577279158653446,0.1960823567511156
AAR2,2960.2466839157255,-0.12608296632279742,0.040743232984462606,-2.9922389382421866,0.0027693941556307107,0.004120715497033326
AARD,58.845216982650214,-0.8829762891772394,0.25263180033044474,-3.66959290258271,0.00024293703878820727,0.00039975841812343383
AARS1,9927.648126975517,-0.2648540037541813,0.06147443859189591,-4.311526825134985,1.6213110018501568e-05,2.9399277760323813e-05
AARS2,1349.1691784554307,0.29339743015050557,0.061595968357571446,4.781459080207925,1.7402743045020356e-06,3.4265472331372658e-06
AARSD1,18.06871331678613,0.5118045585318513,0.16435803611270547,3.164474352909855,0.0015536335424327988,0.0023644676952401552
AASDH,835.422715718302,-0.5679963762363012,0.05932245796718878,-9.516186022021312,1.79651741629029e-21,9.76899930369139e-21
AASDHPPT,2852.453632683493,-0.016949459648028596,0.06106722115552808,0.15357882358017888,0.8779418351585045,0.89319546145651
AASS,1557.2222261695306,-1.40491374024943,0.12858026142170023,-11.025253868664333,2.887027502409007e-28,2.321221096969997e-27
AATBC,20.829183039415142,1.0030001276736982,0.07279346565636922,-0.684154362523599,0.49387769705304163,0.5348481649044327
AATF,3268.0450434214968,0.4178822394855113,0.05059230905824749,8.232557714551024,1.832578065638599e-16,7.310641654620926e-16
AATK,249.66539298132693,0.6419231244123618,0.12011955111270674,5.403405572343265,6.538738480777455e-08,1.440214882358953e-07
ABAT,6864.724536854235,-2.7615704491718627,0.23606909642441662,-12.215281062809993,2.5760965547555603e-34,2.910253992472302e-33
ABCA1,5258.10549671916,1.6794899807105708,0.11080991272821696,15.432230248732408,9.937589354735616e-54,3.0518286633910678e-52
ABCA10,75.65683467603152,-0.6917939942926364,0.1717913589217616,-4.121037352872954,3.771702615212542e-05,6.638940298244307e-05
ABCA12,401.4135077262913,2.530027724190921,0.25318483069467834,10.19056199674112,2.1849741120513976e-24,1.4085155240555045e-23
ABCA13,135.6459549609589,-4.5145408793584645,0.3264336166490434,-13.936955176084604,3.7771332625940897e-44,7.202656947130992e-43
ABCA17P,97.69734100454737,2.015038418140213,0.2376448643897192,8.654854658320403,4.935401781872256e-18,2.169932444463439e-17
ABCA2,4790.069986105487,-0.024616274005346727,0.10265615609481721,-0.06177247181146684,0.9507440259210749,0.9574523130590713
ABCA3,3800.7494688409247,0.4718249431755682,0.10917491627815161,4.192557802011653,2.7582677170008626e-05,4.911108075313131e-05
ABCA4,1420.2734027548763,-5.7179824131528285,0.28614524043953626,-19.953351027722825,1.4017129003261813e-88,2.3205994207127353e-86
ABCA5,1719.107157132725,-0.38718264363019866,0.08460965247990437,-4.669519821662302,3.0190457005313675e-06,5.8371208464143465e-06
ABCA6,270.4237313827519,-0.3768684933871497,0.1082347814331816,-6.855462604968649,7.108211502045485e-12,2.0855105471846357e-11
ABCA7,631.0430316886765,-0.3261049391554781,0.11047869690057663,-3.027393773702737,0.002466723949659093,0.003688439925054746
ABCA8,1080.6998901338036,-2.1901998999302634,0.23673249347622072,-9.454900923695437,3.2332802294549845e-21,1.729995202868528e-20
ABCA9,162.49704396806152,-1.4072769643373497,0.19884373877228084,-7.233291619560294,4.714255797258391e-13,1.494886162700201e-12
ABCB1,6039.067659954143,-1.4735911932621224,0.16656498720557994,-8.47909899050956,2.269445316068369e-17,9.580173539851893e-17
ABCB10,1475.2637281475368,0.16590032000361007,0.058312525070862195,2.7644225311113693,0.005702364579879043,0.008222801596656684
