,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,24.79726022627384,0.1727157488579568,0.12374635617324775,1.4120027238125465,0.15794915917119934,0.1865619495178824
A2M,91887.8748950453,1.9361989734885336,0.11068022039464091,4.209700139445335,2.5570984008530014e-05,4.517590122034731e-05
A2M-AS1,144.37218379120844,-0.22324161662039718,0.09742648943633674,-2.3191373809046945,0.020387588471323288,0.02710061121542105
A2MP1,13.477883530852406,0.7547796266383782,0.14502588479573758,5.2845837952107715,1.259908695914825e-07,2.667619725765013e-07
A4GALT,3067.998904939274,0.5317981167419341,0.11448481119959647,4.992971229975856,5.945741729515384e-07,1.1984272566265043e-06
A4GNT,32.0893660896631,0.9034244025284991,0.2128130137634018,4.367615418813714,1.2561042039819028e-05,2.2761108118123813e-05
AAAS,1910.7615597525084,0.25355650475281893,0.04863999361523757,5.297890487397877,1.1714818767983623e-07,2.487333153593911e-07
AACS,2088.1243444683914,-0.611538815219618,0.0933116385273782,-6.79773307952068,1.0627812339402886e-11,2.9598270456165463e-11
AACSP1,82.82972296633417,1.544383491656761,0.180953128678274,8.671502879875812,4.26453838182574e-18,1.74050893033233e-17
AADAT,328.5178516775875,-0.4533847211340994,0.10158482837473651,-4.492574209234501,7.0367386126551594e-06,1.3030917925062345e-05
AAGAB,2641.206285230142,-0.8327212288138308,0.05888305050053461,-14.094049071190584,4.1317590086934115e-45,6.947688209355098e-44
AAK1,4489.438415812305,-0.547299146286551,0.07290280945025242,-7.230138982701983,4.824999904784766e-13,1.455251296224501e-12
AAMDC,380.6094447487262,0.22698407631105877,0.06478923924467797,3.5048839040239277,0.0004568064360042845,0.0007233827831368718
AAMP,7111.712011899387,-0.08116471820036798,0.06309128110598514,0.5010861833823224,0.6163104702322015,0.6530681934946249
AAR2,2960.2466839157255,0.08799072945608506,0.04067819061483303,2.2371823881928816,0.02527442194849197,0.033235070987362794
AARD,58.845216982650214,-0.9304054052722885,0.2524822525903584,-3.842723534495225,0.00012167650655773348,0.00020247175264280742
AARS1,9927.648126975517,-0.0575171862577307,0.06113159927711164,-0.5647137350205085,0.572268490461532,0.6109139738434235
AARS2,1349.1691784554307,0.36507641066556606,0.061518673269231175,5.860552970645429,4.613283454011605e-09,1.0794360141462846e-08
AARSD1,18.06871331678613,0.6487304468998668,0.16436925492631496,4.026441571060869,5.6627302377170013e-05,9.70304670296051e-05
AASDH,835.422715718302,-0.48750409929298255,0.05933863125596084,-8.250990688069033,1.5708679275366623e-16,5.858504163090346e-16
AASDHPPT,2852.453632683493,0.08651569137406463,0.06097462059541632,1.392593816881615,0.16374265383008635,0.19287952580205062
