,padjScreen,p_naive,p_aware
A1BG,7.562199323676685e-06,0.00020732704321265556,4.9577325208510125e-06
A1BG-AS1,0.5374308697665338,,
A1CF,2.7290011372762e-07,2.802081810083254e-05,1.7891167778867267e-07
A2M,0.010122458017875643,0.03766615710544929,0.006636222765121702
A2M-AS1,2.3761485233584922e-06,0.00020127110985494848,1.5577887205039989e-06
A2MP1,3.917294356682776e-05,0.0013840345910218952,2.568154685511522e-05
A4GALT,3.654156209102496e-12,2.395642894179768e-12,2.9660231826104502e-09
AAAS,3.4723545868220177e-06,2.2764548410030393e-06,0.2861232600615215
AACS,8.767153859741244e-13,5.747693487747316e-13,1.1849229520029222e-06
AADAC,0.0008056738142596003,0.03458599556194341,0.0005281949204442409
AADACP1,0.00010043713534369967,0.020202455023011916,6.584598354020634e-05
AADAT,8.159175415377562e-18,3.013266941947697e-17,5.349106466090665e-18
AAGAB,2.726933989277915e-13,1.7877615680571706e-13,0.0003530848276228373
AAK1,6.12653270839561e-14,4.0165180985606284e-14,2.0171216950809153e-07
AAMDC,0.0015981224337639174,0.14146405847939875,0.0010477194825275786
AAMP,8.030309744675829e-07,0.16384398251512994,5.264622905275365e-07
AAR2,4.403100315855465e-07,0.2645494048488426,2.886646158630042e-07
AARS1,0.03252966172855199,0.042652502252615805,0.027995141402049714
AARS2,3.1910814573432796e-18,2.092053864306713e-18,0.005543263158241714
AASDH,5.462994966033356e-06,0.030054940720404162,3.5815067343637363e-06
AASDHPPT,1.8793181223731673e-08,0.0043986072868818435,1.2320696894543349e-08
AASS,0.0007037766666605889,0.029305950798937937,0.0004613917616261577
AATF,1.7275783656082015e-13,1.1325900150077299e-13,0.00013247089925869803
AATK,2.7176135332476432e-05,1.78165113298496e-05,0.02636521970102521
ABAT,4.850924885852885e-15,4.1655645700329074e-13,3.1802372608059743e-15
ABCA1,1.0623214323915262e-13,1.2096783465911459e-12,6.964515595978587e-14
ABCA10,2.1816537941101576e-06,0.0008708790149594258,1.4302791425285048e-06
ABCA13,0.604431656689661,,
ABCA2,0.0002730217023472071,0.00017899139055842274,0.0053151269553852
ABCA3,1.4599261678708144e-13,9.571188394668637e-14,3.4455354948777095e-10
ABCA4,1.3653336008145982e-07,8.951045198420042e-08,3.9571479801449745e-06
ABCA5,0.01509099004508579,1.0,0.009893562562429944
ABCA6,2.3642747189349902e-07,0.0008379575106968296,1.550004325539387e-07
ABCA7,1.1802987737795587e-09,7.737967970199551e-10,5.183456897814284e-06
ABCA8,1.9300489542577857e-15,1.011624419774539e-10,1.2653285185699254e-15
ABCA9,1.0124516961378748e-09,5.720525065731889e-06,6.637572596133426e-10
ABCB1,0.4095260846096105,,
ABCB10,0.0005125279471218159,0.008305462308821572,0.00033601024814768185
ABCB11,0.008053736940836834,0.042070037737773625,0.0052799816345693844
ABCB4,0.06580411583658254,,
ABCB6,5.312295854912189e-05,3.482709300959733e-05,0.003464436765342041
ABCB7,0.2236418793091144,,
ABCB8,1.3366422343169565e-06,8.762946320481638e-07,0.21837708615967222
ABCB9,3.461647805406414e-10,2.2694355393229593e-10,1.6514051641114878e-05
ABCC1,6.58401657315246e-06,4.316441776447357e-06,0.00039979971318537214
ABCC10,2.5571372850321703e-25,1.676443867142198e-25,1.5563982965849796e-08
ABCC11,1.871057362224872e-15,0.1740709479098351,1.2266539846466173e-15
ABCC2,0.421836056198706,,
ABCC3,0.09184518059965849,,
ABCC4,1.2926307218231804e-10,8.474409484247933e-11,8.348577889013152e-07
ABCC5,2.6503933934357685e-18,1.73758201249007e-18,8.93460809628779e-10
ABCC6,6.383393588974509e-05,0.0007773258701656567,4.184914551295399e-05
ABCC6P1,0.0941650850005489,,
ABCC9,4.167986674982339e-09,1.4613329194636289e-08,2.7325070658131042e-09
ABCD1,1.1993941096249653e-12,5.712895238756748e-10,7.863155846722378e-13
ABCD2,0.7854006208247803,,
ABCD3,3.0924111536909523e-15,6.00382508311232e-09,2.027366205026456e-15
ABCD4,1.7084260207871927e-11,3.9967800487152664e-09,1.1200338526129646e-11
ABCE1,0.012573669967653155,0.05020171572130013,0.008243222617778607
ABCF1,9.401626097425436e-07,6.163649681403251e-07,0.057831664684494896
ABCF2,2.743089366339388e-14,1.7983529363636773e-14,0.0005001714814358905
ABCF3,0.009774718871921242,0.006408247066666706,0.03904484694281353
ABCG1,0.00035157860592956137,0.00023049282538680816,0.009596641966868874
ABCG2,0.15675017319962625,,
ABCG5,4.1971605810612204e-06,0.00020611701425088342,2.751633303662281e-06
ABCG8,6.774153389681542e-05,0.0015034440301241402,4.441094332981532e-05
ABHD1,0.8170210880468278,,
ABHD10,1.4574066740639974e-13,1.2731323218131637e-05,9.554670744382654e-14
ABHD11,7.260460613954586e-07,4.7599144324934105e-07,0.2699121596787291
ABHD12,1.1125576371690179e-14,7.293861141486388e-15,6.621246461149683e-05
ABHD12B,0.013011885828167829,0.043590497150331926,0.008530514307647744
ABHD13,2.1965971480994388e-15,1.4516149746614395e-07,1.440075915778225e-15
ABHD14A,0.32015376191322553,,
ABHD14B,1.4001728061676789e-05,0.010690348908244062,9.17944893916619e-06
ABHD15,6.854804053355784e-10,2.0229996998992354e-06,4.4939684243684286e-10
ABHD16A,0.04036037688340469,0.02646002101560234,0.6952648704543601
ABHD17A,0.0012266791033474936,0.0008042034629097063,0.3634959068056352
ABHD17B,2.47642690828732e-06,0.00017888391882850462,1.6235306282243512e-06
ABHD17C,0.0007962074463098068,0.0005219888263927268,0.105387971920915
ABHD18,1.4880717384313113e-15,5.971309741185579e-14,9.755709067178285e-16
ABHD2,3.4658851516598766e-08,3.370118202096439e-05,2.2722135181124268e-08
ABHD3,0.021309575152311928,0.013970429661561822,0.7709688116504443
ABHD4,1.79639804846556e-13,1.1777077863296706e-13,4.53076851067008e-09
ABHD5,4.829913867922281e-08,7.399081744348896e-05,3.16646256346831e-08
ABHD6,3.793064424050499e-15,3.07415086437694e-10,2.486710286770823e-15
ABHD8,0.2865613645742038,,
ABI1,2.5950947757409138e-05,1.7013285703934663e-05,0.9337790143320777
ABI2,0.11607949504593397,,
ABI3,0.0002203712088029987,0.11809406570974787,0.00014447404277234655
ABI3BP,2.0904539659608073e-05,0.00041478873949591863,1.3704890821823792e-05
ABITRAM,0.41324266470644333,,
ABL1,7.26233866948383e-05,4.761145674434382e-05,0.0007823195637094435
ABL2,1.3494213852951396e-09,8.846725667840338e-10,0.5742784108777154
ABLIM1,0.14494062434999624,,
ABLIM2,4.8116371789856396e-12,3.1544804758194205e-12,4.1632333982016787e-07
ABLIM3,3.0642977713571323e-16,7.257150243100043e-09,2.0089352401838456e-16
ABO,0.017452811973472208,0.012752238738540322,0.022883917706393548
ABR,3.029464958091296e-06,0.8871770256172347,1.9860990567232902e-06
ABRACL,3.104535632454942e-08,2.0353149405852238e-08,1.7649579207170378e-06
ABRAXAS1,6.108335289840264e-05,8.009175960196553e-05,5.008263521196532e-05
ABRAXAS2,0.0053002637415933,0.26493866743994615,0.0034748211196327936
ABT1,8.586416017770307e-05,0.08633265778247262,5.629202842561295e-05
ABTB1,0.265678801491691,,
ABTB2,0.003860687465579481,0.1123301480700059,0.002531043547214968
AC000068.1,8.000640886459312e-05,5.245172179773326e-05,0.004310718310724358
AC000089.1,0.16249550208525815,,
AC000123.3,0.00041137301023494856,0.40529923028494763,0.0002696936782209282
AC002070.1,0.16502589515689933,,
AC002310.1,0.8809257445164402,,
AC002310.5,0.1568613073994515,,
AC002401.2,0.6694892990348087,,
AC002401.3,0.2926073701183437,,
AC002451.1,0.03497642809292538,0.7763298371575814,0.02293033647983712
AC002456.1,0.010033851414009299,0.006578132807062152,0.14648193722822342
AC002467.1,0.16068888565585443,,
AC002470.1,0.3666924929648434,,
AC002553.1,0.005223457691220306,0.003424467533667384,0.02308071112127743
AC002553.2,1.0321396974959152e-05,6.766645952210822e-06,3.2624167704274375e-05
AC003102.1,2.6328301208626274e-10,1.7260676363302394e-10,1.2546216096852608e-06
AC003681.1,0.02815833263212469,0.018460433988580938,0.23598339173779695
AC004012.1,0.1864084258711529,,
