,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG,80.25885940894536,-1.0714237596186138,0.2500023276533717,-4.623065663540922,3.7810996618383424e-06,1.4229819340910928e-05,5.0896204162983435e-06,1.0
A1BG-AS1,23.471272987192375,-0.19108279505222306,0.1877801100399471,-1.1060256096812067,0.2687154348832669,0.34022390819939613,,0.0
A1CF,11215.482906935667,-0.8763231532107711,0.1634489638407979,-5.269964620520269,1.3645005686381e-07,6.699528850105637e-07,1.8367116905917969e-07,1.0
A2M,170802.39121258675,0.9300487499129121,0.23466215645053473,-2.803110724268852,0.005061229008937821,0.010123394278371986,0.006812762635017977,1.0
A2M-AS1,74.81852097522878,-0.7364273130945141,0.15804370726243816,-4.857616182702635,1.1880742616792461e-06,4.9256120374798216e-06,1.5992297371451298e-06,1.0
A2MP1,8.459034805674099,-0.3349929468921714,0.08899810660825022,-4.269553440656922,1.958647178341388e-05,6.386013706515744e-05,2.6364739252508167e-05,1.0
A4GALT,259.80981240905044,1.1057397937916154,0.19299422239246053,5.977772856438328,2.262088405456774e-09,1.503239730703387e-08,3.044926704282358e-09,1.0
AAAS,1281.1545129259016,0.0837341583646109,0.06929597658711115,1.231283616646402,0.21821680724255732,0.2848310622397495,0.2937348434717467,0.0
AACS,528.03486992634,0.7452585450761482,0.15955291963305174,4.911526264636427,9.037017939712645e-07,3.821905503670139e-06,1.2164448208713295e-06,1.0
AADAC,16663.462829705895,-0.34461803823631304,0.21871807559899184,-3.5382182717186854,0.00040283690712980015,0.0010109161060157987,0.00054224620621861,1.0
AADACP1,237.06296825473007,-0.9208520239019757,0.24772135583684018,-4.054607428855978,5.0218567671849834e-05,0.00015126780002479835,6.759764887435928e-05,1.0
AADAT,1339.0638805276328,-2.246972845706726,0.2674528727401733,-8.676549069252975,4.079587707688781e-18,1.0009371164245913e-16,5.491405872395729e-18,1.0
AAGAB,992.2683271576395,0.21564519439760577,0.05982280958828023,3.643184000715604,0.0002692861941845531,0.000699127311698386,0.00036247775364974737,1.0
AAK1,893.8223153740092,0.608066493111247,0.11696589412422684,5.247904213935106,1.5383924257874326e-07,7.492907067845559e-07,2.0707821001363516e-07,1.0
AAMDC,230.03682378156284,-0.366180394814688,0.11192108746788557,-3.3531197663892054,0.0007990612168819587,0.0018916551256797389,0.0010755914011897033,1.0
AAMP,4367.717177794002,-0.3461255894878507,0.0657573235057628,-5.068237848245841,4.0151548723379147e-07,1.8057048676937233e-06,5.404674840788295e-07,1.0
AAR2,1650.7833617483855,-0.30882255994550073,0.059351368756687575,-5.1814606688143625,2.2015501579277324e-07,1.045705662757206e-06,2.963438055966506e-07,1.0
AARS1,6933.210174455527,0.24253609502039927,0.09941833375377135,2.301719880627377,0.02135097430997282,0.03689469131877346,0.028739881112539986,1.0
AARS2,757.8239262715241,0.24034910973174003,0.08533519856270017,2.860655279131293,0.004227664635991877,0.008610862084679108,0.005690727610746249,1.0
AASDH,321.2982775299795,-0.3900281403898355,0.0853747241347365,-4.690041421378299,2.731497483016678e-06,1.0573778678865015e-05,3.676783634385885e-06,1.0
AASDHPPT,1142.960266043272,-0.4234356041383753,0.07412915643399733,-5.741275799387643,9.396590611865836e-09,5.6419247575188813e-08,1.2648457776565855e-08,1.0
AASS,3329.5482863548505,-0.8085501026129618,0.25548135292698115,-3.5737623472330466,0.0003518883333302944,0.000893049540102423,0.00047366591884655674,1.0
AATF,1753.0606735237534,0.25920754138346014,0.06933630075184062,3.8881019266428765,0.00010103120131711047,0.00028617675163776875,0.00013599495144137733,1.0
AATK,152.6475486593913,0.4638232528701833,0.22107423528394818,2.324328646640314,0.02010788659464185,0.03499129321480078,0.027066599479936285,1.0
ABAT,23132.25226386851,-0.9288910798523646,0.20502230427338178,-7.917390922375595,2.4254624429264426e-15,3.961746449345919e-14,3.2648394045454447e-15,1.0
ABCA1,4164.544564896647,-0.9896318815021788,0.1383989762983092,-7.524022810990283,5.311607161957631e-14,7.228533545546809e-13,7.149788863727622e-14,1.0
ABCA10,129.71903293865108,-1.1144712558963616,0.2449158103253632,-4.874503069177965,1.0908268970550788e-06,4.540097693088407e-06,1.468328090352321e-06,1.0
ABCA13,28.27812294346829,-0.25647068962760905,0.31268505332220603,-1.0316932759964401,0.3022158283448305,0.37626929796554104,,0.0
ABCA2,2828.4520710550614,0.4323859125398379,0.16808391862554353,2.8739545718504416,0.0040536726515824845,0.008297110317463033,0.005456522423017408,1.0
ABCA3,317.78173167297564,1.3903115110225046,0.2323448192683773,6.319282995530159,2.6277966872439953e-10,2.057354871941442e-09,3.537195225046149e-10,1.0
ABCA4,104.68408825233082,1.1484278437346105,0.265034095052566,4.669591897759158,3.017986716032453e-06,1.1583747622017138e-05,4.062417862471218e-06,1.0
ABCA5,1637.998431475565,-0.3434802270803802,0.14084835075612295,-2.671758412303943,0.007545495022542895,0.01452373644027559,0.010156755693432383,1.0
ABCA6,4759.864488101877,-0.9854987127274937,0.2014868387501663,-5.296236468657859,1.1821373594674951e-07,5.864942174466025e-07,1.5912382581022835e-07,1.0
ABCA7,443.79042032906614,0.8344278314086409,0.1946152412407491,4.6138250498086935,3.95325222590164e-06,1.4822088160966306e-05,5.3213496176251e-06,1.0
ABCA8,1913.0858552876844,-1.8827350397688813,0.24975370280739592,-8.031227205029637,9.650244771288928e-16,1.7034779900623063e-14,1.2989893735397758e-15,1.0
ABCA9,325.3070716134361,-1.2830882673527582,0.21590930892701468,-6.217162374305757,5.062258480689374e-10,3.758016178176543e-09,6.81414837485911e-10,1.0
ABCB1,2918.791119588666,-0.28982277568970527,0.215212856808162,-1.2680977573892311,0.20476304230480524,0.2697480993032709,,0.0
ABCB10,1101.0497725181358,-0.37890452905122485,0.10582958918568115,-3.6559172928262442,0.00025626397356090795,0.00066816716776156,0.00034494894830759416,1.0
ABCB11,4874.935885321739,-0.766915260151066,0.3161749646065382,-2.8760492725113345,0.004026868470418417,0.008249178418737969,0.005420442150108529,1.0
ABCB4,7905.20485445751,-0.5229212423449294,0.25817500693916323,-2.133276413330046,0.03290205791829127,0.05433917467859667,,0.0
ABCB6,18.225731986824453,0.5392489693296877,0.19164260398831942,3.006560802944349,0.0026422120650523837,0.005620633749160834,0.003556599315856745,1.0
ABCB7,1049.3183750353269,0.051570199692659885,0.07484625770245601,0.70348992742497,0.4817504817526572,0.5566720346172197,,0.0
ABCB8,2006.5585443267728,0.16001235183150214,0.1133511686007072,1.3833778884363064,0.16654902683008077,0.22622675784270593,0.2241864544921485,0.0
ABCB9,105.33497098497237,0.7502913270436884,0.18171738314819952,4.367030328289707,1.2594724465910099e-05,4.290156643881322e-05,1.6953366087203898e-05,1.0
ABCC1,505.0647313480827,0.7274802546688763,0.21720622186905109,3.6110889093294936,0.00030491410215668333,0.000784222514325153,0.0004104353702222738,1.0
ABCC10,378.9026823600224,0.6597503386398461,0.11849194446575571,5.70158089127757,1.1870138310513524e-08,6.982048929661146e-08,1.5978023245253916e-08,1.0
