,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG,80.25885940894536,-0.8639659609072992,0.24856816041590044,-3.7779548717551723,0.00015812152222499328,0.00040506530419674535,0.00021284245318760542,1.0
A1BG-AS1,23.471272987192375,0.04029064607121529,0.18749902863926785,0.23166666555784965,0.8167969240871749,0.8518124967256966,,0.0
A1CF,11215.482906935667,-0.6669148334950441,0.1654018753687667,-4.250068059414197,2.1370557084290828e-05,6.443283415106285e-05,2.876624087474954e-05,1.0
A2M,170802.39121258675,-0.4759694029441653,0.23673982804548305,-2.187216263789464,0.02872674015695332,0.046324075640333334,0.03866816965238143,1.0
A2M-AS1,74.81852097522878,-0.5693623742740479,0.1571763898057061,-3.785333046871695,0.00015350286087635498,0.0003941701982419035,0.0002066254170874333,1.0
A2MP1,11.357551783875547,-0.033082230220753454,0.2328433147612443,-3.2752840810266677,0.0010555576974102595,0.0023024335397719563,0.0014208533198799926,1.0
A4GALT,259.80981240905044,1.3151514939573825,0.1927936305196562,7.0470826473800905,1.827078104551248e-12,1.7007184998314644e-11,2.459372895390581e-12,1.0
AAAS,1281.1545129259016,0.3287619434404035,0.06941518778816802,4.781932793178226,1.7361772934110089e-06,6.352077104599428e-06,2.337014146451257e-06,1.0
AACS,528.03486992634,1.1259359619939755,0.15969621193792527,7.243157392064848,4.383576929870622e-13,4.4816029607364335e-12,5.900596290507882e-13,1.0
AADAC,16663.462829705895,-0.4285151242821552,0.21172077304720224,-2.2206068392898852,0.026377602174705257,0.04288875380294134,0.03550606822569262,1.0
AADACP1,237.06296825473007,-0.5314396676801928,0.24334671330202887,-2.4226503498039036,0.015407748508929744,0.026470716836870738,0.02073989008322308,1.0
AADAT,1339.0638805276328,-2.204502839780226,0.26819182293662625,-8.477637864863356,2.2981196680758742e-17,4.1824796904693574e-16,3.093427263974566e-17,1.0
AAGAB,992.2683271576395,0.43993385793177464,0.05984722136581126,7.399841931946989,1.3634669946389574e-13,1.4923750102424994e-12,1.83532042884303e-13,1.0
AAK1,893.8223153740092,0.8729791759223169,0.1170326169961595,7.595618131080212,3.063266354197805e-14,3.683912633154807e-13,4.1233673722593124e-14,1.0
AAMDC,230.03682378156284,-0.17496230203861055,0.11159995439829098,-1.6077497936118406,0.10788998830193412,0.1499590814665321,0.1452273508465883,0.0
AAMP,4367.717177794002,-0.09977578438355988,0.06555113777566343,-1.534289609209724,0.12495842086613095,0.17073278992309357,0.16820263598115445,0.0
AAR2,1650.7833617483855,0.07512163779093509,0.0592455150713314,1.2765444144537397,0.20176313687891145,0.25965336753422963,0.2715870705761918,0.0
AARS1,6933.210174455527,0.20597789749931253,0.09937093536044415,2.137840857002406,0.03252966172855199,0.05173607511645824,0.04378716386132527,1.0
AARS2,757.8239262715241,0.7439032612507007,0.08565333016689593,8.782729851219239,1.5955407286716398e-18,3.371593066423479e-17,2.1477076496138936e-18,1.0
AASDH,321.2982775299795,-0.1908142745544624,0.0851593136032129,-2.2747336005408463,0.022921915556465878,0.03786201336540223,0.030854476165839608,1.0
AASDHPPT,1142.960266043272,-0.214625815132605,0.0740175835776601,-2.9332188595653963,0.003354673221082476,0.006632723761057329,0.004515621074036816,1.0
AASS,3329.5482863548505,-0.5112846675233651,0.25153752983358196,-2.284354836534817,0.0223506855583033,0.037036851698158214,0.03008556126777612,1.0
AATF,1753.0606735237534,0.5130281946546491,0.06937133721223496,7.460218798690464,8.637891828041007e-14,9.71648874298043e-13,1.1627196988613456e-13,1.0
AATK,152.6475486593913,0.9157944064545201,0.2244412422351291,4.3504141029166155,1.3588067666238216e-05,4.222254335137761e-05,1.8290474411485163e-05,1.0
ABAT,23132.25226386851,-1.3505860099927163,0.1931875321459716,-7.286676749581769,3.1769391996996223e-13,3.3074691191988803e-12,4.2763788469591066e-13,1.0
