,padjScreen,p_naive,p_aware
A1BG,1.963615393137427e-05,0.00021284245318760542,5.0896204162983435e-06
A1BG-AS1,0.5682564141662388,,
A1CF,9.002694407590204e-07,2.876624087474954e-05,1.8367116905917969e-07
A2M,0.015185660707108837,0.03866816965238143,0.006812762635017977
A2M-AS1,6.7294609899201145e-06,0.0002066254170874333,1.5992297371451298e-06
A2MP1,8.970951298704632e-05,0.0014208533198799926,2.6364739252508167e-05
A4GALT,2.5412182576515398e-11,2.459372895390581e-12,3.044926704282358e-09
AAAS,9.55471847902034e-06,2.337014146451257e-06,0.2937348434717467
AACS,6.6680422665614496e-12,5.900596290507882e-13,1.2164448208713295e-06
AADAC,0.001467772423157554,0.03550606822569262,0.00054224620621861
AADACP1,0.00021410851754978958,0.02073989008322308,6.759764887435928e-05
AADAT,1.2573853841221885e-16,3.093427263974566e-17,5.491405872395729e-18
AAGAB,2.2142703992936668e-12,1.83532042884303e-13,0.00036247775364974737
AAK1,5.510001885208964e-13,4.1233673722593124e-14,2.0707821001363516e-07
AAMDC,0.002769147824463197,0.1452273508465883,0.0010755914011897033
AAMP,2.4458770702963376e-06,0.16820263598115445,5.404674840788295e-07
AAR2,1.4086616620256543e-06,0.2715870705761918,2.963438055966506e-07
AARS1,0.04431485873194264,0.04378716386132527,0.028739881112539986
AARS2,5.2321462510209235e-17,2.1477076496138936e-18,0.005690727610746249
AASDH,1.4544104630882248e-05,0.030854476165839608,3.676783634385885e-06
AASDHPPT,7.504949091968911e-08,0.004515621074036816,1.2648457776565855e-08
AASS,0.001295562962312033,0.03008556126777612,0.00047366591884655674
AATF,1.448312010341743e-12,1.1627196988613456e-13,0.00013599495144137733
AATK,6.407735891722734e-05,1.8290474411485163e-05,0.027066599479936285
ABAT,5.010373462286057e-14,4.2763788469591066e-13,3.2648394045454447e-15
ABCA1,9.195281758954468e-13,1.2418587699256278e-12,7.149788863727622e-14
ABCA10,6.20957444452786e-06,0.00089404654164409,1.468328090352321e-06
ABCA13,0.632084423517239,,
ABCA2,0.0005385893184202424,0.00018375300238492956,0.005456522423017408
ABCA3,1.2373091955533362e-12,9.825805578833725e-14,3.537195225046149e-10
ABCA4,4.7523307942622026e-07,9.189165046215081e-08,4.062417862471218e-06
ABCA5,0.021937899594953358,1.0,0.010156755693432383
ABCA6,7.877220106932288e-07,0.0008602492442857806,1.5912382581022835e-07
ABCA7,5.6902614335564135e-09,7.943816976037667e-10,5.3213496176251e-06
ABCA8,2.1219338986462774e-14,1.0385361208689517e-10,1.2989893735397758e-15
ABCA9,4.942549763109945e-09,5.872705121553775e-06,6.81414837485911e-10
ABCB1,0.4436901197511327,,
ABCB10,0.0009683796736089978,0.00852640806174807,0.00034494894830759416
ABCB11,0.012312383209176053,0.04318920435583723,0.005420442150108529
ABCB4,0.084223069662465,,
ABCB6,0.00011872250185840452,3.5753579459252704e-05,0.003556599315856745
ABCB7,0.2560970603706278,,
ABCB8,3.9324401966136546e-06,8.996062274855044e-07,0.2241864544921485
ABCB9,1.814014086594658e-09,2.329808114058659e-10,1.6953366087203898e-05
ABCC1,1.7309690195096476e-05,4.4312697586594465e-06,0.0004104353702222738
ABCC10,9.065344071594298e-24,1.7210414029195046e-25,1.5978023245253916e-08
ABCC11,2.0610639625748396e-14,0.17870166384333797,1.2592860017626507e-15
ABCC2,0.4556374504529255,,
ABCC3,0.1143588185166394,,
ABCC4,7.245870831206072e-10,8.699849648140541e-11,8.570670622562049e-07
ABCC5,4.3878163247443417e-17,1.7838059735106854e-18,9.172290676683195e-10
ABCC6,0.00014075989587377904,0.0007980046527868934,4.2962435853802234e-05
ABCC6P1,0.11693147607263035,,
ABCC9,1.850846582859345e-08,1.5002079742362247e-08,2.805198483651675e-09
ABCD1,8.950576961630157e-12,5.864872322389603e-10,8.072335158401053e-13
ABCD2,0.800993895493494,,
ABCD3,3.2834243457495714e-14,6.163541617135753e-09,2.0812991392776332e-15
ABCD4,1.0866124769288777e-10,4.1031042416752474e-09,1.1498295116223243e-11
ABCE1,0.018529618899699386,0.051537205001224204,0.008462512641633313
ABCF1,2.8324474949346033e-06,6.327617943373009e-07,0.05937012939863089
ABCF2,2.5616408037367017e-13,1.8461935536319566e-14,0.0005134772747137477
ABCF3,0.014694393564665523,0.00657872222150304,0.040083536034992893
ABCG1,0.0006825458435832318,0.00023662450222256394,0.009851936278744056
ABCG2,0.18582480209955693,,
ABCG5,1.1398309002748197e-05,0.00021160023447527147,2.8248335265336256e-06
ABCG8,0.0001486652041194976,0.0015434393441557028,4.5592383802040435e-05
ABHD1,0.8304627797671976,,
ABHD10,1.235788095780173e-12,1.3070007771692607e-05,9.808848518368836e-14
ABHD11,2.2271159271299443e-06,4.886539879584529e-07,0.2770924878924749
ABHD12,1.0972430786006994e-13,7.487895811890627e-15,6.797387924475183e-05
ABHD12B,0.01913077057612673,0.044750111733507,0.00875744699802328
ABHD13,2.3872769005348392e-14,1.490231508167984e-07,1.4783854818989434e-15
ABHD14A,0.3554438406240199,,
ABHD14B,3.475869368288144e-05,0.010974738518449167,9.42364488900034e-06
ABHD15,3.432837554121082e-09,2.076816474359769e-06,4.6135190526453595e-10
ABHD16A,0.05390234544296811,,
ABHD17A,0.002166701063836903,0.0008255972556947213,0.37316579318024046
ABHD17B,6.993711765504368e-06,0.00018364267164230365,1.6667205415264989e-06
ABHD17C,0.0014520780079652219,0.0005358750147803451,0.10819155153390428
