,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,80.25885940894536,-1.0714237596186136,0.2500023276533717,-4.623065663540922,3.7810996618383424e-06,1.4229819340910928e-05
A1BG-AS1,23.471272987192375,-0.1910827950522232,0.1877801100399471,-1.1060256096812067,0.2687154348832669,0.34022390819939613
A1CF,11215.482906935667,-0.8763231532107676,0.16344896384079796,-5.269964620520269,1.3645005686381e-07,6.699528850105637e-07
A2M,170802.39121258675,0.9300487499121457,0.2346621564503983,-2.803110724268852,0.005061229008937821,0.010123394278371986
A2M-AS1,74.81852097522878,-0.7364273130945129,0.15804370726243824,-4.857616182702635,1.1880742616792461e-06,4.9256120374798216e-06
A2MP1,8.459034805674099,-0.33499294689217113,0.08899810660825022,-4.269553440656922,1.958647178341388e-05,6.386013706515744e-05
A4GALT,259.80981240905044,1.105739793791616,0.19299422239246053,5.977772856438328,2.262088405456774e-09,1.503239730703387e-08
AAAS,1281.1545129259016,0.0837341583646109,0.0692959765871111,1.231283616646402,0.21821680724255732,0.2848310622397495
AACS,528.03486992634,0.7452585450761481,0.15955291963305174,4.911526264636427,9.037017939712645e-07,3.821905503670139e-06
AADAC,16663.462829705895,-0.3446180382363398,0.21871807559899448,-3.5382182717186854,0.00040283690712980015,0.0010109161060157987
AADACP1,237.06296825473007,-0.9208520239019752,0.2477213558368403,-4.054607428855978,5.0218567671849834e-05,0.00015126780002479835
AADAT,1339.0638805276328,-2.2469728457067055,0.267452872740174,-8.676549069252975,4.079587707688781e-18,1.0009371164245913e-16
AAGAB,992.2683271576395,0.21564519439760588,0.0598228095882802,3.643184000715604,0.0002692861941845531,0.000699127311698386
AAK1,893.8223153740092,0.6080664931112478,0.11696589412422682,5.247904213935106,1.5383924257874326e-07,7.492907067845559e-07
AAMDC,230.03682378156284,-0.3661803948146884,0.11192108746788555,-3.3531197663892054,0.0007990612168819587,0.0018916551256797389
AAMP,4367.717177794002,-0.3461255894878517,0.06575732350576287,-5.068237848245841,4.0151548723379147e-07,1.8057048676937233e-06
AAR2,1650.7833617483855,-0.3088225599454999,0.059351368756687554,-5.1814606688143625,2.2015501579277324e-07,1.045705662757206e-06
AARS1,6933.210174455527,0.24253609502039375,0.09941833375377133,2.301719880627377,0.02135097430997282,0.03689469131877346
AARS2,757.8239262715241,0.24034910973174037,0.08533519856270017,2.860655279131293,0.004227664635991877,0.008610862084679108
AASDH,321.2982775299795,-0.3900281403898373,0.08537472413473647,-4.690041421378299,2.731497483016678e-06,1.0573778678865015e-05
AASDHPPT,1142.960266043272,-0.4234356041383753,0.07412915643399733,-5.741275799387643,9.396590611865836e-09,5.6419247575188813e-08
AASS,3329.5482863548505,-0.8085501026128981,0.25548135292698365,-3.5737623472330466,0.0003518883333302944,0.000893049540102423
AATF,1753.0606735237534,0.2592075413834586,0.06933630075184061,3.8881019266428765,0.00010103120131711047,0.00028617675163776875
AATK,152.6475486593913,0.4638232528701829,0.22107423528394818,2.324328646640314,0.02010788659464185,0.03499129321480078
ABAT,23132.25226386851,-0.928891079852369,0.20502230427338225,-7.917390922375595,2.4254624429264426e-15,3.961746449345919e-14
