,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,80.25885940894536,-0.8618898254801662,0.2485040060433575,-3.7779548717551723,0.00015812152222499328,0.00040506530419674535
A1BG-AS1,23.471272987192375,0.040290646071215595,0.18749902863926793,0.23166666555784965,0.8167969240871749,0.8518124967256966
A1CF,11215.482906935667,-0.7270285387324149,0.16254811663288563,-4.250068059414197,2.1370557084290828e-05,6.443283415106285e-05
A2M,170802.39121258675,1.067027554869922,0.23016139989643086,-2.187216263789464,0.02872674015695332,0.046324075640333334
A2M-AS1,74.81852097522878,-0.5693623742740486,0.1571763898057061,-3.785333046871695,0.00015350286087635498,0.0003941701982419035
A2MP1,11.357551783875547,-0.033082230220753496,0.23284331476124448,-3.2752840810266677,0.0010555576974102595,0.0023024335397719563
A4GALT,259.80981240905044,1.3178015191580799,0.19281708704538664,7.0470826473800905,1.827078104551248e-12,1.7007184998314644e-11
AAAS,1281.1545129259016,0.32800899462009436,0.06941715763526513,4.781932793178226,1.7361772934110089e-06,6.352077104599428e-06
AACS,528.03486992634,1.1114793382097616,0.15989699702485538,7.243157392064848,4.383576929870622e-13,4.4816029607364335e-12
AADAC,16663.462829705895,-0.5031432083062364,0.20912956803065944,-2.2206068392898852,0.026377602174705257,0.04288875380294134
AADACP1,237.06296825473007,-0.5344283705358329,0.2434822376579669,-2.4226503498039036,0.015407748508929744,0.026470716836870738
AADAT,1339.0638805276328,-2.2029528051406264,0.26814149855323294,-8.477637864863356,2.2981196680758742e-17,4.1824796904693574e-16
AAGAB,992.2683271576395,0.44004224267391057,0.05984753978006112,7.399841931946989,1.3634669946389574e-13,1.4923750102424994e-12
AAK1,893.8223153740092,0.883404903708447,0.11714948567932919,7.595618131080212,3.063266354197805e-14,3.683912633154807e-13
AAMDC,230.03682378156284,-0.17464890080064732,0.11162575094635088,-1.6077497936118406,0.10788998830193412,0.1499590814665321
AAMP,4367.717177794002,-0.10644416902360024,0.06563260402621353,-1.534289609209724,0.12495842086613095,0.17073278992309357
AAR2,1650.7833617483855,0.07799447506854275,0.05921787872909923,1.2765444144537397,0.20176313687891145,0.25965336753422963
AARS1,6933.210174455527,0.13254838114214718,0.09867580282231911,2.137840857002406,0.03252966172855199,0.05173607511664694
AARS2,757.8239262715241,0.7440022161450733,0.0856529558140399,8.782729851219239,1.5955407286716398e-18,3.371593066423479e-17
AASDH,321.2982775299795,-0.19079888329526876,0.08516303076953168,-2.2747336005408463,0.022921915556465878,0.03786201336540223
AASDHPPT,1142.960266043272,-0.21468202899552075,0.0740200305908472,-2.9332188595653963,0.003354673221082476,0.006632723761057329
AASS,3329.5482863548505,-0.504021988404184,0.2513887213299188,-2.284354836534817,0.0223506855583033,0.037036851698158214
AATF,1753.0606735237534,0.5039337968626223,0.06935358118534794,7.460218798690464,8.637891828041007e-14,9.71648874298043e-13
AATK,152.6475486593913,0.9130409054968232,0.22454572447573004,4.3504141029166155,1.3588067666238216e-05,4.222254335137761e-05
ABAT,23132.25226386851,-1.4440032286993263,0.18751258314610933,-7.286676749581769,3.1769391996996223e-13,3.3074691191988803e-12
ABCA1,4164.544564896647,-0.9421958507967101,0.13831954100000118,-7.1415888759742225,9.225819198579553e-13,8.995305591388057e-12
ABCA10,129.71903293865108,-0.7582444856817144,0.2428423943354052,-3.4039492995110203,0.0006641908039847134,0.0015049755222364225
ABCA13,28.27812294346829,0.02533247868875035,0.3101087790050732,0.0981996876089926,0.9217737305184821,0.937329005756212
ABCA2,2828.4520710550614,0.5845292095980873,0.16843184791052365,3.814406060225003,0.00013651085117360356,0.0003540023639086772
ABCA3,317.78173167297564,1.677483815363007,0.23181174841014265,7.482366003532074,7.299630839354072e-14,8.304243142328551e-13
ABCA4,74.83466937560104,1.737947727636531,0.2066613848146878,5.39567431103619,6.826668004072991e-08,3.1964626434227546e-07
ABCA5,1637.998431475565,0.024090208782498904,0.1402268319380127,0.028040709754508657,0.9776296822121439,0.982584957315005
ABCA6,4759.864488101877,-0.6242695695842235,0.20002980992909836,-3.414461326904688,0.0006390826546218783,0.0014523289591240524
ABCA7,443.79042032906614,1.1589715918813093,0.1948810214275074,6.193039481855766,5.901493868897793e-10,3.8221866671596684e-09
ABCA8,1913.0858552876844,-1.5046322322359515,0.2494982566762914,-6.506048609220566,7.715326987548604e-11,5.720411787768102e-10
ABCA9,325.3070716134361,-0.9310076773546669,0.2151186537069096,-4.593302630506577,4.362856467267372e-06,1.477945795318047e-05
ABCB1,2918.791119588666,0.12174800243402867,0.21597561150638614,0.5217964006985742,0.6018120959925174,0.6633508934755606
ABCB10,1101.0497725181358,0.27371484442168503,0.1057335947284536,2.729954686623759,0.006334303150728627,0.011883264205651846
ABCB11,4874.935885321739,-0.5814652307890774,0.30872282907857057,-2.1433446355778742,0.03208543518530061,0.05110661480681252
ABCB4,7905.20485445751,-0.2361189287024427,0.2561834850614481,-1.0435507780983848,0.29669327609816065,0.3629490988021473
ABCB6,18.225731986824453,0.7647797412806595,0.19226039259163455,4.201105480780845,2.6561479274560945e-05,7.855582831583208e-05
ABCB7,1049.3183750353269,-0.11769268378603484,0.07488222073773303,-1.5900615152836994,0.1118209396545572,0.15465389164064589
ABCB8,2006.5585443267728,0.5471546029052621,0.11418197519446004,4.970350106989615,6.683211171584782e-07,2.6332902058464716e-06
ABCB9,105.33497098497237,1.1216595569090448,0.18198961331235936,6.383502834650226,1.730823902703207e-10,1.2221838514616062e-09
ABCC1,505.0647313480827,0.9616576332307898,0.21775876678024553,4.65170560219774,3.29200828657623e-06,1.143585604216428e-05
ABCC10,378.9026823600224,1.2256804907117969,0.11866488238304583,10.462917613091454,1.2785686425160851e-25,6.1074036584949014e-24
ABCC11,269.96200773653584,0.7865460129794983,0.25622114750024244,1.503313613327235,0.1327581912718394,0.17983361948992593
