,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG-AS1,38.451978328272276,-0.6128806659137707,0.14901878132178129,-4.186906345090498,2.8278244061914368e-05,6.407925719892148e-05,3.483831882130728e-05,1.0
A2M,92416.71230815841,0.3814373235831952,0.19721407154517384,-7.905155714697309,2.6759887862332532e-15,1.715089128345359e-14,3.2967729641529207e-15,1.0
A2M-AS1,53.177751559975746,-0.9888181807435713,0.14894280917857927,-6.740706398087061,1.576184247396395e-11,7.172036169314024e-11,1.9418323574720747e-11,1.0
A2MP1,9.511783410616447,-1.4115803206427493,0.21787381540734896,-6.699031402610606,2.0980550903438218e-11,9.436251404290767e-11,2.58476841709232e-11,1.0
A4GALT,830.572858492685,-0.07330499457460579,0.17444166410645573,-0.32632468139641074,0.7441787163470472,0.782287104811384,,0.0
AAAS,1181.087469895874,0.01566193538096318,0.06389117229175906,0.2389345794895299,0.8111563114390368,0.8410632610980332,0.9993308682800758,0.0
AACS,1305.547240934005,0.26650886118816214,0.0997825154865612,2.767926250668353,0.005641422001483522,0.009300748111857186,0.006950136573646759,1.0
AACSP1,8.001383286463813,-1.0257950810876584,0.40187943092714273,-2.887812081043334,0.003879315598539735,0.006557598579869253,0.004779251262365987,1.0
AADAC,289.7336129136364,-2.209494733602218,0.34829856645723783,-6.663669293848137,2.6707407268690112e-11,1.1893282868585784e-10,3.2903074437010744e-11,1.0
AADACP1,32.345581773554315,-0.7281099221508782,0.3488957957784741,-2.373163268504643,0.017636466084007325,0.026859006408560423,0.021727828183763995,1.0
AADAT,225.29138936740299,-0.3022630018140147,0.14430102701520747,-2.1618131521171415,0.03063258130882828,0.04468143342067413,,0.0
AAGAB,1715.8983738892773,0.4551734169895486,0.07593387795761915,6.046294516319814,1.4821505293468174e-09,5.519445069849275e-09,1.825984405873968e-09,1.0
AAK1,1839.5853440715014,-0.4040339280873592,0.0950818084495451,-4.280217321251872,1.8671090271779135e-05,4.339518519566107e-05,2.3002467699389926e-05,1.0
AAMDC,192.06359274586,-0.90372817383871,0.09541380923104008,-9.48420185802732,2.4424501426553058e-21,2.6208758835960343e-20,3.009057301742962e-21,1.0
AAMP,3929.654951680797,0.10225118138053509,0.058521722778640047,1.8281200111311664,0.06753154228929142,0.09215817793659412,0.08319771891132262,0.0
AAR2,1967.831375212892,-0.4851255500201447,0.06345700515336652,-7.751963593959742,9.048233482846615e-15,5.553279788450894e-14,1.1147270748313145e-14,1.0
AARD,182.39858776458863,-2.909486221381821,0.2782457279214311,-10.62350303923495,2.316995749174243e-26,3.5755662028113026e-25,2.854499608978954e-26,1.0
AARS1,5625.449481772891,0.4276184738026717,0.08066798377230486,5.381739142450587,7.376961578063644e-08,2.2903577280883365e-07,9.08829200378989e-08,1.0
AARS2,686.3965473800519,0.07735061303437654,0.07611442837123036,1.0158246311935766,0.3097129044470305,0.36381771785940487,0.3815610645616684,0.0
AARSD1,30.500030008444952,0.11666188627233863,0.19578022064647738,0.6196749591384408,0.5354718049749423,0.5879190461576383,0.6596922150008142,0.0
AASDH,465.730058188957,-0.14886879854266533,0.07044432193624899,-2.1261131403416544,0.0334938400592725,0.0485132878223461,,0.0
AASDHPPT,1334.1757537788176,0.16551727310949596,0.07173820079250912,2.3571459473213356,0.018416007317517233,0.02792822155906751,0.022688209810286204,1.0
AASS,1049.3706726504088,-0.7745701176242621,0.04874894942829451,-4.838717950098526,1.306793400038772e-06,3.4942978860260042e-06,1.6099473858579055e-06,1.0
AATBC,117.21355235889808,-0.04611550622617854,0.19806840259513472,-0.24669164686887643,0.8051468716457333,0.8359195007714604,,0.0
AATF,2257.694812615669,0.22106158981224375,0.08181671636400253,2.7443897507503263,0.006062351398627386,0.009945104916841583,0.007468714477806975,1.0
AATK,1112.793965294851,-2.337058092175602,0.18879505176550893,-12.547159085194922,4.120287866192065e-36,1.2436119997958698e-34,5.0761250240176845e-36,1.0
ABAT,632.5358011004146,-0.44214532326648026,0.19703098567720018,-2.3547318046108345,0.01853607856270352,0.028099567150707955,0.022836135555318764,1.0
ABCA1,3447.728611953146,-0.4546235666846714,0.15970903955850882,-3.1028832539728173,0.0019164522525114262,0.0033828777076109653,0.0023610367897180405,1.0
ABCA10,92.35361988985203,-2.488787478047466,0.22087111806847,-11.362494783363303,6.428225829009111e-30,1.2509491480790057e-28,7.919465593268556e-30,1.0
ABCA11P,29.55803601099508,-0.47780626235145796,0.12947967022637308,-3.7070634821627326,0.00020967639730288818,0.00042379807955522094,0.00025831777823784,1.0
ABCA12,309.13714393930474,5.152333750370516,0.3400520469535908,15.279465801864713,1.0479623309372486e-52,8.805547890883746e-51,1.2910718826096943e-52,1.0
ABCA13,397.60909144190043,-0.8058565301350219,0.3711666104431344,-2.5090978070654373,0.012103996489571313,0.01897388442163681,0.014911919134455711,1.0
ABCA17P,33.900142023670966,0.6569969942183029,0.278225811602315,2.5606277756586646,0.010448323392772192,0.016535534946422393,0.012872157857770412,1.0
ABCA2,1735.0645650745007,0.0026644998778496075,0.12776522826026707,0.2243754463194721,0.8224651746451987,0.8510250186089899,,0.0
ABCA3,24462.679165514553,-2.0898407065788986,0.2506727799155941,-8.745342249832229,2.223406632059454e-18,1.873784679716913e-17,2.7391993982193694e-18,1.0
ABCA4,457.65777207004464,3.0838257114129854,0.36068814840916613,8.791186810547035,1.4798825904645236e-18,1.2616539883452925e-17,1.823190343495993e-18,1.0
ABCA5,568.7240776775282,-1.287991853091231,0.15102395410085642,-8.693409649050828,3.517213843758795e-18,2.909735107289816e-17,4.333148019491606e-18,1.0
ABCA6,431.32762494754763,-1.8706195188047146,0.16637386126613005,-11.372410463259452,5.738072068488122e-30,1.1221495968256357e-28,7.069207822944798e-30,1.0
ABCA7,1036.7850751508536,0.04125310615615519,0.1276581224014161,0.2590829790434598,0.7955712172945486,0.8277112927046643,,0.0
ABCA8,1442.3938965150192,-3.190780551361152,0.2308439850020439,-14.076625042441075,5.287531016174186e-45,2.8726504123488794e-43,6.514148860010816e-45,1.0
