,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A1BG-AS1,38.451978328272276,-0.43341804277034,0.1480350084487947,-3.0012865231297523,0.002688414693145998,0.0046168929908275,0.0033120814714888884,1.0
A2M,92416.71230815841,-1.461060803611093,0.18111826535884554,-8.271574845112493,1.3220099654818886e-16,9.172658367916674e-16,1.6286939373450454e-16,1.0
A2M-AS1,53.177751559975746,-0.7723116817369513,0.14798792839396518,-5.335104812455118,9.548938293130638e-08,2.909132683250585e-07,1.1764130613368573e-07,1.0
A2MP1,9.511783410616447,-1.479687536122739,0.21554505059245133,-7.063523395509519,1.6233285472884968e-12,7.855198900129549e-12,1.9999133382660844e-12,1.0
A4GALT,830.572858492685,0.08179381220137143,0.17430838668067986,0.48651783027875134,0.6266000666674296,0.6731758219750313,,0.0
AAAS,1181.087469895874,0.3821973326387262,0.06391027334923323,6.010513656821237,1.849364285937352e-09,6.693355318513906e-09,2.2783855485920532e-09,1.0
AACS,1305.547240934005,0.5591866157552922,0.09985427824972733,5.668291067470987,1.4422880290624523e-08,4.769941897316282e-08,1.7768744791444104e-08,1.0
AACSP1,8.001383286463813,-0.7897782381213364,0.3968412110587044,-2.309753840145343,0.020901786180282125,0.031215726762689754,0.025750647363009103,1.0
AADAC,289.7336129136364,-2.3247014624004847,0.34815525045347373,-6.967732439983877,3.220900293872191e-12,1.5210872309475006e-11,3.968094733317939e-12,1.0
AADACP1,32.345581773554315,-0.6728930448329283,0.3473404329586887,-2.201232881890528,0.02771954160260768,0.040453231526325455,0.03415000683273548,1.0
AADAT,225.29138936740299,-0.10976002452391026,0.1439972333584456,-0.7858304458449095,0.43196682727138913,0.4869203151882473,,0.0
AAGAB,1715.8983738892773,0.5608077777775707,0.07596689493286667,7.427371188631819,1.1077717242926023e-13,5.949922343640927e-13,1.364756044527976e-13,1.0
AAK1,1839.5853440715014,0.002190038834269843,0.09486563332457089,0.022133352748472515,0.9823415813415921,0.9850737576740213,1.0,0.0
AAMDC,192.06359274586,-0.40755808808905264,0.09505514172103315,-4.3381383582060735,1.4369468914662925e-05,3.3906064799829345e-05,1.7702942878837338e-05,1.0
AAMP,3929.654951680797,0.42327259909332,0.05859201074992973,7.32238194711078,2.4360759821206535e-13,1.266580669256753e-12,3.0012044436787124e-13,1.0
AAR2,1967.831375212892,0.047848200977006886,0.06338038943896573,0.7318595283097865,0.46425431073786183,0.5187447445727053,0.5719534655772739,0.0
AARD,182.39858776458863,-2.1156253465142587,0.2781636219045433,-7.845587115988701,4.309325699024535e-15,2.6237006021386713e-14,5.309016439590987e-15,1.0
AARS1,5625.449481772891,0.6785337895339406,0.08063827676499725,8.490137436437035,2.0639287267828634e-17,1.5334472331249225e-16,2.5427253138732715e-17,1.0
AARS2,686.3965473800519,0.5055270312865446,0.07614187978192631,6.683335683725634,2.3356372083455906e-11,1.0181509307868337e-10,2.8774655716633365e-11,1.0
AARSD1,30.500030008444952,0.5732370428951411,0.19714075378196677,3.0384252489239874,0.002378180975702332,0.0041187186679630785,0.0029298787741163794,1.0
AASDH,465.730058188957,0.050041145947643764,0.07033578999884826,0.7153434583132776,0.474396841186702,0.5283509890891491,,0.0
AASDHPPT,1334.1757537788176,0.5676863500308079,0.07178104621315227,7.951055589355406,1.8492893615274053e-15,1.1641716837805856e-14,2.278293242985117e-15,1.0
AASS,1170.740291061306,-0.30621901864227075,0.18143376065357747,-1.7607723207678045,0.07827694645728163,0.10469660382084815,0.09643587526390997,0.0
AATBC,117.21355235889808,0.2397440089758555,0.19847921160082854,1.267486803889013,0.20498127914048092,0.2513777838809979,,0.0
AATF,2257.694812615669,0.6836546142866441,0.08184126521803768,8.43047075914877,3.442774076742551e-17,2.513630704779263e-16,4.241439484456063e-17,1.0
AATK,1112.793965294851,-1.9203458899857044,0.1882536673552486,-10.369583471540022,3.410079000193189e-25,4.6732457894838245e-24,4.201159702648543e-25,1.0
ABAT,632.5358011004146,-0.12392248695553008,0.19572911805004486,-0.6666249097245999,0.5050117538088967,0.558464369731788,0.622165946696721,0.0
ABCA1,3447.728611953146,-0.4531639485539666,0.15965365469019696,-2.9291441793377873,0.0033989672065749084,0.005751964474004134,0.004187470160684668,1.0
ABCA10,92.35361988985203,-1.9799267140347454,0.22071176401764336,-9.160633103656822,5.159372793673517e-20,4.751990826685826e-19,6.356260095585602e-20,1.0
ABCA11P,29.55803601099508,-0.202376273179275,0.12842531501789808,-1.6083495568210395,0.10775864274122687,0.14029636173321047,0.1327568268860915,0.0
ABCA12,309.13714393930474,5.433700005043434,0.34002580251794895,16.129004830165776,1.5957098558722225e-58,1.7877359571721e-56,1.9658875771586834e-58,1.0
ABCA13,397.60909144190043,-0.037041050985265694,0.35491154813093995,-0.12485001044712081,0.9006422944878295,0.9171067423073667,1.0,0.0
ABCA17P,33.900142023670966,1.2283878739185081,0.2815371095837966,4.631582139633514,3.6288197583381273e-06,9.225576385621161e-06,4.470644620268705e-06,1.0
ABCA2,1735.0645650745007,0.14871901244676472,0.12771287923615804,1.1873404138227759,0.23509337314279155,0.28411175146346296,,0.0
ABCA3,24462.679165514553,-1.8073925852207648,0.25020613856502494,-7.4674581485065525,8.175871712407634e-14,4.436987850493798e-13,1.0072535788832218e-13,1.0
ABCA4,457.65777207004464,3.5585198236697924,0.35976215662406813,10.111726412755544,4.901286265634926e-24,6.20641804901281e-23,6.0383018543452155e-24,1.0
ABCA5,568.7240776775282,-0.7171173321625847,0.1505454971650999,-4.882769562047664,1.0460609242168995e-06,2.8384493879612912e-06,1.2887293816613517e-06,1.0
ABCA6,431.32762494754763,-1.3677965925660773,0.16630431472904034,-8.382057748807666,5.201030413498329e-17,3.7341214011467005e-16,6.407581579253967e-17,1.0
ABCA7,1036.7850751508536,0.11867004978240067,0.12761320096396916,0.958020313403706,0.3380525155250411,0.39321805389849634,,0.0
ABCA8,1442.3938965150192,-2.7532411180380265,0.23037922043811215,-12.124926623150644,7.792996940776928e-34,1.9914320790670937e-32,9.600840540234e-34,1.0
ABCA9,237.09937350848708,-1.975067568232779,0.1982836920926933,-10.134046638810316,3.901607719502253e-24,4.9659102103805946e-23,4.806714778685988e-24,1.0
ABCB1,305.85887732301865,-1.6115183529298205,0.23984761385127226,-6.945655554722633,3.767068783301508e-12,1.7693267165530293e-11,4.6409650828074615e-12,1.0
ABCB10,990.7604456144759,0.23934500238370585,0.08516412148019899,2.8324551041197723,0.004619205237065216,0.007662609992555063,0.0056907827939241575,1.0
ABCB4,55.89917964847586,2.2619451788892837,0.23985508969005354,9.636524454818279,5.6053718015044785e-22,6.1040374971902146e-21,6.905723336470789e-22,1.0
ABCB5,8.252094007274343,-0.28967020461977966,0.3434312003252452,-3.0174317475779597,0.002549264409380352,0.004394672106234233,0.003140650673335759,1.0
ABCB7,895.5999472872271,0.26658795657511997,0.06332735608472026,4.230250711709847,2.334310020803586e-05,5.3482804982709546e-05,2.8758304990392087e-05,1.0
ABCB8,1360.612937592745,0.3590811909374483,0.08664660093107573,4.181877268857493,2.891120298111634e-05,6.565611029724428e-05,3.561811351363923e-05,1.0
ABCB9,224.96434947438533,1.059964730889785,0.12957708950110622,8.297606693769602,1.0622968353304531e-16,7.422602623186359e-16,1.3087317497889468e-16,1.0
ABCC1,3639.966969933744,0.40981842256455214,0.1279320995593636,3.2675243733518773,0.0010849252414805348,0.0019784869908551594,0.001336609563777274,1.0
ABCC10,1013.5144562676126,0.5262973911576768,0.08337567980228448,6.3737338697267765,1.8448060524690985e-10,7.359184071708352e-10,2.272769881986967e-10,1.0
ABCC13,36.20466463952814,-1.9115931850885162,0.3266913711255016,-6.154308693541653,7.540568410877776e-10,2.8389874992919367e-09,9.289852857089108e-10,1.0
ABCC2,457.72927291727996,4.656708733267673,0.43296332912036106,10.966820089739892,5.517898258728666e-28,9.19495146811676e-27,6.797957409952128e-28,1.0
ABCC3,5030.738539003941,2.268673101060966,0.19802172460268863,11.61097115464773,3.624751338872312e-31,7.704053488728612e-30,4.4656323962374475e-31,1.0
ABCC4,1749.6016849887749,0.026168832355548573,0.17267716103604028,0.15644262751968457,0.8756841388944496,0.8962948526002341,,0.0
ABCC5,1350.2537494977523,0.33660235400326466,0.1427200448060183,2.4234834459651267,0.015372453863405742,0.023504954901020576,0.018938603386638657,1.0
ABCC6,854.5699473439606,-1.1282051849511998,0.15738235628196898,-7.317531714027944,2.5257345851331053e-13,1.3111339482510334e-12,3.1116623274844356e-13,1.0
ABCC6P1,71.06976671585245,-0.1676450457344541,0.20565595038847714,-0.8617063158645744,0.3888491491677729,0.4447290746125531,0.47905558076521726,0.0
ABCC6P2,36.73051650698448,-0.22197092310110927,0.1683000069873354,-1.3682695262005768,0.17122772584769486,0.2136306658839681,0.21094966473408233,0.0
ABCC8,41.62301651051853,-0.7155662131761642,0.3676401738416824,-2.2349608647122055,0.025419918124223277,0.03736671433679374,0.03131690956780241,1.0
ABCC9,988.3352205647228,-0.6678117277441484,0.162659748435187,-4.2289045125129325,2.3483198225760742e-05,5.378514908949359e-05,2.8930903380767615e-05,1.0
ABCD1,859.0448299037532,0.37234833524997013,0.09548775564001757,3.9422068304285047,8.07353063436815e-05,0.00017328510929702395,9.946453310109371e-05,1.0
ABCD2,73.81267491809571,-0.1788190484575211,0.22924979737545526,-0.8343308258279029,0.4040945857459163,0.45976221443235527,,0.0
ABCD3,2803.5812283287173,-0.11513025360933928,0.09009956028048552,-1.2935041472714437,0.19583675061655537,0.24147760009490693,0.24126756739104702,0.0
ABCD4,1224.8372276558841,-0.16095363485020403,0.06911694356316615,-2.343377253313455,0.019110049214384518,0.028725915397304805,0.023543257698884504,1.0
ABCE1,2133.320985364006,0.7379448474564977,0.09147825599077292,8.144854648082482,3.797377873186025e-16,2.5209910688074618e-15,4.678305369363747e-16,1.0
ABCF1,3700.4382080493283,0.5992532886604217,0.07462583878750412,8.08229012501721,6.356166709219591e-16,4.1339057344645616e-15,7.830689975386711e-16,1.0
ABCF2,594.5439884027187,0.7194330205558881,0.08570074873821411,8.460019268149528,2.6733334996463687e-17,1.9729141532559543e-16,3.293501695948527e-17,1.0
ABCF3,1954.369944874179,0.35051464787066433,0.05554223151730473,6.337990814725788,2.327807025312131e-10,9.193470088018235e-10,2.8678189184853103e-10,1.0
ABCG1,2791.3342212900857,-1.2284802981266112,0.14233973096308097,-8.767891204091393,1.8204360751547697e-18,1.474040317285385e-17,2.242746481754416e-18,1.0
ABCG2,514.5131606322262,-1.6383254900174065,0.21094805059210198,-7.965005876475625,1.6521592598961196e-15,1.0450500198960145e-14,2.0354322889997547e-15,1.0
ABHD1,17.97614997023318,0.5283906962258056,0.21207639173627751,2.6251176118277577,0.008661904159496229,0.013791938604314572,0.010671319550373398,1.0
ABHD10,951.6417455622952,0.18210454440116353,0.09699265860360701,1.9145766026130684,0.05554652136270387,0.076540026309667,,0.0
ABHD11,1226.4462178279675,1.360862395067387,0.14896330932977742,9.266320203206938,1.92678719924924e-20,1.8387002002460264e-19,2.37376926945281e-20,1.0
ABHD11-AS1,141.04587380234335,0.23260891037739487,0.23928717212777448,1.0421832410000091,0.29732673144885147,0.35082178723188806,,0.0
ABHD12,2756.4383624920833,0.4235423534938691,0.10011599168153054,4.281914623974949,1.8529207848174498e-05,4.302004351121652e-05,2.282767095112452e-05,1.0
ABHD12B,34.82007985519384,-1.310144155204822,0.2652471222496048,-5.185761061961894,2.1513448940814936e-07,6.297974177378442e-07,2.6504205547736097e-07,1.0
ABHD13,1074.9238468250958,-0.4304254588506451,0.080616795965391,-5.381767203537852,7.375811437312099e-08,2.2720360270642885e-07,9.086875049819763e-08,1.0
ABHD14A,191.30234170474117,-0.13651674232715474,0.13898421062616315,-1.0082111624534722,0.31335310026171814,0.36765824378379214,,0.0
