,padjScreen,p_naive,p_aware
A1BG-AS1,1.0,1.0,1.0
A2M,1.0,1.0,1.0
A2M-AS1,1.0,1.0,1.0
A2MP1,1.0,1.0,1.0
A4GALT,0.0,0.0,0.0
AAAS,1.0,1.0,0.0
AACS,1.0,1.0,1.0
AACSP1,1.0,1.0,1.0
AADAC,1.0,1.0,1.0
AADACP1,1.0,1.0,1.0
AADAT,0.0,0.0,0.0
AAGAB,1.0,1.0,1.0
AAK1,1.0,0.0,1.0
AAMDC,1.0,1.0,1.0
AAMP,1.0,1.0,0.0
AAR2,1.0,0.0,1.0
AARD,1.0,1.0,1.0
AARS1,1.0,1.0,1.0
AARS2,1.0,1.0,0.0
AARSD1,1.0,1.0,0.0
AASDH,0.0,0.0,0.0
AASDHPPT,1.0,1.0,1.0
AASS,1.0,0.0,1.0
AATBC,0.0,0.0,0.0
AATF,1.0,1.0,1.0
AATK,1.0,1.0,1.0
ABAT,1.0,0.0,1.0
ABCA1,1.0,1.0,1.0
ABCA10,1.0,1.0,1.0
ABCA11P,1.0,0.0,1.0
ABCA12,1.0,1.0,1.0
ABCA13,1.0,0.0,1.0
ABCA17P,1.0,1.0,1.0
ABCA2,0.0,0.0,0.0
ABCA3,1.0,1.0,1.0
ABCA4,1.0,1.0,1.0
ABCA5,1.0,1.0,1.0
ABCA6,1.0,1.0,1.0
ABCA7,0.0,0.0,0.0
ABCA8,1.0,1.0,1.0
ABCA9,1.0,1.0,1.0
ABCB1,1.0,1.0,1.0
ABCB10,1.0,1.0,1.0
ABCB4,1.0,1.0,1.0
ABCB5,1.0,1.0,1.0
ABCB7,1.0,1.0,1.0
ABCB8,1.0,1.0,0.0
ABCB9,1.0,1.0,1.0
ABCC1,1.0,1.0,0.0
ABCC10,1.0,1.0,0.0
ABCC13,1.0,1.0,1.0
ABCC2,1.0,1.0,1.0
ABCC3,1.0,1.0,1.0
ABCC4,0.0,0.0,0.0
ABCC5,1.0,1.0,0.0
ABCC6,1.0,1.0,1.0
ABCC6P1,1.0,0.0,1.0
ABCC6P2,1.0,0.0,1.0
ABCC8,1.0,1.0,1.0
ABCC9,1.0,1.0,1.0
ABCD1,1.0,1.0,1.0
ABCD2,0.0,0.0,0.0
ABCD3,1.0,0.0,1.0
ABCD4,1.0,1.0,1.0
ABCE1,1.0,1.0,1.0
ABCF1,1.0,1.0,0.0
ABCF2,1.0,1.0,0.0
ABCF3,1.0,1.0,0.0
ABCG1,1.0,1.0,1.0
ABCG2,1.0,1.0,1.0
ABHD1,1.0,1.0,0.0
ABHD10,0.0,0.0,0.0
ABHD11,1.0,1.0,1.0
ABHD11-AS1,0.0,0.0,0.0
ABHD12,1.0,1.0,0.0
ABHD12B,1.0,1.0,1.0
ABHD13,1.0,1.0,1.0
ABHD14A,0.0,0.0,0.0
ABHD14B,1.0,1.0,1.0
ABHD15,0.0,0.0,0.0
ABHD16A,1.0,0.0,1.0
ABHD17A,1.0,1.0,1.0
ABHD17B,0.0,0.0,0.0
ABHD17C,1.0,1.0,1.0
ABHD18,0.0,0.0,0.0
ABHD2,1.0,1.0,1.0
ABHD3,1.0,1.0,0.0
ABHD4,1.0,1.0,0.0
ABHD5,1.0,1.0,1.0
ABHD6,1.0,1.0,1.0
ABHD8,1.0,1.0,1.0
ABI1,1.0,0.0,1.0
ABI2,1.0,1.0,1.0
ABI3,1.0,1.0,1.0
ABI3BP,1.0,1.0,1.0
ABITRAM,0.0,0.0,0.0
ABL1,0.0,0.0,0.0
ABL2,1.0,1.0,1.0
ABLIM1,1.0,1.0,1.0
ABLIM2,0.0,0.0,0.0
ABLIM3,1.0,1.0,1.0
ABO,0.0,0.0,0.0
ABR,0.0,0.0,0.0
ABRACL,1.0,1.0,1.0
ABRAXAS1,0.0,0.0,0.0
ABRAXAS2,0.0,0.0,0.0
ABT1,1.0,1.0,1.0
ABTB1,1.0,1.0,1.0
ABTB2,1.0,1.0,1.0
AC000050.2,1.0,1.0,1.0
AC000068.1,1.0,1.0,1.0
AC000078.1,0.0,0.0,0.0
AC000082.1,1.0,1.0,1.0
AC000089.1,0.0,0.0,0.0
AC000123.1,1.0,0.0,1.0
AC000123.3,1.0,1.0,1.0
AC000403.1,1.0,1.0,1.0
AC002066.1,1.0,1.0,1.0
AC002070.1,0.0,0.0,0.0
AC002091.1,0.0,0.0,0.0
AC002091.2,1.0,1.0,1.0
AC002128.1,0.0,0.0,0.0
AC002310.1,1.0,1.0,0.0
AC002310.5,1.0,1.0,1.0
AC002350.2,0.0,0.0,0.0
AC002401.4,1.0,1.0,1.0
AC002451.1,1.0,1.0,1.0
AC002456.1,1.0,1.0,1.0
AC002467.1,1.0,0.0,1.0
AC002470.1,0.0,0.0,0.0
AC002480.1,1.0,1.0,1.0
AC002480.2,0.0,0.0,0.0
AC002525.1,1.0,1.0,1.0
AC002553.1,0.0,0.0,0.0
AC003072.1,1.0,1.0,1.0
AC003102.1,1.0,0.0,1.0
AC003681.1,0.0,0.0,0.0
AC003991.1,1.0,1.0,1.0
AC004067.1,0.0,0.0,0.0
AC004076.2,0.0,0.0,0.0
AC004112.1,1.0,1.0,1.0
AC004130.2,1.0,1.0,0.0
AC004148.1,0.0,0.0,0.0
AC004160.1,1.0,0.0,1.0
AC004233.2,0.0,0.0,0.0
AC004241.1,1.0,1.0,1.0
AC004241.5,1.0,1.0,1.0
AC004263.2,1.0,1.0,1.0
AC004453.1,0.0,0.0,0.0
AC004477.2,0.0,0.0,0.0
AC004492.1,1.0,0.0,1.0
AC004540.1,1.0,1.0,1.0
AC004540.2,1.0,1.0,1.0
AC004554.1,1.0,1.0,1.0
AC004585.1,1.0,1.0,1.0
AC004594.1,1.0,0.0,1.0
AC004687.1,1.0,0.0,1.0
AC004706.3,1.0,1.0,1.0
AC004801.6,1.0,0.0,1.0
AC004803.1,1.0,1.0,1.0
AC004812.2,1.0,0.0,1.0
AC004816.1,1.0,1.0,1.0
AC004825.2,1.0,1.0,1.0
AC004832.1,1.0,1.0,1.0
AC004846.1,1.0,1.0,1.0
AC004847.1,1.0,1.0,0.0
AC004854.2,1.0,0.0,1.0
AC004877.2,1.0,0.0,1.0
AC004890.2,1.0,0.0,1.0
AC004908.1,1.0,1.0,1.0
AC004908.3,1.0,1.0,1.0
AC004918.3,0.0,0.0,0.0
AC004921.1,1.0,1.0,1.0
AC004923.4,1.0,1.0,1.0
AC004938.2,1.0,1.0,0.0
AC004943.2,1.0,1.0,1.0
AC004947.1,1.0,1.0,1.0
AC004947.2,1.0,1.0,1.0
AC004951.2,1.0,0.0,1.0
AC004967.2,1.0,1.0,0.0
AC004980.1,1.0,1.0,1.0
AC004982.1,1.0,1.0,1.0
AC004982.2,1.0,1.0,0.0
AC004990.1,0.0,0.0,0.0
AC005041.1,1.0,0.0,1.0
AC005046.1,1.0,0.0,1.0
AC005052.2,1.0,1.0,1.0
AC005070.3,1.0,1.0,1.0
AC005076.1,1.0,1.0,1.0
AC005077.4,1.0,1.0,1.0
AC005082.1,0.0,0.0,0.0
AC005083.1,1.0,1.0,0.0
AC005100.1,1.0,1.0,1.0
AC005104.1,0.0,0.0,0.0
AC005154.2,1.0,1.0,1.0
AC005162.2,1.0,1.0,1.0
AC005165.1,1.0,1.0,1.0
AC005180.1,1.0,1.0,1.0
AC005180.2,1.0,1.0,1.0
AC005224.3,1.0,1.0,1.0
AC005225.4,1.0,1.0,1.0
AC005229.4,1.0,1.0,0.0
AC005253.1,0.0,0.0,0.0
AC005261.1,1.0,0.0,1.0
AC005264.1,1.0,1.0,1.0
AC005332.1,1.0,0.0,1.0
AC005332.2,1.0,0.0,1.0
AC005332.3,1.0,0.0,1.0
AC005332.4,1.0,1.0,1.0
AC005332.5,1.0,1.0,0.0
AC005332.6,1.0,1.0,1.0
AC005476.2,1.0,0.0,1.0
AC005479.1,1.0,1.0,1.0
AC005479.2,1.0,1.0,1.0
AC005498.3,1.0,1.0,1.0
AC005519.1,0.0,0.0,0.0
AC005520.2,0.0,0.0,0.0
AC005586.1,1.0,1.0,1.0
AC005618.1,1.0,1.0,1.0
AC005632.3,1.0,1.0,1.0
AC005670.3,1.0,1.0,1.0
AC005674.1,1.0,1.0,1.0
AC005682.1,1.0,1.0,1.0
AC005696.4,0.0,0.0,0.0
AC005740.4,1.0,1.0,1.0
AC005753.3,1.0,1.0,1.0
AC005776.2,0.0,0.0,0.0
AC005785.1,1.0,1.0,1.0
