,padjScreen,p_naive,p_aware
A1BG-AS1,9.995678783382565e-05,0.0033120814714888884,3.483831882130728e-05
A2M,1.4030215475250654e-15,1.6286939373450454e-16,3.2967729641529207e-15
A2M-AS1,1.0682068908363128e-10,1.1764130613368573e-07,1.9418323574720747e-11
A2MP1,1.2020390251206456e-11,1.9999133382660844e-12,2.58476841709232e-11
A4GALT,0.7587179406252929,,
AAAS,1.0263894147813515e-08,2.2783855485920532e-09,0.9993308682800758
AACS,7.322214955532112e-08,1.7768744791444104e-08,0.006950136573646759
AACSP1,0.010492645204807059,0.025750647363009103,0.004779251262365987
AADAC,2.326368706155001e-11,3.968094733317939e-12,3.2903074437010744e-11
AADACP1,0.034906871783813444,0.03415000683273548,0.021727828183763995
AADAT,0.07355825712691509,,
AAGAB,9.13203628880578e-13,1.364756044527976e-13,1.825984405873968e-09
AAK1,6.738515244141964e-05,1.0,2.3002467699389926e-05
AAMDC,3.8424265235108853e-20,1.7702942878837338e-05,3.009057301742962e-21
AAMP,1.9435681643714567e-12,3.0012044436787124e-13,0.08319771891132262
AAR2,8.200478517589048e-14,0.5719534655772739,1.1147270748313145e-14
AARD,5.259991494690926e-25,5.309016439590987e-15,2.854499608978954e-26
AARS1,2.3420719114222703e-16,2.5427253138732715e-17,9.08829200378989e-08
AARS2,1.557877088513053e-10,2.8774655716633365e-11,0.3815610645616684
AARSD1,0.006609113411558719,0.0029298787741163794,0.6596922150008142
AASDH,0.07998981436451381,,
AASDHPPT,1.7749955488426163e-14,2.278293242985117e-15,0.022688209810286204
AASS,5.3925113146954215e-06,0.09643587526390997,1.6099473858579055e-06
AATBC,0.43489849305683803,,
AATF,3.849462077350143e-16,4.241439484456063e-17,0.007468714477806975
AATK,1.8913265830228855e-34,4.201159702648543e-25,5.0761250240176845e-36
ABAT,0.04589180821504598,0.622165946696721,0.022836135555318764
ABCA1,0.004813362829849349,0.004187470160684668,0.0023610367897180405
ABCA10,1.8787283447199805e-28,6.356260095585602e-20,7.919465593268556e-30
ABCA11P,0.0006670757193191517,0.1327568268860915,0.00025831777823784
ABCA12,2.775695301925103e-56,1.9658875771586834e-58,1.2910718826096943e-52
ABCA13,0.03072481443781351,1.0,0.014911919134455711
