,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,38.451978328272276,-0.6128806659137706,0.14901878132178126,-4.186906345090498,2.8278244061914368e-05,6.407925719892148e-05
A2M,92416.71230815841,0.38143732358320026,0.197214071545174,-7.905155714697309,2.6759887862332532e-15,1.715089128345359e-14
A2M-AS1,53.177751559975746,-0.988818180743571,0.14894280917857922,-6.740706398087061,1.576184247396395e-11,7.172036169314024e-11
A2MP1,9.511783410616447,-1.4115803206427495,0.21787381540734896,-6.699031402610606,2.0980550903438218e-11,9.436251404290767e-11
A4GALT,830.572858492685,-0.07330499457459992,0.1744416641064559,-0.32632468139641074,0.7441787163470472,0.782287104811384
AAAS,1181.087469895874,0.015661935380964186,0.06389117229175909,0.2389345794895299,0.8111563114390368,0.8410632610980332
AACS,1305.547240934005,0.2665088611881612,0.09978251548656122,2.767926250668353,0.005641422001483522,0.009300748111857186
AACSP1,8.001383286463813,-1.0257950810876586,0.40187943092714273,-2.887812081043334,0.003879315598539735,0.006557598579869253
AADAC,289.7336129136364,-2.2094947336022273,0.34829856645723795,-6.663669293848137,2.6707407268690112e-11,1.1893282868585784e-10
AADACP1,32.345581773554315,-0.7281099221508778,0.3488957957784741,-2.373163268504643,0.017636466084007325,0.026859006408560423
AADAT,225.29138936740299,-0.30226300181401466,0.14430102701520756,-2.1618131521171415,0.03063258130882828,0.04468143342067413
AAGAB,1715.8983738892773,0.4551734169895569,0.07593387795761912,6.046294516319814,1.4821505293468174e-09,5.519445069849275e-09
AAK1,1839.5853440715014,-0.40403392808736077,0.0950818084495451,-4.280217321251872,1.8671090271779135e-05,4.339518519566107e-05
AAMDC,192.06359274586,-0.90372817383871,0.09541380923104008,-9.48420185802732,2.4424501426553058e-21,2.6208758835960343e-20
AAMP,3929.654951680797,0.10225118138049183,0.05852172277863982,1.8281200111311664,0.06753154228929142,0.09215817793659412
AAR2,1967.831375212892,-0.4851255500201439,0.06345700515336658,-7.751963593959742,9.048233482846615e-15,5.553279788450894e-14
AARD,182.39858776458863,-2.909486221381821,0.2782457279214311,-10.62350303923495,2.316995749174243e-26,3.5755662028113026e-25
AARS1,5625.449481772891,0.42761847380267043,0.08066798377230476,5.381739142450587,7.376961578063644e-08,2.2903577280883365e-07
AARS2,686.3965473800519,0.07735061303437936,0.07611442837123043,1.0158246311935766,0.3097129044470305,0.36381771785940487
AARSD1,30.500030008444952,0.11666188627233852,0.19578022064647738,0.6196749591384408,0.5354718049749423,0.5879190461576383
AASDH,465.730058188957,-0.14886879854266558,0.07044432193624899,-2.1261131403416544,0.0334938400592725,0.0485132878223461
AASDHPPT,1334.1757537788176,0.16551727310949596,0.07173820079250906,2.3571459473213356,0.018416007317517233,0.02792822155906751
AASS,1049.3706726504088,-0.7745701176242465,0.04874894942829496,-4.838717950098526,1.306793400038772e-06,3.4942978860260042e-06
AATBC,117.21355235889808,-0.04611550622617886,0.19806840259513467,-0.24669164686887643,0.8051468716457333,0.8359195007714604
AATF,2257.694812615669,0.22106158981224255,0.08181671636400256,2.7443897507503263,0.006062351398627386,0.009945104916841583
AATK,1112.793965294851,-2.3370580921756083,0.18879505176550823,-12.547159085194922,4.120287866192065e-36,1.2436119997958698e-34
ABAT,632.5358011004146,-0.4421453232664808,0.19703098567720026,-2.3547318046108345,0.01853607856270352,0.028099567150707955
ABCA1,3447.728611953146,-0.4546235666846743,0.15970903955850863,-3.1028832539728173,0.0019164522525114262,0.0033828777076109653
ABCA10,92.35361988985203,-2.4887874780474655,0.22087111806846993,-11.362494783363303,6.428225829009111e-30,1.2509491480790057e-28
ABCA11P,29.55803601099508,-0.477806262351459,0.12947967022637305,-3.7070634821627326,0.00020967639730288818,0.00042379807955522094
ABCA12,309.13714393930474,5.152333750370516,0.3400520469535908,15.279465801864713,1.0479623309372486e-52,8.805547890883746e-51
ABCA13,397.60909144190043,-0.8058565301350026,0.3711666104431349,-2.5090978070654373,0.012103996489571313,0.01897388442163681
ABCA17P,33.900142023670966,0.6569969942183039,0.2782258116023151,2.5606277756586646,0.010448323392772192,0.016535534946422393
ABCA2,1735.0645650745007,0.0026644998778471048,0.12776522826026707,0.2243754463194721,0.8224651746451987,0.8510250186089899
ABCA3,24462.679165514553,-2.0898407065789,0.2506727799155929,-8.745342249832229,2.223406632059454e-18,1.873784679716913e-17
ABCA4,457.65777207004464,3.0838257114129637,0.3606881484091646,8.791186810547035,1.4798825904645236e-18,1.2616539883452925e-17
ABCA5,568.7240776775282,-1.2879918530912327,0.1510239541008564,-8.693409649050828,3.517213843758795e-18,2.909735107289816e-17
ABCA6,431.32762494754763,-1.8706195188047143,0.16637386126613005,-11.372410463259452,5.738072068488122e-30,1.1221495968256357e-28
ABCA7,1036.7850751508536,0.041253106156157106,0.12765812240141616,0.2590829790434598,0.7955712172945486,0.8277112927046643
ABCA8,1442.3938965150192,-3.190780551361149,0.23084398500204392,-14.076625042441075,5.287531016174186e-45,2.8726504123488794e-43
ABCA9,237.09937350848708,-2.4816540302612005,0.19837404202378917,-12.632935672003372,1.3899420277709935e-36,4.306648501671688e-35
ABCB1,305.85887732301865,-1.978957235475005,0.2398719579311155,-8.458457773415082,2.7093669522688245e-17,2.0600746420050148e-16
ABCB10,990.7604456144759,-0.4391871177572078,0.08534125528314988,-5.177343695029408,2.2506736528315675e-07,6.595368484653463e-07
ABCB4,55.89917964847586,1.589123343524045,0.24013862138987815,6.8189148679845335,9.173073648732917e-12,4.25004790781247e-11
