,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,38.451978328272276,-0.4334341459789984,0.14803462720685445,-3.0012865231297523,0.002688414693145998,0.0046168929908275
A2M,92416.71230815841,0.331096235353298,0.19743308673588258,-8.271574845112493,1.3220099654818886e-16,9.172658367916674e-16
A2M-AS1,53.177751559975746,-0.7723116817369515,0.14798792839396518,-5.335104812455118,9.548938293130638e-08,2.909132683250585e-07
A2MP1,9.511783410616447,-1.4796515360494937,0.21554535166304595,-7.063523395509519,1.6233285472884968e-12,7.855198900129549e-12
A4GALT,830.572858492685,0.05713914550031773,0.17434447321600163,0.48651783027875134,0.6266000666674296,0.6731758219750313
AAAS,1181.087469895874,0.38211945571650907,0.06390375453394866,6.010513656821237,1.849364285937352e-09,6.693355318513906e-09
AACS,1305.547240934005,0.5593027966149996,0.09987939139709248,5.668291067470987,1.4422880290624523e-08,4.769941897316282e-08
AACSP1,8.001383286463813,-0.7897351900331201,0.3968362967505334,-2.309753840145343,0.020901786180282125,0.031215726762689754
AADAC,289.7336129136364,-2.3106261697187342,0.34807393146593774,-6.967732439983877,3.220900293872191e-12,1.5210872309475006e-11
AADACP1,32.345581773554315,-0.6728619041011503,0.34734096555682004,-2.201232881890528,0.02771954160260768,0.040453231526325455
AADAT,225.29138936740299,-0.10829310734844802,0.14397647747952594,-0.7858304458449095,0.43196682727138913,0.4869203151882473
AAGAB,1715.8983738892773,0.5653633474799784,0.07600508936364458,7.427371188631819,1.1077717242926023e-13,5.949922343640927e-13
AAK1,1839.5853440715014,0.002646123729862314,0.09485022177368056,0.022133352748472515,0.9823415813415921,0.9850737576740213
AAMDC,192.06359274586,-0.4060651915354211,0.09503798727743401,-4.3381383582060735,1.4369468914662925e-05,3.3906064799829345e-05
AAMP,3929.654951680797,0.4329870418748146,0.0586462075006222,7.32238194711078,2.4360759821206535e-13,1.266580669256753e-12
AAR2,1967.831375212892,0.05190709156080886,0.0633771090596761,0.7318595283097865,0.46425431073786183,0.5187447445727053
AARD,182.39858776458863,-2.1154548989113398,0.2781197238920867,-7.845587115988701,4.309325699024535e-15,2.6237006021386713e-14
AARS1,5625.449481772891,0.6725519447264181,0.08093087909066904,8.490137436437035,2.0639287267828634e-17,1.5334472331249225e-16
AARS2,686.3965473800519,0.505616701117857,0.07613209040628738,6.683335683725634,2.3356372083455906e-11,1.0181509307868337e-10
AARSD1,30.500030008444952,0.5732151194578803,0.19714757134960484,3.0384252489239874,0.002378180975702332,0.0041187186679630785
AASDH,465.730058188957,0.050056052041681696,0.07033587201977239,0.7153434583132776,0.474396841186702,0.5283509890891491
AASDHPPT,1334.1757537788176,0.5670888656465286,0.07174437553130575,7.951055589355406,1.8492893615274053e-15,1.1641716837805856e-14
AASS,1170.740291061306,-0.2922604135075637,0.18151487934561797,-1.7607723207678045,0.07827694645728163,0.10469660382084815
AATBC,117.21355235889808,0.23974115619810707,0.1985030494111848,1.267486803889013,0.20498127914048092,0.2513777838809979
AATF,2257.694812615669,0.6795199325425838,0.08189299331435301,8.43047075914877,3.442774076742551e-17,2.513630704779263e-16
AATK,1112.793965294851,-1.939600619786325,0.1878788187238216,-10.369583471540022,3.410079000193189e-25,4.6732457894838245e-24
ABAT,632.5358011004146,-0.13448204215339515,0.1960301765826914,-0.6666249097245999,0.5050117538088967,0.558464369731788
ABCA1,3447.728611953146,-0.4257977564427611,0.15966599466610787,-2.9291441793377873,0.0033989672065749084,0.005751964474004134
ABCA10,92.35361988985203,-1.9798384007445864,0.22069424634931317,-9.160633103656822,5.159372793673517e-20,4.751990826685826e-19
ABCA11P,29.55803601099508,-0.2027384963672934,0.12842448035753495,-1.6083495568210395,0.10775864274122687,0.14029636173321047
ABCA12,309.13714393930474,5.431404006562661,0.3399773524842155,16.129004830165776,1.5957098558722225e-58,1.7877359571721e-56
ABCA13,397.60909144190043,-0.03507995184437519,0.3550882264688045,-0.12485001044712081,0.9006422944878295,0.9171067423073667
ABCA17P,33.900142023670966,1.2287423231374441,0.2815424484545886,4.631582139633514,3.6288197583381273e-06,9.225576385621161e-06
ABCA2,1735.0645650745007,0.11488439592140805,0.12796096765978507,1.1873404138227759,0.23509337314279155,0.28411175146346296
ABCA3,24462.679165514553,-1.652444865687024,0.2541597455563305,-7.4674581485065525,8.175871712407634e-14,4.436987850493798e-13
ABCA4,457.65777207004464,3.5584868980071147,0.3597778422250925,10.111726412755544,4.901286265634926e-24,6.20641804901281e-23
ABCA5,568.7240776775282,-0.7131471802824071,0.15047604369531978,-4.882769562047664,1.0460609242168995e-06,2.8384493879612912e-06
ABCA6,431.32762494754763,-1.3674783590289543,0.16626531201496908,-8.382057748807666,5.201030413498329e-17,3.7341214011467005e-16
ABCA7,1036.7850751508536,0.11936747524942731,0.12773644319330474,0.958020313403706,0.3380525155250411,0.39321805389849634
ABCA8,1442.3938965150192,-2.7432471133127656,0.23048782074217072,-12.124926623150644,7.792996940776928e-34,1.9914320790670937e-32
ABCA9,237.09937350848708,-1.9768946149668247,0.19821811859897323,-10.134046638810316,3.901607719502253e-24,4.9659102103805946e-23
ABCB1,305.85887732301865,-1.611493308053688,0.23983142047124853,-6.945655554722633,3.767068783301508e-12,1.7693267165530293e-11
ABCB10,990.7604456144759,0.2398363254211393,0.08522994722299229,2.8324551041197723,0.004619205237065216,0.007662609992555063
ABCB4,55.89917964847586,2.261706609908583,0.23986838336525484,9.636524454818279,5.6053718015044785e-22,6.1040374971902146e-21
ABCB5,8.252094007274343,-0.28966713357206775,0.3434310055438277,-3.0174317475779597,0.002549264409380352,0.004394672106234233
ABCB7,895.5999472872271,0.2678283349574218,0.06330038168379136,4.230250711709847,2.334310020803586e-05,5.3482804982709546e-05
ABCB8,1360.612937592745,0.35945421322962867,0.08663763830406812,4.181877268857493,2.891120298111634e-05,6.565611029724428e-05
ABCB9,224.96434947438533,1.060171679520716,0.1295747761213044,8.297606693769602,1.0622968353304531e-16,7.422602623186359e-16
ABCC1,3639.966969933744,0.38460612532944083,0.12791888357347198,3.2675243733518773,0.0010849252414805348,0.0019784869908551594
ABCC10,1013.5144562676126,0.5216429020096095,0.0834094255996362,6.3737338697267765,1.8448060524690985e-10,7.359184071708352e-10
ABCC13,36.20466463952814,-1.9116013602926196,0.32668585245469817,-6.154308693541653,7.540568410877776e-10,2.8389874992919367e-09
ABCC2,457.72927291727996,4.661478458932216,0.43300642351906987,10.966820089739892,5.517898258728666e-28,9.19495146811676e-27
ABCC3,5030.738539003941,2.241218153926706,0.1966385722515515,11.61097115464773,3.624751338872312e-31,7.704053488728612e-30
ABCC4,1749.6016849887749,0.0030631943361143976,0.17266467360161533,0.15644262751968457,0.8756841388944496,0.8962948526002341
ABCC5,1350.2537494977523,0.33533322490824885,0.14282417907206194,2.4234834459651267,0.015372453863405742,0.023504954901020576
ABCC6,854.5699473439606,-1.1183694143318026,0.15741106528039,-7.317531714027944,2.5257345851331053e-13,1.3111339482510334e-12
ABCC6P1,71.06976671585245,-0.16933076831973384,0.20568651906205335,-0.8617063158645744,0.3888491491677729,0.4447290746125531
ABCC6P2,36.73051650698448,-0.2217157073421033,0.1682952135662977,-1.3682695262005768,0.17122772584769486,0.2136306658839681
ABCC8,41.62301651051853,-0.7153024319863469,0.3675907217516798,-2.2349608647122055,0.025419918124223277,0.03736671433679374
ABCC9,988.3352205647228,-0.6462566730931083,0.16270160266081418,-4.2289045125129325,2.3483198225760742e-05,5.378514908949359e-05
ABCD1,859.0448299037532,0.37038993247694524,0.09558826751803269,3.9422068304285047,8.07353063436815e-05,0.00017328510929702395
ABCD2,73.81267491809571,-0.1788119484600983,0.22925161763187105,-0.8343308258279029,0.4040945857459163,0.45976221443235527
ABCD3,2803.5812283287173,-0.11924849828115063,0.09024608955634182,-1.2935041472714437,0.19583675061655537,0.24147760009490693
ABCD4,1224.8372276558841,-0.16092230638836993,0.06911735347527298,-2.343377253313455,0.019110049214384518,0.028725915397304805
ABCE1,2133.320985364006,0.739643059154394,0.09152695971793133,8.144854648082482,3.797377873186025e-16,2.5209910688074618e-15
ABCF1,3700.4382080493283,0.5679603613361358,0.07487901997010915,8.08229012501721,6.356166709219591e-16,4.1339057344645616e-15
ABCF2,594.5439884027187,0.7199181128597355,0.08568406599624,8.460019268149528,2.6733334996463687e-17,1.9729141532559543e-16
ABCF3,1954.369944874179,0.34688651474770743,0.05555262377682418,6.337990814725788,2.327807025312131e-10,9.193470088018235e-10
ABCG1,2791.3342212900857,-1.1920703078554167,0.14240991144747214,-8.767891204091393,1.8204360751547697e-18,1.474040317285385e-17
ABCG2,514.5131606322262,-1.6236968777891294,0.21086456580913007,-7.965005876475625,1.6521592598961196e-15,1.0450500198960145e-14
ABHD1,17.97614997023318,0.5283906962258055,0.21207639173627751,2.6251176118277577,0.008661904159496229,0.013791938604314572
ABHD10,951.6417455622952,0.18131516423439026,0.09705110572031467,1.9145766026130684,0.05554652136270387,0.076540026309667
ABHD11,1226.4462178279675,1.3673265793304714,0.14901090576320222,9.266320203206938,1.92678719924924e-20,1.8387002002460264e-19
ABHD11-AS1,141.04587380234335,0.23300347173635344,0.23927805901894544,1.0421832410000091,0.29732673144885147,0.35082178723188806
ABHD12,2756.4383624920833,0.44269739972995986,0.10042539681986667,4.281914623974949,1.8529207848174498e-05,4.302004351121652e-05
ABHD12B,34.82007985519384,-1.3101441552048214,0.2652471222496048,-5.185761061961894,2.1513448940814936e-07,6.297974177378442e-07
ABHD13,1074.9238468250958,-0.43131037349998647,0.08063609333333124,-5.381767203537852,7.375811437312099e-08,2.2720360270642885e-07
ABHD14A,191.30234170474117,-0.13662023665221892,0.1390050028730659,-1.0082111624534722,0.31335310026171814,0.36765824378379214
ABHD14B,2263.871896513854,-0.21845228668663474,0.10467949805097446,-2.120709766316212,0.033946234145815386,0.04868753241078541
ABHD15,694.8300866051741,0.171547383307226,0.08714307582552466,2.062512903031881,0.039158930394333914,0.055489609098159316
