,padjScreen,p_naive,p_aware
A2M,3.7270901884711466e-60,1.503233584690593e-50,2.191634951678966e-60
A2M-AS1,1.7805759947259745e-06,0.03439229713179609,1.0470292874138208e-06
A2ML1,2.4088055429552794e-80,1.4164461155431169e-80,2.021983056018196e-68
A2MP1,6.669948526472945e-11,1.4027491008458465e-07,3.922119288053523e-11
A4GALT,2.2476872215902645e-14,1.3217039637294369e-14,1.0426755456305166e-08
A4GNT,3.015411190681126e-15,5.79708713408439e-09,1.773147475642795e-15
AAAS,1.6965410589597376e-32,9.9761435697906e-33,5.441334476844317e-11
AACS,1.023889296042206e-20,6.020760041700403e-21,1.3701428283604328e-13
AACSP1,0.0006430186759286056,0.02010385888932966,0.0003781132555114106
AADAC,0.14914666588714368,,
AADACL2,1.7740044306531096e-14,1.0431650209804947e-14,1.196703215713101e-08
AADACP1,8.091013742511337e-09,4.757746020596453e-09,0.0011441108899231838
AADAT,0.5529153473970045,,
AAGAB,2.0017111340735704e-27,1.1770630338301888e-27,1.3697522044755236e-19
AAK1,1.22532546964547e-06,7.205261989002297e-07,0.4876936517502348
AAMDC,5.165196632909261e-13,2.3652723178485054e-06,3.0372824108187214e-13
AAMP,8.528340184616673e-17,5.014906397014557e-17,5.088094309800988e-12
AANAT,0.07188628051433509,,
AAR2,5.755066431965834e-06,0.21259578107997462,3.384142616281721e-06
AARD,1.2466194871579892e-15,3.0856700093272927e-12,7.330476863561703e-16
AARS1,4.961191122588879e-15,2.9173213730804166e-15,1.8153441318580862e-13
AARS2,2.1419041878357908e-16,1.2595005336144173e-16,7.106328186423695e-10
AARSD1,0.0014072312942909155,0.0008274919934066616,0.11148895990089269
AASDH,0.0066829336387064595,0.003929754903073109,0.03561743592251708
AASDHPPT,2.2755912630429364e-11,1.338112333113667e-11,8.90752426538031e-08
AASS,0.0005580920306273434,0.004422657437445696,0.00032817397452839837
AATBC,2.822135937281024e-07,1.29663480231187e-06,1.6594961339187492e-07
AATF,2.219555896917994e-25,1.3051619453528795e-25,1.678255050641435e-11
AATK,2.774966762308497e-34,3.7290976938949096e-29,1.6317593185254904e-34
ABAT,0.029706530450277893,0.10424920884000691,0.017468284140087033
ABCA1,0.3286735032553987,,
ABCA10,1.2293870948492224e-10,8.322530174726446e-07,7.229145499481058e-11
ABCA12,2.475675816309905e-99,1.455767736674169e-99,1.4724874912827603e-97
ABCA13,1.7220566836429704e-11,1.0126182694260068e-11,2.5216440947049347e-11
ABCA17P,9.041899943668327e-07,5.316894130285677e-07,7.690818763843409e-06
ABCA2,0.3363553040786448,,
ABCA3,1.0750186527401883e-29,6.32141518962996e-30,1.2458184319955387e-28
ABCA4,5.710311116661357e-16,3.357825218973195e-16,7.64240624149609e-16
ABCA5,0.00047801328579450417,0.00028108539679418923,0.41560247197624206
