,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A2M,171291.38742946574,0.13454696019010384,0.2527700656251565,-16.401571452418803,1.8635450942355733e-60,7.970868719607608e-59,2.2084236787572627e-60,1.0
A2M-AS1,99.96448192013509,-0.7184074758597578,0.14792861422815287,-4.914457136706983,8.902879973629872e-07,1.9166259878202014e-06,1.0550499155462147e-06,1.0
A2ML1,3450.580169455469,7.12674650244852,0.4160375448701251,17.48961025959721,1.7192902503145117e-68,1.0386646537757705e-66,2.03747218738947e-68,1.0
A2MP1,19.992222061797843,-1.642477360570727,0.2528437808853648,-6.630965835461516,3.334974263236473e-11,1.0293460559267823e-10,3.9521641594611494e-11,1.0
A4GALT,3003.3249871470207,1.08065476784527,0.19107655256804398,5.751111528226202,8.865860149066345e-09,2.2619695290920962e-08,1.0506628225049772e-08,1.0
A4GNT,9.239379852628982,-2.2062692250041738,0.27214579791595306,-7.976311978644227,1.507705595340563e-15,6.334276832404148e-15,1.7867304352571837e-15,1.0
AAAS,2365.452713644514,0.3946347763580068,0.05983282398968699,6.582476437297439,4.626761478981681e-11,1.4133010290013612e-10,5.483017093469628e-11,1.0
AACS,2935.8591355482185,0.9128509736383392,0.12412054882629636,7.420699798659768,1.1650311308628704e-13,4.3268477247415514e-13,1.380638624654431e-13,1.0
AACSP1,16.928875320658317,1.3155132570984784,0.3996493546304968,3.5973228369309767,0.0003215093379643028,0.0005427785896300974,0.0003810097416468431,1.0
AADAC,740.8184393896108,-0.5910672395847252,0.37540228567682987,-1.783079684518619,0.07457333294357184,0.09401465195848778,,0.0
AADACL2,81.72201278350482,2.748854902125018,0.5096875386821969,5.727776405549652,1.0175555948264302e-08,2.586547567745992e-08,1.2058704009995631e-08,1.0
AADACP1,125.6610215959126,1.0045384937700903,0.3264803187646053,3.29826683252122,0.0009728363907248723,0.0015590435449384075,0.0011528751987162666,1.0
AADAT,334.47135570024307,0.03769265363521919,0.16208665831192973,0.22278901432485307,0.8236997184425257,0.8458776251243332,,0.0
AAGAB,3306.295879225959,0.7117379781985637,0.07956663369441914,9.07235688915389,1.164698983748746e-19,6.546438804072324e-19,1.3802450084473792e-19,1.0
AAK1,3767.728511584388,0.054900957448907786,0.0960782087507407,0.8156760445377244,0.4146854436286205,0.4581995960472969,0.49142956388778314,0.0
AAMDC,293.4799330561437,-0.8074660006979969,0.11154140070705879,-7.314542463616082,2.5825983164546307e-13,9.354431057390264e-13,3.0605491074078965e-13,1.0
AAMP,6891.756973240344,0.4862470308937917,0.07143513944897802,6.9260870935309535,4.326401704249919e-12,1.4231901313682215e-11,5.127070977265815e-12,1.0
AANAT,15.46092591954203,0.29489440948472184,0.25669865833794875,1.2081584042139546,0.22698633811145175,0.2642082029926771,,0.0
AAR2,3434.8318389749256,-0.3503059399855926,0.07406644024433706,-4.679373150672456,2.877533215982917e-06,5.894296166831484e-06,3.4100663891870864e-06,1.0
AARD,230.44832179327761,-2.3731402004295394,0.3015260576548405,-8.084673460520996,6.233097435789946e-16,2.7016617401055507e-15,7.386631003338414e-16,1.0
AARS1,9971.306762710197,0.6246709688772355,0.08526942776526902,7.383347424719357,1.5435853715883866e-13,5.681780888570728e-13,1.8292503333263575e-13,1.0
AARS2,1269.8507791911948,0.5028019989022922,0.0824540120125403,6.1893180882808565,6.042504030925723e-10,1.6961432800392318e-09,7.160765265171356e-10,1.0
AARSD1,49.212786292061814,0.27576268081903416,0.1682513112417864,1.6706088893391586,0.09479895551290186,0.11741168055406392,0.11234300620024804,0.0
AASDH,809.3043183989507,0.19848752185187135,0.09344221211424389,2.1663366431363853,0.03028547155255409,0.04036355963038872,0.03589027853733018,1.0
AASDHPPT,2033.820984940703,0.4518732937620043,0.08447806306884464,5.3769918673792105,7.574059326721916e-08,1.7862003709250303e-07,8.975759166325018e-08,1.0
AASS,1938.407707483982,-0.6237324023317791,0.171217034513022,-3.6340137182252112,0.0002790460153136717,0.00047379717832466995,0.00033068790746615173,1.0
AATBC,260.8040847351694,0.9210252287722215,0.17932787745733464,5.263801503244299,1.411067968640512e-07,3.2522149937213025e-07,1.6722084825963915e-07,1.0
AATF,4054.977178639094,0.49318739786308874,0.07450638351767766,6.755135462014527,1.4270186575109163e-11,4.534736002645075e-11,1.6911110994972937e-11,1.0
AATK,1572.9363416818628,-2.4969390796319315,0.20633145962501048,-12.26550280190559,1.3874833811542486e-34,1.8687560950566538e-33,1.6442591930302317e-34,1.0
ABAT,888.2444537007879,-0.4038997704955729,0.16255802191635454,-2.4359371454853225,0.014853265225138947,0.02065407419957367,0.017602097599636667,1.0
ABCA1,5426.068083667255,-0.12919492608410296,0.14431383170152887,-1.390632975232438,0.16433675162769934,0.19602696906343642,,0.0
ABCA10,185.9129361913638,-1.504353808286273,0.23739958434019084,-6.540120332584702,6.146935474246112e-11,1.8608307041915854e-10,7.284523403865685e-11,1.0
ABCA12,951.7847856524487,6.240070239081019,0.29891205321298575,20.969256442712545,1.2520546994384614e-97,2.0520060831489953e-95,1.4837672852093965e-97,1.0
