,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
A2M,171291.38742946574,-2.9490834800891883,0.19905104744226754,-14.963154986015848,1.278198073129952e-50,3.2752341647863927e-49,1.514748904962779e-50,1.0
A2M-AS1,99.96448192013509,-0.31616191448795156,0.14736016857039347,-2.1801851865765913,0.029243737215612273,0.038673131112089955,0.03465575473439504,1.0
A2ML1,3450.580169455469,7.632681818648353,0.40411567559432154,19.01824846765638,1.2044027714776397e-80,9.820925653334665e-79,1.4272966119895025e-80,1.0
A2MP1,19.992222061797843,-1.2860109026531068,0.251193503720618,-5.294602425654813,1.1927562130372314e-07,2.595463861496686e-07,1.4134946731389813e-07,1.0
A4GALT,3003.3249871470207,1.4542154030570709,0.19133119166506152,7.724396671508023,1.1238436107951322e-14,4.1422808482502394e-14,1.3318287005649932e-14,1.0
A4GNT,9.239379852628982,-1.5263729933715404,0.2697472250895947,-5.8495428927697395,4.92925762171436e-09,1.1962175841113884e-08,5.84149494646605e-09,1.0
AAAS,2365.452713644514,0.7128059824924022,0.05989834907073776,11.927758346848305,8.482705294798688e-33,9.076549498694419e-32,1.0052564486311761e-32,1.0
AACS,2935.8591355482185,1.157499134208243,0.12414303185499738,9.406702755431615,5.11944648021103e-21,2.833239638479879e-20,6.06688127054218e-21,1.0
AACSP1,16.928875320658317,0.8504744756678662,0.3941868951765864,2.384673356182296,0.017094291902816104,0.023313983180960285,0.020257861817534004,1.0
AADAC,740.8184393896108,0.13036442183092983,0.3710214992302683,0.38568741411136814,0.6997281850945336,0.7320434866019835,,0.0
AADACL2,81.72201278350482,3.797997141967155,0.508101245122965,7.754488557534218,8.870022153265548e-15,3.2905754527791266e-14,1.0511560474155543e-14,1.0
AADACP1,125.6610215959126,1.8547543253827765,0.328881448910718,5.8823218478853025,4.045506871255668e-09,9.89001258896693e-09,4.794192099076108e-09,1.0
AADAT,334.47135570024307,-0.172584134064398,0.16217443599157805,-1.088311367956726,0.27645767369850227,0.31527412144204675,,0.0
AAGAB,3306.295879225959,0.8633763337993496,0.07944374324249877,10.912834985084537,1.0008555670367852e-27,8.105265264755336e-27,1.1860797681242775e-27,1.0
AAK1,3767.728511584388,0.47556089797456846,0.09596920975169423,4.987182226900285,6.12662734822735e-07,1.2615258427068954e-06,7.260456936942105e-07,1.0
AAMDC,293.4799330561437,-0.5252913246323594,0.11135780041140204,-4.752296774990913,2.0111887799019943e-06,3.956174435379407e-06,2.3833911707988053e-06,1.0
AAMP,6891.756973240344,0.5969461757532997,0.07126923335995919,8.40539690190924,4.2641700923083367e-17,1.8516476269144778e-16,5.053322418240256e-17,1.0
AANAT,15.46092591954203,0.5138674941678331,0.25717829939175246,2.0975700822469188,0.03594314025716754,0.04698466403513341,,0.0
AAR2,3434.8318389749256,0.098426272799194,0.07379962379925736,1.338388000579547,0.18076998844322134,0.21247501375421735,0.2142243426904813,0.0
AARD,230.44832179327761,-2.0430909949311413,0.3014910855500271,-6.996532878277018,2.623742244987715e-12,8.175979928705129e-12,3.1093073726576207e-12,1.0
AARS1,9971.306762710197,0.6672664220110889,0.085024586619,7.914594846007882,2.4805955612944396e-15,9.549139145606246e-15,2.939669124148544e-15,1.0
AARS2,1269.8507791911948,0.6800817947278842,0.08234747685949238,8.29664231214833,1.0709520939178954e-16,4.510806618479115e-16,1.2691487693744935e-16,1.0
AARSD1,49.212786292061814,0.5590434536343989,0.16828796246857672,3.3881663950636294,0.0007036156471454578,0.0011171768259554495,0.0008338308853951004,1.0
AASDH,809.3043183989507,0.2716492174047238,0.09335455308113563,2.934443221179409,0.0033414668193532298,0.004945131896357087,0.003959858266090637,1.0
AASDHPPT,2033.820984940703,0.5700897727263798,0.08441012170231658,6.787897339707703,1.1377956315214682e-11,3.375861460579828e-11,1.3483627640732291e-11,1.0
AASS,1938.407707483982,-0.4852700888332616,0.1711273886906463,-2.897576395897065,0.0037605813708722386,0.005531760724433321,0.004456536614550985,1.0
AATBC,260.8040847351694,0.854718139361291,0.17911158396141846,4.872396294750476,1.102527326921982e-06,2.221021643244441e-06,1.3065675001818135e-06,1.0
AATF,4054.977178639094,0.776198930469002,0.07436493422787478,10.476320530676823,1.109777948458997e-25,8.135586528273595e-25,1.3151599642641594e-25,1.0
AATK,1572.9363416818628,-2.2843202495565413,0.2062719401804271,-11.222253775099212,3.1708481871304813e-29,2.7948375953978094e-28,3.7576639491388067e-29,1.0
ABAT,888.2444537007879,-0.27118194344535484,0.16243529423830524,-1.7025997220309124,0.0886430021399805,0.10974626884241565,0.10504779599248978,0.0
ABCA1,5426.068083667255,-0.046755337606169727,0.14269659101927168,-0.30791163408478883,0.7581495728945451,0.7859249674425981,,0.0
ABCA10,185.9129361913638,-1.1358747188534288,0.23667249927980083,-4.95924850924988,7.076639413355568e-07,1.4499271222833857e-06,8.386283806505923e-07,1.0
ABCA12,951.7847856524487,6.296198302524719,0.29883622955371275,21.18778546586433,1.2378379081549524e-99,1.862720990335357e-97,1.466919451151842e-99,1.0
ABCA13,1985.4886244783647,2.226811155414428,0.33785981447491464,6.828006253499925,8.610283418214852e-12,2.5787230219234747e-11,1.0203752965471825e-11,1.0
ABCA17P,44.05239404943641,1.188961080347749,0.243333646781345,5.04560226698848,4.5209499718341634e-07,9.403780457875207e-07,5.357623488242477e-07,1.0
ABCA2,3174.7755171291,0.14151347856934055,0.13300488220755477,1.077060507199882,0.28145323497438735,0.320397180285471,,0.0
ABCA3,37301.10710875079,-3.2564641341934246,0.29100332450324246,-11.378111749093172,5.375093263700941e-30,4.956764278219592e-29,6.369839547110659e-30,1.0
ABCA4,684.0144339675827,2.9186124701497462,0.3674127392528029,8.179292381330429,2.8551555583306785e-16,1.1698363850754385e-15,3.3835473909684794e-16,1.0
ABCA5,1263.2373518228271,0.46534293923601544,0.128052362798303,3.6737606360121147,0.00023900664289725209,0.0003959840816613166,0.0002832386139660806,1.0
ABCA6,745.867866707456,-2.194395934412919,0.17924830517969592,-12.372983057595128,3.659725079253488e-35,4.497359260347661e-34,4.3370152660998703e-35,1.0
ABCA7,1566.958208818427,-0.2592525072320657,0.14013950760922098,-1.876297432054243,0.060614449472510386,0.076873351372852,,0.0
ABCA8,2278.8499099113055,-3.7534352257427313,0.26063377249941855,-14.544866158691498,6.295385398756047e-48,1.3987585839679039e-46,7.46044634203958e-48,1.0
ABCA9,433.4990484598646,-2.3476025979978337,0.17904895716331545,-13.24113490185507,5.0775703998603095e-40,8.0738734705944e-39,6.0172553571655e-40,1.0
ABCB1,491.51579650123796,-1.90737817493946,0.24889856016136097,-7.848310687477045,4.216785392354923e-15,1.6001936863743933e-14,4.9971684278100695e-15,1.0
ABCB10,1530.5058665730182,0.2499528830949149,0.07603616659256264,3.3021159839747307,0.0009595838261131647,0.0015068770585002576,0.001137170036773426,1.0
