,padjScreen,p_naive,p_aware
A2M,1.2002825659486943e-58,1.514748904962779e-50,2.2084236787572627e-60
A2M-AS1,3.1432093890049114e-06,0.03465575473439504,1.0550499155462147e-06
A2ML1,1.6895321251075736e-78,1.4272966119895025e-80,2.03747218738947e-68
A2MP1,1.6395553602421543e-10,1.4134946731389813e-07,3.9521641594611494e-11
A4GALT,7.014699581256344e-14,1.3318287005649932e-14,1.0506628225049772e-08
A4GNT,9.88593809454242e-15,5.84149494646605e-09,1.7867304352571837e-15
AAAS,1.517171482926015e-31,1.0052564486311761e-32,5.483017093469628e-11
AACS,4.7541204817353816e-20,6.06688127054218e-21,1.380638624654431e-13
AACSP1,0.0009144233799524234,0.020257861817534004,0.0003810097416468431
AADAC,0.16580421493820613,,
AADACL2,5.572124353055204e-14,1.0511560474155543e-14,1.2058704009995631e-08
AADACP1,1.703300909065117e-08,4.794192099076108e-09,0.0011528751987162666
AADAT,0.5729924087812319,,
AAGAB,1.3686214127352256e-26,1.1860797681242775e-27,1.3802450084473792e-19
AAK1,2.19510957781834e-06,7.260456936942105e-07,0.49142956388778314
AAMDC,1.471592080284802e-12,2.3833911707988053e-06,3.0605491074078965e-13
AAMP,3.1211500127340214e-16,5.053322418240256e-17,5.127070977265815e-12
AANAT,0.0830669180700725,,
AAR2,9.7326945901441e-06,0.2142243426904813,3.4100663891870864e-06
AARD,4.201851429632701e-15,3.1093073726576207e-12,7.386631003338414e-16
AARS1,1.6074103866160446e-14,2.939669124148544e-15,1.8292503333263575e-13
AARS2,7.618165023903276e-16,1.2691487693744935e-16,7.160765265171356e-10
AARSD1,0.001936961551172254,0.0008338308853951004,0.11234300620024804
AASDH,0.008608092796008717,0.003959858266090637,0.03589027853733018
AASDHPPT,5.779052190418798e-11,1.3483627640732291e-11,8.975759166325018e-08
AASS,0.0007979698871015302,0.004456536614550985,0.00033068790746615173
AATBC,5.283883742768102e-07,1.3065675001818135e-06,1.6722084825963915e-07
AATF,1.3729562317520014e-24,1.3151599642641594e-25,1.6911110994972937e-11
AATK,2.7621181489171712e-33,3.7576639491388067e-29,1.6442591930302317e-34
ABAT,0.035804004553913645,0.10504779599248978,0.017602097599636667
ABCA1,0.3504143049972056,,
ABCA10,2.966478801900755e-10,8.386283806505923e-07,7.284523403865685e-11
ABCA12,3.1282337242273174e-97,1.466919451151842e-99,1.4837672852093965e-97
ABCA13,4.416672495249781e-11,1.0203752965471825e-11,2.5409608127843613e-11
ABCA17P,1.6323543436311682e-06,5.357623488242477e-07,7.749733254660366e-06
ABCA2,0.35802773766406065,,
ABCA3,8.265110895870105e-29,6.369839547110659e-30,1.255361857842011e-28
ABCA4,1.972923813694332e-15,3.3835473909684794e-16,7.700949874646153e-16
ABCA5,0.0006872712516074374,0.0002832386139660806,0.4187861392515469
ABCA6,7.381378376769996e-40,4.3370152660998703e-35,3.09142779954929e-41
ABCA7,0.13632486170087832,,
ABCA8,2.3764541506410228e-46,7.46044634203958e-48,2.0877118676558548e-17
ABCA9,4.0329781072034784e-45,6.0172553571655e-40,1.3238262186088168e-46
ABCB1,2.6338779176023935e-16,4.9971684278100695e-15,4.245544194932553e-17
ABCB10,0.002612498531850529,0.001137170036773426,0.08852684489309741
ABCB5,0.02416497362210204,0.06835430871493976,0.011669876114539613
ABCB6,1.3381487956726067e-29,9.833975792940512e-31,2.896428306318445e-26
ABCB8,0.07979932762642558,,
ABCB9,1.2309711209607976e-22,1.3395447478954843e-23,4.822468405045826e-15
ABCC10,5.477383102825653e-11,1.2752326639740136e-11,4.737374983574148e-07
ABCC13,8.602703193228985e-15,7.58835365526873e-12,1.5461831591209455e-15
ABCC2,2.8772250324612072e-06,0.0004610539082675473,9.626797815870168e-07
ABCC3,0.8728038927154871,,
ABCC4,3.99736087467997e-06,1.3544894773668599e-06,0.00013151443387820808
ABCC8,0.00014937190105445222,0.000532447910699064,5.786450147520339e-05
ABCC9,2.572295262785932e-27,4.7528223432358407e-20,2.1491040747932295e-28
ABCD2,3.052261656832878e-08,4.647097714525066e-06,8.766948573320092e-09
ABCD3,1.309997341878236e-09,1.6246654519101674e-09,3.3823778733418227e-10
ABCD4,3.6247331297195107e-12,2.8100676528173525e-07,7.756534453559292e-13
ABCE1,8.875345183156537e-23,8.951419229829668e-20,9.566031051862948e-24
ABCF1,3.7800292058822087e-13,7.559787791116802e-14,1.4919685943083569e-07
ABCF2,7.543545413652709e-17,1.1757086458707007e-17,2.8177843127346685e-10
ABCG1,1.3225394670347366e-08,3.6945511171030516e-09,1.4808359643601575e-08
ABCG2,5.793931102346953e-24,4.5694204877213326e-11,5.794760703020256e-25
ABCG4,1.2040673541809728e-08,6.691849134097145e-09,5.1768121648863736e-09
ABHD1,7.659422009385243e-10,1.9428216050438086e-10,4.446654850165596e-06
ABHD10,4.161149778784758e-08,1.2065281590320721e-08,0.9028317049410917
ABHD11,7.681831468526162e-11,1.8071662518311115e-11,0.0002768581312342539
ABHD12,0.0010790121645431975,0.0004526397321120322,0.436429843416022
ABHD12B,1.9932527066548056e-13,0.952118832782132,3.9157255348373335e-14
ABHD13,0.0010185999650782658,0.0004262762096123284,0.0021591195734757015
ABHD14A,5.63549326594865e-23,5.991342711865511e-24,1.3252789034081413e-08
ABHD14B,4.2630866085360076e-17,6.538991307838199e-18,0.0008522164131540645
ABHD15,0.02734396582988939,0.01327948111447986,1.0
