"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"A2M",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A2M-AS1",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A2ML1",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A2MP1",1.5,2,1.5,1,1.5,2,1.5,2,1.5,1.5,1,1,2,3,1,1,2,1,1,1,2.5,1,1.5,0.5,2.5,3.5,1,1,1,3.5,2.5,2,1.5,3,1,1,1,2,1,2.5,1,1,3.5,3.5,2,1,1,1,2,1,1.5
"A4GALT",2,1,1,1,1.5,2,0.5,1,2,1.5,0.5,1,3,2,1,1,1,1,1,1,1,1.5,2,1,1.5,3,1,1.5,1,1.5,1,3.5,1,2,2.5,1,1,2.5,1,1.5,1,2,3,2,2,1,1,1,2,1,2
"A4GNT",3.5,1.5,2,1.5,2,1.5,1.5,2,1.5,1.5,1.5,1,2,3.5,1,1.5,2,1.5,0.5,1,1.5,2,2,1,2,3,2,1,1.5,1.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2,3,2,3,1.5,1.5,1,2.5,1,1.5
"AAAS",1.5,2,1.5,1,1.5,2,1,1.5,1,1.5,1,1,2,2,1,1,2,1,1,1,1,1,1.5,0.5,2,2,1,1,1,2.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,1.5,2,2,2,1,1,1,1.5,1,1.5
"AACS",1.5,2,1.5,1,1.5,1,1,1.5,2,1.5,1,1,2,2,1,1,1.5,1,1,1,1,1,1.5,1,2,1.5,1,1,1,2.5,1.5,2,1.5,1.5,0.5,1,1,2,1,1.5,1,1.5,1.5,1,2,0.5,1,1,2,1,1
"AACSP1",2,1,1,1,2,1,0.5,1.5,1.5,1,0.5,0.5,1.5,1,0.5,0.5,1.5,0.5,0.5,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.5,1.5,0.5,1,1,1,0.5,1,3.5,1,1,0.5,1,1,1,0.5,1.5
"AADAC",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AADACL2",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AADACP1",3.5,1.5,2,1.5,3.5,1.5,1.5,2,1.5,2.5,1.5,2,2,3.5,3,3,2,1.5,0.5,1,2,2,2,1,2,3,2.5,2.5,1.5,3.5,3,3,2,3,1.5,2.5,1.5,3.5,1,2.5,1,2.5,3,2,3,1.5,1.5,1,3.5,1.5,1.5
"AADAT",1,1,1,1,1.5,1.5,1,1,1.5,1.5,1,0.5,1,1.5,0.5,0.5,1,0.5,1.5,1,0.5,0.5,2,1.5,1,1,1,0.5,0.5,1.5,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1.5,0.5,1
"AAGAB",1.5,1.5,2,1,1.5,1,0.5,1,1.5,1.5,0.5,1,2,2,1,1,1.5,1,1,1,1,1,2,1,1.5,2,1,1,1,1,1.5,1.5,1,1.5,0.5,1.5,1,2,1,1,1,1,1.5,2.5,1.5,1,1,1,1.5,1,1
"AAK1",1.5,1.5,2,1.5,2,1.5,1,2,1.5,1,1,1,2.5,2,1,1,2,1,1,1,2,1,3,1,2,2,1.5,1.5,1,2.5,2,2,1,2.5,1,1.5,1,2,1,3,1,1.5,2.5,2.5,1.5,1,1,1.5,2,1,2
"AAMDC",1,2,1.5,1,2,2,1.5,1.5,1.5,1,1,0.5,2.5,2,1,1,1.5,1,1,1,1,1,1.5,1,1.5,1.5,1,0.5,1,1.5,1.5,1,1,1.5,0.5,1.5,1,2,1,1.5,1,2.5,2,1.5,1.5,1,1.5,1,3.5,1,1.5
"AAMP",1,1.5,2,1,2.5,1,0.5,1.5,1.5,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,2,0.5,1,1,1,1.5,1,1.5,1.5,2,0.5,1.5,1,1,1,1.5,1,1.5,1,1.5,1,2.5,1.5,0.5,1,1,2,0.5,1.5
"AANAT",2,1.5,2,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,3,1.5,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1.5,2,1,2,1,2,2,2.5,2,1,1,1,2,1,1.5
"AAR2",1.5,1.5,2,1,2,2,1.5,1.5,1.5,3,1,1,2,2,1,1,2,1.5,1,1,1,1.5,3.5,1,2.5,1,1,1,1,3.5,2.5,1,1,1.5,1,1.5,1,2.5,1,1.5,1,3,1,3.5,2,1,1.5,1,3,1,1.5
