,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,171291.38742946574,0.32242929800104264,0.2459686747182909,-14.963154986015848,1.278198073129952e-50,3.2752341647863927e-49
A2M-AS1,99.96448192013509,-0.31596005939022936,0.14734493239829288,-2.1801851865765913,0.029243737215612273,0.038673131112089955
A2ML1,3450.580169455469,7.773366686127406,0.40315617806794063,19.01824846765638,1.2044027714776397e-80,9.820925653334665e-79
A2MP1,19.992222061797843,-1.2860152974359467,0.2511917885181778,-5.294602425654813,1.1927562130372314e-07,2.595463861496686e-07
A4GALT,3003.3249871470207,1.4617678879206537,0.19132420376012493,7.724396671508023,1.1238436107951322e-14,4.1422808482502394e-14
A4GNT,9.239379852628982,-1.5263769948637476,0.2697466840946092,-5.8495428927697395,4.92925762171436e-09,1.1962175841113884e-08
AAAS,2365.452713644514,0.7149735537659642,0.059885054092360154,11.927758346848305,8.482705294798688e-33,9.076549498694419e-32
AACS,2935.8591355482185,1.1368511799326806,0.12418468040591397,9.406702755431615,5.11944648021103e-21,2.833239638479879e-20
AACSP1,16.928875320658317,0.8501299948286536,0.39419594048140466,2.384673356182296,0.017094291902816104,0.023313983180960285
AADAC,740.8184393896108,0.1334648542497528,0.37115335126205634,0.38568741411136814,0.6997281850945336,0.7320434866019835
AADACL2,81.72201278350482,3.797903917434255,0.508102588223743,7.754488557534218,8.870022153265548e-15,3.2905754527791266e-14
AADACP1,125.6610215959126,1.8519860473520946,0.3288992569986755,5.8823218478853025,4.045506871255668e-09,9.89001258896693e-09
AADAT,334.47135570024307,-0.17003057826015308,0.1621233922267238,-1.088311367956726,0.27645767369850227,0.31527412144204675
AAGAB,3306.295879225959,0.8627811804794104,0.07943726544370981,10.912834985084537,1.0008555670367852e-27,8.105265264755336e-27
AAK1,3767.728511584388,0.4643590551172804,0.09624668067873626,4.987182226900285,6.12662734822735e-07,1.2615258427068954e-06
AAMDC,293.4799330561437,-0.5252913246323602,0.11135780041140203,-4.752296774990913,2.0111887799019943e-06,3.956174435379407e-06
AAMP,6891.756973240344,0.5435912255671682,0.07163877073664084,8.40539690190924,4.2641700923083367e-17,1.8516476269144778e-16
AANAT,15.46092591954203,0.5138674941678333,0.25717829939175246,2.0975700822469188,0.03594314025716754,0.04698466403513341
AAR2,3434.8318389749256,0.06447281284794025,0.07379361468874816,1.338388000579547,0.18076998844322134,0.21247501375421735
AARD,230.44832179327761,-2.0306142122715896,0.3013311786441517,-6.996532878277018,2.623742244987715e-12,8.175979928705129e-12
AARS1,9971.306762710197,0.6724420318557216,0.08516286134088315,7.914594846007882,2.4805955612944396e-15,9.549139145606246e-15
AARS2,1269.8507791911948,0.6805369095208076,0.08234559606822556,8.29664231214833,1.0709520939178954e-16,4.510806618479115e-16
AARSD1,49.212786292061814,0.5591984013047091,0.16828486255952924,3.3881663950636294,0.0007036156471454578,0.0011171768259554495
AASDH,809.3043183989507,0.27104568199211476,0.09336832566360087,2.934443221179409,0.0033414668193532298,0.004945131896357087
AASDHPPT,2033.820984940703,0.5706299884994092,0.08439637204652531,6.787897339707703,1.1377956315214682e-11,3.375861460579828e-11
AASS,1938.407707483982,-0.5027172974151766,0.1710667519306498,-2.897576395897065,0.0037605813708722386,0.005531760724433321
AATBC,260.8040847351694,0.8523253984162584,0.17917484698713282,4.872396294750476,1.102527326921982e-06,2.221021643244441e-06
AATF,4054.977178639094,0.7551177496055441,0.07448008339345928,10.476320530676823,1.109777948458997e-25,8.135586528273595e-25
AATK,1572.9363416818628,-2.2588968792844786,0.20690563778284737,-11.222253775099212,3.1708481871304813e-29,2.7948375953978094e-28
ABAT,888.2444537007879,-0.26834181500816273,0.1625276513579229,-1.7025997220309124,0.0886430021399805,0.10974626884241565
ABCA1,5426.068083667255,-0.03983279635100825,0.1430525516572237,-0.30791163408478883,0.7581495728945451,0.7859249674425981
ABCA10,185.9129361913638,-1.135864936771794,0.23666302796194108,-4.95924850924988,7.076639413355568e-07,1.4499271222833857e-06
ABCA12,951.7847856524487,6.300728749716838,0.29914462561497673,21.18778546586433,1.2378379081549524e-99,1.862720990335357e-97
ABCA13,1985.4886244783647,2.213513510449824,0.33703753344332193,6.828006253499925,8.610283418214852e-12,2.5787230219234747e-11
ABCA17P,44.05239404943641,1.1895126763224457,0.24334035336844637,5.04560226698848,4.5209499718341634e-07,9.403780457875207e-07
ABCA2,3174.7755171291,0.12509278531115509,0.13305248416889018,1.077060507199882,0.28145323497438735,0.320397180285471
ABCA3,37301.10710875079,-1.5377239722992155,0.37498418474242246,-11.378111749093172,5.375093263700941e-30,4.956764278219592e-29
ABCA4,684.0144339675827,2.9155250818526124,0.36738934968807213,8.179292381330429,2.8551555583306785e-16,1.1698363850754385e-15
ABCA5,1263.2373518228271,0.4824740441283614,0.12818441375083944,3.6737606360121147,0.00023900664289725209,0.0003959840816613166
ABCA6,745.867866707456,-2.1812088654823323,0.17901722642932982,-12.372983057595128,3.659725079253488e-35,4.497359260347661e-34
ABCA7,1566.958208818427,-0.28533532538922646,0.14007121406082707,-1.876297432054243,0.060614449472510386,0.076873351372852
ABCA8,2278.8499099113055,-3.7709031901670143,0.2614685274463018,-14.544866158691498,6.295385398756047e-48,1.3987585839679039e-46
ABCA9,433.4990484598646,-2.344471322731317,0.17886201792849268,-13.24113490185507,5.0775703998603095e-40,8.0738734705944e-39
ABCB1,491.51579650123796,-1.9057622955658031,0.24871614892400626,-7.848310687477045,4.216785392354923e-15,1.6001936863743933e-14
ABCB10,1530.5058665730182,0.2504493006987553,0.07605471605821712,3.3021159839747307,0.0009595838261131647,0.0015068770585002576
