"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",717,1082,563,103,436,406,548,517,965,245,685,1546,1856,919,472,940,794,840,1819,921
"g2",1366051,964979,185788,475343,364089,475101,490083,407738,619720,1443390,825949,2073100,2489558,1261861,530502,3291246,1339391,4699903,2436919,4933963
"g3",2694,2248,1907,1824,485,1528,1880,1824,2177,2542,1267,2314,3477,1687,1979,2557,1389,1837,1167,1717
"g4",6970,2676,0,2773,1032,784,0,619,50,0,1216,12851,151,403,262,5388,2943,0,731,980
"g5",197,59,177,320,18,324,186,158,194,98,176,1423,1822,211,586,72,1668,201,158,1043
"g6",3017,7848,11918,6549,2767,17223,10609,9633,5759,2826,12237,15613,19598,7270,5671,22280,15409,13006,12739,29244
"g7",21888,30594,16790,15663,5875,11461,23052,16577,13491,27962,14518,20036,18936,34268,27893,27758,20612,36856,45388,39273
"g8",39456,7789,10999,19654,38088,11353,44875,36865,2957,11274,121156,81308,27318,181169,23478,101052,30170,53880,172315,115398
"g9",13,10583,422,2209,1273,1167,1401,3614,0,357,9178,263,12,7415,61545,4949,11552,705,41,837
"g10",47,206,31,57,21,35,142,245,198,577,247,237,41,1183,279,11,177,278,148,297
"g11",2082,1591,5828,1741,2063,758,657,585,3040,3215,3826,762,6184,1383,752,2193,4662,690,9625,7286
"g12",33183,48807,35227,11751,13048,21659,65390,50898,48343,33600,66509,70710,73043,98491,42810,93534,103421,102740,81970,48550
"g13",30349,32854,32148,9575,16627,26550,34837,63347,25731,16120,52472,59490,75487,116468,22520,56361,51330,53467,49704,47308
"g14",3356,5944,1556,888,5493,4810,1179,5965,1398,4682,4895,7903,2181,3838,1772,5211,4942,5850,4020,8217
"g15",52007,43210,66452,40040,22359,64668,110962,122126,40291,52446,62443,69984,106877,169947,65696,78294,118265,203387,94295,158676
"g16",27424,42864,20499,26071,17075,30147,36506,32587,35695,47230,35375,34169,34632,68249,39657,56687,56277,54860,29102,51123
"g17",60376,88673,1403,4416,3248,2312,12663,4797,8910,14314,32425,2254,83268,79643,116037,3165,5715,28837,22532,16309
"g18",42972,107055,33358,32478,26348,56675,62852,34875,75518,49827,37102,142312,449035,314042,101462,106913,298407,119082,164963,310830
"g19",12236,9534,9412,12996,6937,7066,7551,9778,11220,8491,24364,29346,29211,39949,16300,29090,24631,40381,24872,18909
"g20",638,338,109,424,151,106,285,97,462,268,1389,556,1573,1253,520,1356,900,3185,932,523
"g21",13765,12283,4977,7868,8020,7454,14201,8378,13451,3250,17215,16474,30495,33628,16542,14398,17342,13134,12759,16038
"g22",32319,37602,11399,12481,11478,6912,16095,46769,12154,8857,36961,39932,30136,86308,40834,24521,49477,53174,40684,54992
"g23",3401,13365,8276,6357,17145,6564,18113,4519,7271,4580,7992,55082,15156,133398,15507,33206,22624,19810,15256,54094
"g24",516,116,1727,813,27,1109,2349,514,666,175,1010,1804,10179,6237,567,1003,292,1129,1390,492
"g25",21424,53627,24861,16125,14071,26278,41158,39847,28501,22918,33777,33123,122919,122814,66355,32385,60828,42256,28216,72249
"g26",1698,1419,975,3366,2183,2708,8317,3043,6270,3582,2940,1550,2835,3420,2336,3436,4002,3295,4878,5188
"g27",52366,4543,54504,33532,11453,9564,55238,32802,21394,9320,23055,122284,87813,35521,61373,131435,29684,13878,91571,18618
"g28",47989,60598,11640,39642,20220,50361,40098,27797,8214,64709,8901,33278,24484,31515,81621,55241,48685,75494,19836,93751
"g29",3747,9986,1311,1649,732,178,960,4937,4912,11631,9342,3753,3141,18873,3405,12254,15567,1044,3437,22342
"g30",306,874,804,916,383,179,336,469,700,242,653,377,1050,4867,3947,1353,3754,5226,1669,1187
"g31",2774,311,10171,7591,645,36951,3196,54985,40513,0,22062,16245,18497,10331,9721,126,20395,81098,16953,1187
"g32",1517,99,0,38,98,74,725,1758,1745,3573,28,836,5801,3210,17514,1840,5767,1434,118,0
"g33",136,421,507,83,84,738,113,593,472,169,2945,552,2185,321,1177,831,774,204,230,334
"g34",53438,14713,21570,34178,36703,16649,30510,42010,81759,53867,47745,73037,61871,108572,33766,126377,84058,117299,55983,44256
"g35",20542,65039,107387,41426,29658,34961,64689,30788,23519,28679,113267,377960,112011,515226,126213,294485,255831,243237,90206,292826
"g36",11189,535,2397,1382,2337,1165,1540,454,8586,8333,4237,173,1100,1440,1156,2158,773,1467,1267,5622
"g37",38148,10349,14735,13895,9484,7442,18088,8315,25773,30561,58085,53228,44899,63633,41690,45891,18232,67464,21405,91166
"g38",10919,10999,17967,11187,11707,1693,19519,7816,8075,6363,58516,11771,101250,4078,7551,44339,14837,8671,2456,51205
"g39",8213,3788,12407,7985,4385,11055,2398,4368,12589,18538,15588,12423,4673,19857,8049,21438,19745,41154,5965,24736
"g40",3829,18724,30711,56812,60676,27992,17156,191908,10020,7157,35529,5895,30771,102471,20234,24188,43076,98680,24526,10253
"g41",10269,3294,2445,7846,7250,2978,64499,24232,6606,10328,28881,16819,23176,3653,22533,43511,18324,160863,28797,40394
"g42",14093,508,1544,3167,10762,2776,11542,10308,966,5490,78529,8262,28014,2366,10418,38873,11458,60864,6732,3700
"g43",18375,27002,4618,7116,14845,5574,26455,21291,14566,6215,25483,21734,38169,34139,25977,34508,44648,45404,44935,38879
