"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",8411,16099,8978,34894,11535,21715,10304,7515,8818,20605,27549,6785,18845,16149,38588,3733,7218,28836,27315,13353,26630,4970,1419,12872,14992,3367,11884,16207,12096,21966,7157,8858,15740,12813,4407,16583,9061,18943,3764,6717
"g2",6260283,7270679,7026601,14902110,16940822,6129508,8484074,11197243,7299371,5826371,10540568,3661494,10240933,17624479,7517088,20853810,9219018,50025257,21005826,20040808,23743932,6835044,5730393,19263973,10079658,18590026,6575960,24144008,9374229,14086700,11166945,14847848,12515731,21610976,28218903,14816412,11430364,22032738,13741877,4743085
"g3",24328,3519,40804,14047,44530,13146,9931,27855,6669,22018,42953,13544,36331,64861,36310,15145,28944,15028,34600,13578,15713,36958,42585,52127,68316,4491,35534,48376,77746,17383,19414,35748,29120,14775,51260,32372,17952,16388,23636,25595
"g4",220434,145816,476,125857,48399,536,362534,191575,168193,193327,49634,1826,279715,57930,15624,10783,50665,41025,52,306104,6702,5487,0,12290,8457,3213,183184,2613,148572,20500,375,354395,90994,6109,13429,16496,24500,6404,2756,77638
"g5",12602,13812,4604,2051,9763,1203,7860,2663,258,3206,3876,6482,12186,5005,4258,2040,1631,4477,1994,6629,7512,981,510,4973,4106,1834,6536,2704,3956,2497,392,1796,2780,6758,5285,13563,3947,123,10304,2035
"g6",162682,129213,205473,109922,181629,262994,190528,251214,91595,360365,140410,129407,732838,82454,283520,90345,289715,199593,275280,307210,74345,485991,135676,305682,129621,125632,197874,189088,191726,137553,289078,519190,161047,120608,729960,352043,63119,90783,126699,287610
"g7",257372,272061,348288,441789,243726,355283,313396,446788,288294,618594,395713,223311,354353,480599,250955,506017,287662,612528,500264,401046,662117,471895,382958,1183132,831333,613937,411015,422069,711589,301079,277001,390200,344670,638490,977961,546861,612348,1251043,781411,504478
"g8",323250,1314143,739740,840945,346535,589380,1310005,411694,898915,940902,1119617,758093,1124358,1858756,571879,1505254,2568862,1214046,1130915,867346,274436,251143,655719,915392,600006,238729,1576293,1233949,564220,676293,3075809,2080130,536743,618485,570906,3694469,1619082,1432714,557762,842995
"g9",1780,42969,10423,262,25585,108643,64885,37762,73,186519,7,1620,12320,59181,5600,62243,26543,0,165142,94728,40253,1817,13254,3517,380,201740,7730,44401,3372,5008,307,50647,41335,82371,20861,75,7745,4419,13687,202676
"g10",1384,1410,5049,7609,3856,1685,13819,3131,1032,1465,3366,3947,223,120,2153,2045,4887,11586,3040,469,336,2747,833,3995,1651,530,1886,422,253,12126,1797,2625,935,1338,3293,3177,6017,964,3465,4130
