"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",511,1328,2351,1948,2931,875,1848,1840,2055,1681,3247,5009,1727,2232,3240,2019,6498,1028,1727,1506
"g2",1742739,1850695,1841835,2434644,2246520,300705,956598,2022388,515922,1716418,2162612,7419605,3579004,13340301,2442233,962313,10167051,5791515,6105714,4718058
"g3",1179,3776,2328,6141,4281,4987,3163,728,458,4282,7772,4578,5208,3180,1189,3278,4419,6637,610,3170
"g4",380,5041,1347,12669,1967,81,431,2053,47,47721,6188,63225,70283,531,2870,168995,135361,48178,2801,7303
"g5",315,218,528,153,945,186,1067,1450,394,1542,249,816,196,1382,702,2374,1837,1533,2603,294
"g6",10355,20024,31786,10585,66740,15701,20962,9946,20288,10253,50592,13612,71849,44023,20371,54277,124226,43746,21866,25986
"g7",43786,38822,35425,36502,65886,64368,30451,52857,25066,52562,71694,61772,60490,85275,59559,95738,43336,69374,79953,58596
"g8",136780,95197,57222,71254,35264,83041,95310,89059,223561,40578,38382,125441,189264,209209,73575,268634,86749,68751,56532,31171
"g9",87,631,10,351,3805,5373,9448,11083,74,350,3637,1095,346,0,1264,2300,301,9565,578,389
"g10",414,389,41,67,343,261,231,90,704,339,85,445,335,255,75,596,271,204,402,290
"g11",1614,7529,734,8010,18493,3951,8966,8245,2263,11354,7903,3587,11208,7608,24172,13759,5694,11295,12278,4589
"g12",67478,34119,138719,89167,96869,110133,76995,81555,69699,97655,74502,57584,123519,238356,58336,130685,198994,166634,130989,32619
"g13",85813,62162,68497,32683,51628,139557,76638,27841,78210,110335,112190,180037,103825,119950,47843,140381,100672,115596,57926,46431
"g14",8261,4594,29081,2184,8185,2132,14307,1681,6675,7322,14108,6051,6468,13671,13655,18526,6735,7030,5514,17729
"g15",231234,111504,84022,68085,196331,87205,217494,100230,76039,152412,363910,150170,266937,361144,294474,202101,283398,313858,169299,192250
"g16",171427,84218,94394,42406,103690,80656,82568,111962,47811,85445,148139,303434,181042,116562,115029,151870,130339,111782,111240,58320
"g17",17345,5800,14627,28623,1439,3205,15327,18893,50044,59116,77306,115907,110421,183473,1175,72680,24315,26511,39129,28572
"g18",346075,113305,188468,183386,340603,87644,112292,258415,160289,387491,212941,498725,355876,342528,110681,219584,659721,240617,179755,226264
"g19",30273,29772,44096,20515,37190,31160,33943,19766,10739,36652,44187,36921,30752,45047,23056,59989,53283,22996,50340,55290
"g20",1869,743,1788,1325,1147,545,2432,774,1025,1939,4588,3548,3735,8117,2890,3160,13064,3818,923,2481
"g21",35597,34956,28216,7787,34885,19973,15411,22643,18094,46190,25892,42092,27373,36795,52801,51353,43696,25911,26726,21824
"g22",47121,54045,48683,16409,56611,32174,51218,36332,32461,87493,47106,43191,46641,131231,48336,38967,95589,30716,19034,49065
"g23",11317,39136,53525,32726,21441,14097,30432,30135,21971,20780,42576,38013,18598,35769,28646,24384,31552,51771,26222,11504
"g24",1844,6782,7692,88,1647,287,811,3611,302,4432,3698,2779,1841,8552,18793,18265,9261,1398,3553,8244
"g25",99990,39349,85291,35066,67196,103269,43875,78316,45059,92060,126309,219850,141491,125555,115127,285030,174460,74806,94613,186256
"g26",1363,6777,5628,2444,7628,7214,3487,6059,2590,9255,4528,14191,10163,14151,7720,10812,1782,5693,4992,14352
"g27",33581,43571,107442,20657,26793,34076,315561,120573,22049,249893,107889,384140,28396,7609,331380,350063,218910,22204,124384,563401
"g28",241785,95817,130773,86421,243682,97471,178599,102807,37980,120319,28744,190605,53696,77960,101333,75870,302733,141193,12526,38902
"g29",6233,19930,25905,3239,11716,2180,3175,26231,2854,19364,8786,8328,61649,37117,35082,24582,29698,14195,46189,3080
"g30",2863,2698,1743,466,1609,954,382,1503,284,2248,2104,3705,2167,3276,3163,1911,2547,4421,2156,1519
"g31",38428,7685,29353,449,2250,592,111614,55655,828,2687,199484,73543,22521,185560,81642,221044,179588,526,727,16085
"g32",0,181,418,885,149,87,3362,6003,19,50,922,1350,1731,17,34,23561,5832,3204,3135,1220
"g33",841,875,500,904,623,657,877,226,194,935,3533,1172,2814,5098,658,1297,3428,1125,1327,2029
"g34",205492,74195,123218,41902,110042,77529,30372,58160,100902,31637,118848,58874,61414,296579,65365,139699,239495,68673,66522,55103
"g35",106267,44560,52306,126390,88470,12909,116336,71463,58920,115715,69167,254941,212477,148287,123484,54731,143064,491317,246254,112485
"g36",1339,33148,22045,255,8123,6431,467,9531,241,2720,872,428,5472,6223,3934,1173,30684,33849,12927,6448
"g37",52979,15733,52154,9112,83233,51207,45902,11220,18940,38492,205951,52214,83313,65235,33125,148977,73805,84579,185852,46366
"g38",92281,129967,122665,33443,167712,11554,29835,61400,25548,29901,35979,23600,86664,32356,24825,78495,64336,22492,34892,16214
"g39",13557,14232,16375,14340,27691,18235,22641,14258,15076,39794,46121,15824,39592,18883,21016,41383,29369,10333,23200,29189
"g40",125980,27656,197737,456,1653,155146,42450,141485,3169,94361,2152,74896,31199,786651,59647,533,199700,170832,230972,454110
"g41",1835,63898,29002,13232,28222,13593,37421,13340,46682,57096,12351,80169,137873,27486,20080,100832,156964,196863,50675,79727
"g42",18140,5155,14324,12018,28660,7876,29320,2128,28588,12987,27936,25892,7824,37595,5021,21174,15638,32829,6096,52030
"g43",42667,43069,22502,38070,24701,54003,27148,22929,48194,42851,77628,29994,32019,27169,54095,55805,69116,55334,34222,36757
"g44",8,4342,1266,578,2436,0,7,458,271,1869,390,1289,1417,0,5774,0,1496,3698,2628,1904
"g45",1442,1707,6079,201,3404,2640,3677,1594,2524,3753,2218,4746,1674,12596,1863,7284,1878,6499,1749,5492
"g46",6532,334,5373,1591,7151,3094,7746,14951,1513,3041,1658,9578,2550,3746,1939,11434,11959,1865,7150,3771
"g47",304,334,127,1000,1133,782,227,494,430,692,970,995,747,920,2190,825,1688,285,969,1173
"g48",29830,39283,48038,40163,52594,33765,38723,24508,28086,47048,83183,71781,69579,58078,53655,68703,58582,73380,24659,44266
"g49",34897,33661,25599,22763,57404,22703,43771,66595,25592,32152,77325,137037,72254,72686,47331,140046,43329,69316,27303,43303
"g50",17062,13159,6253,6464,19426,5512,12236,29650,12910,6279,11544,28179,28526,44895,28287,35266,36738,17084,21167,37536
"g51",130693,70264,103182,55474,114793,33776,59816,75957,62001,96117,175697,110786,251105,578202,172131,186166,474829,309641,211566,278772
"g52",27303,34153,13202,15917,9836,15597,17115,14522,16896,22480,51041,47498,92327,55950,19908,99619,62574,24726,50069,41672
"g53",13011,1237,17013,14649,86911,1799,258059,142001,43563,416051,33489,43135,170875,21483,559,80595,0,121152,226677,5942
"g54",1489,9,52,422,5371,3142,0,296,418,0,0,0,27,13346,0,0,20110,0,278,2908
"g55",15,126,6048,0,4946,491,97,7838,6008,228,10095,496,12287,1915,41427,1426,6949,1210,6140,14249
"g56",5438,5098,26049,6697,19203,50273,8297,18385,766,13506,27270,34179,35366,21246,22318,53306,16128,40482,45191,45320
"g57",19385,6434,42850,13087,13053,3150,26874,15444,9488,25686,74322,13023,48779,39981,4880,26149,8012,8851,89322,141744
"g58",170877,53260,132735,27059,49010,67070,29851,69274,86650,92569,116790,408209,129984,226658,176120,113755,218837,74104,63441,87871
"g59",32260,1678,33255,791,2971,50053,3078,4226,235,1250,41504,106974,19870,20920,39826,44835,12677,28952,28876,13416
"g60",183,92,332,236,261,13,881,465,84,147,7043,1403,701,1979,4989,825,875,3596,1827,707
"g61",7026,18084,2807,0,27096,9373,654,1719,737,37,80032,22806,7274,114335,37909,2748,236,13369,10941,105842
"g62",21803,120365,3399,47505,2744,2501,86802,21776,60154,104736,60397,51338,102773,644992,132498,417390,66856,22140,20324,19291
"g63",15856,39110,44023,10575,29679,23763,22081,11042,50829,4608,48048,141185,68354,144813,95638,247385,31433,40514,36551,65567
"g64",22216,21378,2706,1079,78485,29686,20931,24420,3221,12147,83802,8259,9810,8921,737,13735,84718,424,59537,20797
"g65",81017,69103,146801,40306,230165,184257,150562,102602,105826,80329,100912,161568,300665,149903,159429,178439,62536,52696,152000,108408
"g66",43002,68172,36455,30090,21432,27144,67173,58026,31670,43643,43413,138709,57798,91019,72929,150829,86237,78037,114159,67119
"g67",47200,122780,126483,71661,130412,60516,46285,67714,33670,39628,97358,131838,63705,134375,129355,73777,192076,100940,108965,116200
"g68",114587,203027,83187,69325,140517,174357,86146,93717,104313,169104,135169,110099,90081,174803,74904,111193,91074,132327,46560,51972
"g69",12889,37479,7406,13222,16023,17047,13744,10796,14578,19596,80567,66788,32247,50097,25956,76084,75848,27547,52409,30593
"g70",60784,57273,85167,40193,44453,64848,71365,37531,30283,87465,159038,168383,319192,352222,119803,396630,164599,55626,84877,302816
"g71",49695,84579,70413,37590,59260,21748,54701,50615,43472,101551,106521,182788,151807,220057,187753,220811,498146,241627,305655,100690
"g72",12290,1127,29880,7426,17324,15862,34913,24008,28893,2787,18388,11979,7668,26895,1901,7913,25464,3191,9244,9273
"g73",90,0,211,235,442,97,541,94,40,679,430,1501,4076,2660,366,4938,3419,2492,61,19
"g74",3709,2603,4626,2831,1165,492,1686,1748,644,1484,4537,12657,9010,10965,3709,3556,6515,3423,5540,6585
"g75",36664,88057,53786,38604,33917,30072,57634,43826,34683,64064,159946,99032,60390,130131,116439,144636,170550,68848,41922,88964
"g76",16338,25017,47122,38248,110145,18853,20334,62094,42990,33971,34548,111688,183741,137879,176613,39625,67574,62012,85705,20338
"g77",1952,115,601,3704,344,54,2249,749,166,271,5872,1329,3253,1830,1809,6058,9415,3799,10681,2648
