"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",225511,253325,144681,75072,97911,90925,380606,62083,74914,122271,173173,188778,424783,545015,769036,195142,425449,359150,278410,87436
"g2",5116,21214,10106,6323,12696,14775,18575,31614,6004,3879,9222,21950,27233,13762,19724,85950,3069,62613,25007,25169
"g3",13905,6570,11094,11097,12531,6640,7806,10904,12720,5135,40932,32852,26168,32004,33154,30252,38443,33057,19640,33069
"g4",1603,6808,7625,10899,13378,15246,8566,2914,13014,6963,18405,18917,15562,4375,19349,4779,6443,33057,34622,13149
"g5",24321,18819,13510,25669,14467,28992,28110,22824,11077,17434,44013,20113,46493,18585,48848,23621,20367,69785,45952,17165
"g6",19989,28456,18180,23617,21308,43695,27813,24562,20601,24957,22043,49321,51600,33144,29802,40010,98643,146401,83275,58296
"g7",8425,3514,12472,10904,7380,12563,10119,9937,12483,6271,23006,21755,8483,19381,22886,30739,17802,39834,13900,24628
"g8",8280,999,2696,12089,3784,6995,418,4789,12159,2539,6927,46936,74832,1282,2100,35271,16172,8890,13215,8731
"g9",15225,10415,22050,6505,4463,2301,4263,38705,9637,13853,3164,32415,9338,11961,22877,83704,32571,13580,11559,61385
"g10",25053,3164,4737,8138,10010,19278,26667,17902,10331,5681,6066,61186,33943,10296,54851,13012,44231,43856,23121,24171
"g11",6183,15692,57323,37763,20454,7801,18582,7468,11336,22311,3985,21114,6184,10954,10037,24454,3832,15804,3723,13979
"g12",7955,6561,8243,5959,1761,2577,2005,9280,5043,5158,30978,16826,14976,4052,12458,22059,12486,4817,18898,12221
"g13",3407,12578,1630,11011,396,772,1940,3855,420,7409,4201,6715,8357,14892,15968,2793,9628,4120,23613,11082
"g14",19870,1835,7031,7175,10041,534,7575,21711,4910,219,9191,11470,10762,5229,51431,6747,3013,18018,31673,2742
"g15",2102,1961,13475,1878,927,2231,227,760,7220,179,12171,998,1367,6666,2337,7457,865,5914,9671,6461
"g16",19189,6777,13134,10274,7140,8216,21392,8050,6352,4061,29714,8220,10075,12208,16626,13711,14995,20830,20827,34631
"g17",5980,3066,4823,133,3220,13207,622,3560,21006,31199,16475,194122,43258,11102,59592,1430,30938,1381,11922,82688
"g18",19238,13421,26584,16257,6208,28464,16827,13861,28464,2765,10858,15997,9639,12607,14193,25089,39203,35473,27662,10584
"g19",8829,4363,2958,943,2737,5659,2916,1017,2315,2023,46026,45838,37918,25562,426,20278,5407,20726,70855,15891
"g20",22782,24297,16847,21758,12257,15035,35975,16520,12723,4195,29659,27722,53844,10780,60395,33378,41369,81371,20662,16010
"g21",11478,6612,15208,9018,15879,16601,8640,13452,16537,6584,23005,37401,25334,12430,5970,20184,14010,38478,24546,17654
"g22",19182,13653,18513,10648,17922,27523,27026,6125,11115,16335,109548,60780,116753,75829,78096,179408,181309,51383,163844,87266
"g23",8818,2793,19488,8550,7268,3610,12775,4351,14284,5519,5512,15164,13476,15958,8563,11261,12288,9945,5435,20513
"g24",5159,1028,15397,10354,2105,2441,5555,9544,5945,13083,36338,4672,12278,52320,24019,18973,22225,21260,23976,27130
"g25",8589,3117,12155,14444,9795,12388,8013,6704,11223,9608,25994,78762,62595,17401,64423,34918,29304,62335,49581,17107
"g26",26512,10709,7583,10636,13052,13773,27962,21139,5935,5088,12475,32812,26212,21771,30924,38435,23460,48923,33021,33351
"g27",52574,13907,10573,21029,10847,21330,40952,13310,18620,5966,44578,42173,46425,31825,136032,76699,107197,63292,207416,219310
"g28",7527,4038,7713,9522,6377,12427,6248,12014,7883,8335,15356,9550,4688,11421,8786,15421,11535,9701,11932,15231
"g29",2905,4615,9245,8010,5078,5886,9829,12803,15428,5434,39336,19826,38011,9414,42579,32654,22236,156376,42227,35424
"g30",8198,9984,12349,10151,7229,17342,16253,8176,6264,14531,29948,45379,37531,33322,45798,43956,28902,35390,34490,42730
"g31",13797,9923,7368,11182,7692,3513,12074,8368,5995,13533,16179,27501,25239,13003,30312,18702,17907,50358,23228,33833
