"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",116520,51665,105920,191641,213260,80796,116710,11687,108947,130669,213496,201223,228317,116697,28444,101899,223112,175068,217589,183348,386831,168071,295372,341294,263840,176366,139495,507581,247591,208049,279272,298330,369648,275202,532399,236045,155899,637414,519530,241122
"g2",2335,3425,903,6865,8917,2197,1025,2034,6012,7124,9033,10627,9808,6281,1111,1640,24806,5521,4539,11216,18803,39094,4911,108137,5681,81876,62688,39255,27687,32297,15750,1340,17438,74662,44085,11073,29125,26580,67431,64513
"g3",9493,4979,18233,12581,10540,1858,4118,3499,3549,6979,9219,3667,7029,6633,4588,7065,6313,6103,3651,11749,5877,8274,12851,8681,14569,9081,5952,19165,7019,11662,4464,6962,9262,12613,10624,7363,8934,3745,8176,12964
"g4",6011,5361,12156,7284,4456,4577,3939,6428,4666,4841,6383,3896,6086,6057,5462,6550,7757,8880,13214,3649,15041,10949,7597,16925,9651,22245,15127,39212,15800,51183,9429,28753,7803,19556,23713,9071,8357,7835,23352,35228
"g5",13637,7037,14669,10086,13467,9804,9008,20956,10860,9082,14664,14169,29861,22010,5520,11589,14004,19565,26476,8417,21783,25544,26906,16128,24141,30447,20011,44091,18883,29485,20759,41806,19676,11206,33408,35036,19505,17592,36364,49897
"g6",26708,20322,12841,33426,10274,6105,8990,18813,12440,9089,20745,2739,24112,12598,17363,8143,10076,25378,11204,24915,9856,18008,28005,38007,27387,37294,32553,33388,27425,39246,11066,25859,21419,20796,44519,5138,13032,19966,27154,48259
"g7",7535,1425,9680,8508,6848,3302,4383,2892,2305,3986,4118,5602,5378,4833,4211,5377,7343,2610,2050,6575,8901,7915,6435,17566,12871,7462,15230,10056,15081,12040,9461,10566,4717,16076,7465,3908,5743,16310,10382,10594
"g8",7533,4915,6720,5987,5572,9851,1843,4809,4441,3413,793,3163,2213,4072,1711,2680,4994,2585,122,743,15099,18788,3712,7796,3029,24577,8566,26366,29624,1606,40685,24886,6461,26294,37555,8147,3789,2701,12959,50191
"g9",7512,4405,2665,31315,9794,10875,3435,971,6753,3732,3708,14534,11198,13573,270,3781,11496,3693,11558,11135,13610,46785,8223,59173,12358,37451,19621,17510,15737,59587,32515,80450,28763,25361,13903,12695,32288,21883,25705,27518
"g10",5506,3896,5490,27059,3986,3285,5451,2772,11430,3411,13660,7561,10079,4224,2197,5199,12182,10728,8321,3333,33089,15473,12249,63834,36605,112569,28816,21520,19290,33147,13458,15929,22594,45724,23522,17291,48319,15365,63434,15495
