"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80"
"g1",150665,77822,94326,71624,243351,112974,42350,84659,146005,70644,96487,127260,68894,119795,157577,204151,226233,146425,209401,74671,111746,117441,94693,113071,90277,133476,145837,50475,84840,113239,131951,23331,87740,94187,108190,109846,136296,164246,87539,64776,298420,214274,156364,228097,297115,126737,404098,105278,361224,195968,239984,288564,318025,279267,130472,289978,217424,186486,256552,222705,239981,392148,197796,465989,201716,380724,654652,438725,380885,452543,73948,184571,627453,528499,143307,332743,156376,118004,295934,25973
"g2",5216,6009,2276,3574,2334,1468,7959,5843,7182,33647,1419,8177,3382,6242,4041,10206,16024,4136,20767,9254,9218,9446,18221,7137,1155,11923,8233,846,22076,3575,6169,4809,7605,6306,18608,713,4673,3472,5023,4579,14927,15038,5796,6422,30382,15294,15692,5215,14589,14770,6412,40466,2089,4888,7147,14926,1868,12767,5857,44201,8455,12203,9388,1910,5363,26608,27148,9292,22071,14843,33302,18443,2414,8118,2573,4711,3683,5257,5992,5557
"g3",14098,2764,3047,5546,19287,8663,8567,4573,8595,7706,2285,7753,9863,4210,8285,7681,6680,9756,9239,7931,4064,3838,8714,15385,6177,2614,5493,5120,10335,8669,4036,12093,5504,2082,9121,6022,6394,5161,8243,5450,18169,7162,15003,8866,10711,9623,5509,10737,31501,6935,13600,6545,20615,16644,4423,9249,21629,8599,8584,11836,7055,32446,5502,12957,13253,6025,17562,13545,16219,12944,15703,19505,11337,12361,13820,7083,6733,10241,27716,7438
"g4",4841,3935,4335,11334,8868,9904,8236,8640,6569,6752,3237,2203,12596,2173,4940,1943,6892,8128,10653,3520,9704,4174,3509,13003,4648,7751,3171,6053,9088,7453,3339,8467,6879,15191,2532,7825,6667,5317,9522,8226,12348,16036,16389,30402,12274,16723,6573,14427,7891,10374,15466,12825,10620,3271,15495,16297,9555,9841,16784,27490,15634,17389,18271,15642,18165,19841,29857,14323,12596,17288,14313,12549,8617,15014,8447,12488,9375,7620,10846,12703
"g5",15092,6134,11648,10151,10586,16321,8393,11684,9485,12302,6875,17579,8353,11197,8811,25868,21121,12848,9354,8048,17842,8155,3954,19144,8387,23159,7141,12970,20712,16769,24217,13327,6024,9624,3102,4365,18790,6758,4850,13049,18431,30898,10454,12299,10895,13448,22232,9956,17692,12039,7860,23410,13713,12811,21599,6746,16550,13053,24456,34847,32010,32899,10582,12473,20247,20192,17213,13288,16169,15077,26119,12994,43417,13674,32070,7614,12789,13941,16492,26806
"g6",16229,11863,11676,15967,31342,19407,15288,15150,31353,17503,23810,27899,26831,15233,32148,17655,8392,23140,13608,42589,12883,15530,17386,19461,18277,14026,14024,13957,31052,23262,7677,34488,19120,17269,12249,19952,14053,35675,12798,17461,28286,31368,50048,17628,21413,38748,62999,53307,30150,55779,35496,26509,31148,27725,35797,20187,73501,51145,21201,67686,42244,80986,24391,45892,37100,33564,95060,26231,76435,20974,98071,48752,46637,61195,52652,24835,44673,51685,52879,29314
"g7",6547,3712,3959,10893,4151,3721,6454,5174,11681,11930,6568,7089,5279,4738,7555,4903,4529,9486,6840,6981,6802,4467,5047,4530,9366,16265,4497,5668,2210,9044,3066,1532,5146,5153,6031,2958,8045,11238,4688,6148,15391,19005,5428,5216,13595,6190,12951,8963,8320,8025,5864,7792,9027,8333,7513,7224,12690,6230,10132,9511,11966,11630,7151,11540,13328,9725,10489,10871,11445,4558,10915,5375,18908,4694,11056,5631,8174,10459,10321,4648
"g8",1211,9660,2716,4461,3292,3737,13868,5033,9959,306,1367,1536,11482,7177,14544,7577,28786,9028,1345,3255,761,655,1503,1368,642,8169,2325,9803,6252,10515,4729,5964,6562,4217,3064,1483,7343,583,3541,2219,10892,3154,6163,808,11967,18747,2479,7436,40827,24581,28527,18602,14665,9844,3729,14299,17498,3440,88,5544,6234,225,17493,25785,8940,18131,70115,22616,2786,22742,11961,10842,25009,965,8599,2349,7492,10553,10630,32967
"g9",7735,1425,16480,7520,4476,2929,10476,6228,4983,6114,15409,15455,4768,4541,9014,12326,9644,8842,5205,1438,9582,15143,13628,13953,5999,7949,7319,4671,9963,4052,9409,10989,3030,8282,13123,3644,3431,8153,4033,6275,7172,18902,28323,7332,24882,12968,6999,34847,89324,12322,12291,11695,10571,10849,11295,11906,27813,28062,46939,3545,32829,55999,17489,21673,19980,8083,52871,14505,7903,16476,22455,55300,24347,9375,35975,11518,14671,17211,35308,16822
"g10",8945,5964,3849,8544,3963,9994,18219,3078,19110,11926,3679,10779,3418,6204,5250,3197,9942,5846,5868,3963,10903,4459,2744,11444,4129,15255,2372,2440,9827,8609,6164,7843,22137,14367,2554,10107,9136,5021,7934,6693,11052,11787,8272,10628,10513,14290,11004,6391,10408,7284,24083,9786,13625,5855,14415,7938,30629,9975,8584,24074,12531,15062,10643,2946,4937,6020,23878,9210,27778,12682,3066,5217,15897,10617,44143,10454,1219,6309,9637,9999
