"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",476,769,207,56,493,98,478,317,218,64,485,504,210,411,232,560,409,124,289,280,993,271,178,518,1215,377,82,1391,1598,258,362,574,191,736,229,101,468,374,670,390
"g2",605,1541,2671,2669,1457,1293,1478,3999,689,700,3270,604,1177,4962,1098,2502,718,3662,1684,2857,6423,1318,1984,1278,8085,1765,3898,2861,3540,1184,3450,3958,266,3214,3036,1479,9930,2155,5614,2488
"g3",1898574,998195,815560,1640328,2330915,1542441,1621660,2085732,1080153,865933,2610777,1237813,936909,2955052,1411927,2349245,3025238,524489,1367897,1164649,4490816,632422,1911235,5406558,4369924,897009,2275788,11857913,3360909,746258,4455770,1058019,1899339,2026470,1224999,3422426,9621408,3838459,6374638,1140519
"g4",1048,3973,1084,587,2919,3379,6512,6035,838,3343,3350,2797,929,3138,2157,1792,2979,3227,1134,3839,4996,5177,1820,5499,11730,678,2496,19877,5760,4572,3614,4858,4899,4863,1498,1175,14514,4471,5685,4625
"g5",31676,10373,5702,2600,77,0,12862,53032,678,16272,142,1705,5778,40890,0,3602,4112,23472,154,88,693,29659,138,22,520,754,5646,1138,4533,0,9362,45283,3668,2394,1067,148,6734,18835,92073,269
"g6",504,274,974,894,1562,268,294,348,776,1798,513,983,519,1439,37,452,274,368,348,839,766,1209,391,712,746,139,316,252,267,440,908,140,6,470,310,439,1594,266,4093,1408
"g7",7522,50845,18799,38693,110939,31602,21829,15779,47217,11572,76378,44652,13260,52421,4999,20145,44057,31602,39386,7873,122385,16727,37981,49993,86755,8299,38290,16712,23142,26097,106576,18225,6576,73310,24654,21934,49336,12478,105715,6133
"g8",77850,42954,44565,49276,75790,32790,46642,83150,33695,69638,84787,50635,36693,60250,42619,77038,57850,47219,55191,58274,108119,51819,42480,56792,89572,33886,67516,53930,74851,57202,74528,63160,45453,149543,28675,29295,80408,17785,109948,44407
"g9",135742,120751,27423,23018,148797,45049,83759,61697,75520,42102,146951,166727,26559,173834,44911,197786,75363,138584,236374,104301,104310,109469,108070,100626,101154,85779,461584,485009,132283,188844,194156,39652,69469,275549,98152,15708,109442,172017,244413,177747
"g10",3380,177,21417,2129,23502,9,86,2649,240,126,4,10768,1,146,8,5549,44,990,32,588,8202,951,40,875,3264,94,14548,2778,14906,83,2,502,4347,14870,3637,714,1205,776,16679,2350
"g11",95,0,35,0,24,561,87,38,0,969,285,199,353,27,0,808,7,6,106,17,1986,81,391,0,648,0,2922,0,574,171,438,79,0,1785,5,0,218,441,66,0
"g12",561,584,220,155,1423,267,5,151,100,618,1074,186,8,63,556,66,1681,127,150,28,846,188,22,331,274,140,542,368,192,18,396,285,513,115,209,303,350,971,205,313
"g13",32,87,28,6,8,592,0,27,720,206,1,0,1,7,195,466,0,11,1,300,1066,66,471,305,4966,425,9,3,11,333,2,417,57,672,21,976,20,258,2,88
"g14",592,375,172,103,143,308,80,208,154,1099,211,625,30,364,105,336,359,64,1372,528,3195,50,365,106,820,486,738,902,3506,219,140,216,80,315,318,408,182,844,248,35
"g15",4650,6880,9894,13490,220,4965,14688,3909,401,5722,17591,10288,6595,9011,28967,12100,6049,966,15750,10425,21508,267,1694,3967,7523,5525,11818,1922,6387,14454,7714,1991,12409,11719,6047,699,2425,6959,2697,15122
"g16",265458,91340,100648,91683,206574,105859,118598,132388,95762,125662,125153,207080,75903,200580,46031,121671,128543,109352,166744,59578,235073,115954,195724,196633,369101,125280,82301,381881,605577,172349,276750,329956,145094,223973,182275,263740,381671,118875,389991,252098
"g17",53530,75657,58325,65768,126830,76696,54001,101663,46934,132103,68543,75826,63874,177526,116685,116033,82635,85388,161406,76126,302298,55678,59217,97580,78463,47290,106903,81481,72540,100630,107774,108427,71064,166248,43432,55141,86121,59577,387543,52121
"g18",12926,10107,17906,12205,5826,3051,11498,12957,597,6342,10243,8075,15339,22463,8847,18031,5661,17981,9804,11848,35213,9463,10627,8528,8787,6790,20484,23945,43829,14766,7360,25534,24061,27228,12705,23527,29409,9392,39783,17025
"g19",288900,127229,163855,170588,234996,98817,267309,323434,131444,273635,294731,214733,123341,225815,144321,179188,83556,100365,198380,177689,587720,313129,62704,446418,298631,216543,391391,382329,494766,224798,370990,480488,444135,343433,137528,116347,246948,292979,471192,381792
"g20",128984,124812,64048,150757,108649,41542,110768,89505,37049,68887,130091,173389,60427,148163,108945,172295,96656,65466,143293,90961,323727,97508,86274,100080,238238,57393,48626,272683,213086,139863,193240,77156,81268,201006,110342,73892,199278,116489,172550,53815
"g21",47633,36898,51331,1788,5033,91130,13417,40515,34107,4132,10619,52004,15498,2161,12246,164050,16066,52352,195563,39524,1379602,75197,86120,234496,684352,1335,619997,45973,11768,380342,284606,4007,659295,295630,10749,173768,617152,149570,783041,461106
"g22",482397,230214,278087,99944,360745,137322,244204,305504,143057,144816,190892,285237,204104,346968,164337,563793,421127,210020,253254,218369,433814,120451,57301,630167,194126,107136,167397,384586,404852,222413,167343,134550,106594,227696,182660,109834,247424,173569,658290,43124
"g23",36856,32040,24829,33644,26050,22438,28860,48968,32524,21529,33643,23738,40578,28739,24363,32939,30378,30527,48497,40721,69120,21774,35556,30322,67170,33017,51462,108180,45897,32945,61524,56600,127659,122598,20082,23716,64582,27962,42194,24924
"g24",1016,2115,636,712,2676,1957,1255,918,957,1157,3812,1420,394,1099,662,1548,1777,617,1935,1191,3687,1099,1066,303,3145,630,1776,1968,458,897,3042,531,625,2450,1999,305,1553,566,649,261
"g25",202,318,157,349,518,331,91,208,88,471,384,398,510,305,179,557,427,301,236,326,2280,86,101,593,1318,194,273,546,184,975,794,338,140,947,284,105,844,311,290,68
"g26",26543,30548,37561,25317,58556,16783,19966,43206,38922,24223,50039,35764,24588,71758,18485,53556,46474,20708,36671,25191,73180,20855,27203,46169,81365,21028,37714,96064,33950,42558,77252,22614,33243,81926,15962,30432,48353,22098,71786,38856
"g27",68823,63357,67981,59666,68122,50031,47076,90180,50212,70015,94001,53207,41802,49822,45891,113286,78198,41443,56626,50558,249908,88545,30060,93321,158893,39893,77019,144224,144131,53703,171910,54823,102106,104895,99824,16815,104684,42989,265053,22707
"g28",67343,18393,42385,25679,70467,19543,33853,36392,52775,9966,47323,36770,48229,17461,14675,42826,58880,53347,34466,10462,27846,10995,26677,56987,51381,46628,14616,100918,39210,32756,57882,21668,36168,30520,61794,18901,48480,43240,35614,40769
"g29",156,7918,5950,4776,5290,884,1924,5250,1808,162,3299,2468,1793,5302,3259,944,4778,1263,12548,1029,12424,1284,1299,503,15966,2264,4925,21735,29321,1782,13858,64,4740,17838,1154,1357,9674,7812,10482,2401
"g30",46938,111384,77610,37143,94749,62776,133808,93965,104161,115352,137411,123017,95839,117649,51396,134700,40376,50556,93189,71568,272172,41851,61229,118337,300068,35549,217954,516297,128991,116493,139684,103188,62761,63796,73975,41639,208381,43677,135809,70233
