"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",384,226,127,369,555,292,99,485,167,618,522,211,335,190,784,306,414,527,459,598
"g2",1309,956,1194,2131,1479,891,1391,3949,1596,4096,19203,2822,6007,4353,7280,2991,2402,6500,9953,3946
"g3",454833,912765,521598,1813892,1536611,934088,1514877,1793202,1913872,1604591,1598338,4812729,966829,2033313,6271052,939174,5998014,8667197,8400071,3516582
"g4",6568,2472,6745,1937,5563,4433,2721,7887,2693,6870,6510,4056,9841,4853,9686,7208,12918,37832,10625,3946
"g5",1805,51153,4148,59902,73357,64664,2762,1,16371,524,12731,16728,40411,970,102322,13798,420,1334,20016,129346
"g6",388,919,157,379,829,795,206,601,183,522,390,256,61,2060,1202,413,2400,823,1610,478
"g7",6620,15534,75054,1836,22905,37380,82429,49274,19675,27413,21486,23839,13250,15602,26822,45397,23339,46736,20359,21029
"g8",47997,37305,65573,51549,83826,68180,49159,55319,34918,96899,61470,68142,65798,49987,69118,75606,137716,61656,28144,74406
"g9",8291,49880,134868,49579,61549,277646,149367,165973,110281,84524,122216,340444,118336,94167,163742,257651,329620,257060,107743,88988
"g10",210,3287,11167,1101,2854,10528,1931,1,29784,1721,16656,7340,179,1627,3944,10920,33596,358,442,216
"g11",94,315,30,229,471,0,17,5,0,1556,177,7,0,55,0,0,68,22,6,69
"g12",31,51,865,5,5,459,516,203,561,49,45,407,489,184,7002,617,870,1632,4064,1058
"g13",777,3,33,0,67,16,669,23,1,703,0,331,4,1202,1791,0,2,1108,686,83
"g14",353,89,215,93,201,777,141,425,51,715,903,53,863,32,632,160,20,4318,2112,666
"g15",6650,891,20026,3054,8055,819,5611,17424,9026,38785,45865,10423,22673,2352,24725,9906,26148,4592,10859,16758
"g16",151653,64626,77584,82740,136488,110765,125633,231469,77120,202519,103398,119690,120997,120317,165071,44426,61582,228536,259379,113933
"g17",73968,38810,119178,76964,80961,86919,99250,136467,84482,86032,204870,191844,126478,103177,150018,236473,348648,82982,124593,369720
"g18",2514,6970,15288,17331,36242,26377,6254,11467,10502,9727,1613,12973,11743,10417,4268,6449,58438,34067,6797,3920
"g19",136749,110181,238678,64010,156596,110560,194684,262154,121739,164670,88877,406515,285060,151105,196376,300741,290862,233781,347204,287430
"g20",136484,83621,35601,101501,79888,62334,112125,121273,48743,191731,357714,266536,250728,205814,246488,242846,310118,563998,293044,464457
"g21",6999,710,7952,6201,29678,104717,29930,328,1686,178597,17203,17675,45507,23102,7525,565,138674,10133,13628,103583
"g22",92606,204977,166237,196376,177318,471752,247939,168583,298902,534650,513080,367390,199438,456373,655086,757363,374172,1741712,399713,375704
"g23",40247,38197,25902,43277,16803,37245,26520,34593,32856,40447,41121,25679,51882,26050,70515,27249,128487,134676,129473,18565
"g24",1440,574,334,440,3331,2377,1603,1163,739,2961,4640,2150,1709,2356,5243,5300,11090,3630,5515,2748
"g25",385,413,467,368,683,412,285,773,151,664,958,219,448,339,1118,324,1065,1356,415,429
"g26",19689,27472,30959,19376,24585,22840,17667,40970,35214,27402,35095,34140,22572,23543,42501,32475,86590,58656,36824,37232
"g27",46943,72352,25259,45430,128759,73896,78256,86387,36608,78588,71796,167103,43630,90191,78161,58491,111906,71892,128319,69214
"g28",32471,13128,52637,46549,64802,32363,31471,86697,14836,57800,33927,83615,87663,22167,122792,74055,34704,87360,104522,133445
"g29",3357,450,5803,1082,575,119,10016,17887,7673,1188,14454,2444,4362,6685,330,254,11870,7806,713,2355
"g30",116465,83996,55293,51882,99950,82115,65883,177822,83500,161434,156096,110534,125328,20619,187190,62037,343380,261924,157418,184992
"g31",2565,2191,10318,5472,8809,7139,9856,9323,3489,11647,15261,10482,6810,4274,25188,16071,10080,18715,20041,7266
"g32",11320,304685,163334,130109,82084,270538,38487,12203,71622,162859,650785,287778,369369,268499,633551,226565,7785,299918,19356,356517
"g33",171454,33671,101083,33695,27256,146204,85764,77003,138353,210699,221166,68392,408546,206532,255542,90521,520146,233598,570332,527162
"g34",425,20652,6360,21378,51020,43009,22524,18291,39014,34874,37869,14939,78,8030,17058,10281,91989,24564,83968,25392
"g35",2141,851,1560,401,3645,3154,2011,3387,1211,360,1482,1692,3663,1435,6162,3615,5316,1128,1903,4308
"g36",23781,34921,58769,41313,11967,4063,204027,70630,12023,10948,62741,270064,24378,2249,494771,151751,283449,1080,22916,47075
"g37",141,6163,1152,1258,423,4,16814,8,6811,2147,6544,5717,1255,533,27032,18270,2,3820,1398,1845
"g38",1192,728,1772,1757,878,1135,228,591,561,1295,2268,2841,821,2348,6180,701,1274,3638,5016,8068
"g39",51667,81058,119673,121463,115320,140010,137076,211340,136829,212068,261117,245152,179846,114736,474736,230978,610117,246334,455066,285510
"g40",47129,106219,315545,58347,80891,113828,168367,34598,20072,188834,344795,173369,90716,130255,159724,241571,72956,200406,300354,381028
"g41",9884,16321,28377,767,20542,7676,18011,3944,13797,22476,10480,11378,33992,3057,8146,532,3680,2174,4244,19184
"g42",28397,39405,57743,6811,27349,114280,80681,27984,44787,72274,160941,53076,131907,56713,195725,110369,202644,395016,382305,160197
"g43",49874,39875,86484,24453,325745,18706,52319,37124,10760,40492,232026,115382,26251,68539,159663,132288,69048,173652,126765,23799
"g44",6547,20653,10301,16571,20332,21811,10202,33820,18946,44484,9583,36382,39684,28709,25792,34634,14953,46980,57056,21158
"g45",29653,114143,173585,175687,321270,8098,190810,111185,25385,40086,11001,252363,51767,39866,187628,314340,178353,98355,134063,91191
"g46",60834,31764,19011,9344,73636,15803,2014,23587,73264,211643,5193,23074,25131,39062,89888,9922,127107,146328,6483,85650
"g47",29485,32510,33079,16850,33643,31823,25465,12186,8863,70749,25848,24211,45850,29271,43414,7905,88716,52112,2572,2882
"g48",20378,48525,54672,30847,19555,48137,27791,59137,19317,33370,73634,84533,118752,47775,127536,92510,85477,124236,195321,141694
"g49",2594,18,153,121,1050,1314,28,41,96,3234,220,6297,841,109,525,438,771,525,170,72
"g50",6407,5650,2347,2917,4888,2644,4207,2756,2848,7023,3816,3259,1640,3928,2482,5333,8662,6642,5324,3933
"g51",735,3198,2174,152,341,16541,9783,35470,3423,5906,5102,5584,18945,10899,12782,9321,3474,18985,3390,22113
"g52",604,416,256,644,365,1162,749,1399,628,280,1379,1200,816,517,669,938,845,1713,1865,1226
"g53",34909,31362,61566,32883,60760,44085,46916,86403,47276,62228,82778,29589,42909,39053,41614,22616,75666,59603,20604,54233
"g54",37833,28746,56455,28112,29152,34862,106630,20262,19717,49637,28431,42117,21299,49917,88119,35918,75008,92784,35308,122036
"g55",8661,17125,26525,3789,24198,16738,41883,18186,16484,27508,5130,5349,31822,6631,18740,17277,20818,17399,10028,15684
"g56",112546,78899,149510,65281,125323,131402,55553,110226,58886,229189,496323,262215,262681,123374,217485,122726,194429,375732,318795,217665
"g57",14165,34640,29354,24007,36595,47427,28399,29385,34307,54344,43502,63023,39488,31006,46437,38232,147084,94506,24657,32542
"g58",39767,40671,126108,473,276440,24233,4158,762,32767,554,598293,389383,11330,437726,281192,20980,7632,202688,834,8340
"g59",962,145,1087,630,509,434,1288,889,2,376,12099,712,7,2751,321,2766,595,950,1830,1838
"g60",3294,3732,4108,4554,6223,1568,3766,1477,1349,3965,3,3845,3224,14133,1572,173,3893,5778,4742,12866
"g61",7903,13403,13705,21395,4033,28027,101415,56344,53083,1871,17886,88368,83778,18104,153500,144680,338545,181782,70682,28074
"g62",25337,10143,2583,18967,34752,25932,35775,11924,39971,4676,139695,10445,6665,82692,56192,3045,28950,30380,6303,14570
"g63",158783,112031,49623,27852,43296,138338,70442,299392,53871,23600,859299,140123,260249,96909,166414,251508,222438,103194,334612,183608
"g64",26311,6357,6392,176,1338,10337,1660,1593,13295,15963,137413,31061,48252,81514,111909,61930,13439,122910,5415,15570
"g65",15,583,928,257,780,202,299,1409,2953,476,930,3092,959,394,957,768,2561,284,3006,135
"g66",931,180,6,125,204,107,104,1007,397,124,558,665,1077,930,555,602,102,686,258,552
