"","sample58","sample104","sample27","sample71","sample34","sample60","sample81","sample88","sample13","sample56","sample168","sample214","sample137","sample181","sample144","sample170","sample191","sample198","sample123","sample166"
"ARHGAP4",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,3,2,1,2
"BCAT1",2,2,2,2,2,2,2,2,2,2,6,4,3,2,4,4,1,2,2,3
"CLEC1A",2,2,2,2,2,2,2,2,2,2,6,4,3,2,5,3,1,2,2,3
"NR3C2",2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,2,1,2,2
"PRMT5",2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,4,2,2,2,6
"FAM200A",2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,1,2,3
"ZSCAN18",2,2,2,2,2,2,2,2,2,2,2,2,6,2,3,6,2,2,1,3
"YBX1P1",2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,3
"COL1A1",2,2,2,2,2,2,2,2,2,2,3,2,6,2,3,4,2,2,2,4
"AC103810.2",2,2,2,2,2,2,2,2,2,2,3,3,6,2,3,4,2,2,2,4
"TUBB",2,2,2,2,2,2,2,2,2,2,3,2,4,2,3,5,3,2,1,4
"TALDO1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,4
"ZNF532",2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,4,1,2,1,2
"SNAPC5",2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,2
"COG3",2,2,2,2,2,2,2,2,2,2,3,3,4,2,4,2,2,1,1,3
"YIPF7",2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,4,2,1,2,4
"GNG2",2,2,2,2,2,2,2,2,2,2,3,4,4,2,2,4,2,2,2,3
"PVR",2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,4,2,2,1,2
"SPOCK1",2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,2,2,4
"TMEM139",2,2,2,2,2,2,2,2,2,2,4,4,6,2,4,3,2,1,2,3
"FAM240C",2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,5
"AL353743.2",2,2,2,2,2,2,2,2,2,2,3,2,4,2,2,3,3,1,1,3
"GDF11",2,2,2,2,2,2,2,2,2,2,4,2,3,2,3,3,3,2,2,5
"AL596202.1",2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,4,2,1,2,2
"AC011352.3",2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,2,1,4
"LINC01273",2,2,2,2,2,2,2,2,2,2,3,6,6,2,3,4,3,2,2,6
"POLI",2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,4,1,2,1,2
"AC245407.2",2,2,2,2,2,2,2,2,2,2,4,6,5,2,6,6,2,2,3,4
