"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",144,519,671,296,477,183,226,515,159,174,1056,218,83,205,462,244,716,612,344,236
"g2",1270,1029,1245,2036,2636,1662,2500,1383,1442,2283,3141,1732,1557,369,10430,1928,4070,3057,3297,2700
"g3",1931047,3286165,511059,1215095,1160355,2389417,1107536,1586815,1197805,807120,2602937,915174,1508767,2324856,2805458,1246727,3855100,9992035,1231025,7275768
"g4",4021,5347,4547,6205,1577,2113,7938,1574,2807,1194,7469,4303,11432,2950,5754,3279,9976,17329,2772,39854
"g5",22515,1631,2794,39163,6723,9373,2098,4797,514,49952,12820,49,1643,3753,16902,736,1476,8663,79154,30332
"g6",797,528,374,1170,512,521,44,637,81,941,190,886,789,681,486,250,852,3129,87,414
"g7",38994,21708,31863,33449,8133,21382,36798,8986,31475,17497,129759,22147,64319,23054,18031,9664,32106,44166,36600,13263
"g8",56076,57491,45235,38609,52710,40615,53388,62805,44649,69068,69209,78192,66150,51630,82122,62474,153768,69576,72396,118368
"g9",60250,56030,109817,73290,63721,111142,112472,56398,151723,113409,168101,81132,358293,297765,98782,325007,649896,552974,236581,158608
"g10",5253,143,16599,9428,44,413,31,258,1068,1683,21576,12614,313,56,680,1695,1620,68080,25928,11460
"g11",202,35,0,507,18,247,0,40,43,20,8082,0,0,0,292,314,80,0,634,479
"g12",518,90,555,203,848,162,2690,41,34,247,828,51,748,729,26,838,22,474,84,563
"g13",1,20,1660,173,45,439,675,6,0,30,1589,495,4,382,1,7,0,128,2430,582
"g14",123,95,83,80,351,18,286,362,364,257,318,111,27,723,94,130,912,674,386,144
"g15",4111,2043,996,5814,3767,5455,11092,11169,18949,761,87453,8832,1416,1150,9995,532,43592,10092,6940,14804
"g16",129860,194298,151172,150538,98646,83958,97924,68765,126023,102700,139979,326467,172653,215486,128868,216280,134735,361469,421425,395762
"g17",117227,76577,74807,82983,53290,62198,154634,60084,94138,123939,196743,75517,80431,55793,47642,73221,133423,107269,50011,223412
"g18",37352,5699,8021,17380,7891,10328,4901,8309,6338,7772,26559,7459,4939,2960,5712,3176,14060,19824,5172,5204
"g19",184412,159394,184251,192808,179374,115212,252112,111995,281442,140180,211794,279829,174316,105769,96682,164382,259875,266499,370061,315824
"g20",148727,173553,99947,152641,70287,70036,100194,68534,134738,154387,288864,172592,146220,51516,249224,168321,130380,344063,293802,619941
"g21",180878,20740,25367,9707,14131,2463,30890,10285,239033,1696,179337,91680,38379,16266,28196,221895,3945,108392,38543,361393
"g22",262106,237522,197920,231334,253871,258299,297025,197093,305072,301346,372968,145371,150701,170257,329595,281085,251807,764100,609222,306854
"g23",23763,59534,20339,21151,14076,24158,25429,21481,27344,47900,22470,38797,31214,29708,46169,45204,108426,128979,66236,53372
"g24",95,707,2676,1483,1210,1168,1073,1101,1473,299,1394,1904,607,756,1723,262,4018,2864,1844,6648
"g25",570,74,506,373,324,255,206,238,411,412,1373,212,625,463,670,186,1043,3495,837,626
"g26",28831,42682,25085,22300,24100,25213,32955,20393,28739,33906,75105,32858,32554,31649,23163,23442,55866,53948,39036,142482
"g27",45574,126363,38230,84976,69587,43493,79552,68270,68833,53064,130104,43400,35428,80560,52632,53847,20020,174828,240401,121718
"g28",83730,30414,23275,19289,23545,22963,11057,6017,42863,66714,50567,98453,112575,28479,42557,21383,146754,110104,338316,68283
"g29",5241,8611,4244,4493,5222,158,1355,1113,7391,1146,5806,2045,2472,4900,14382,5001,5388,6480,1800,1719
"g30",53448,171176,97327,68544,40787,109940,127119,109064,113396,103554,142654,68764,30179,36751,122433,26179,104986,312942,57746,225681
"g31",25242,11236,18097,1588,1578,3524,9719,3632,9569,12747,13107,7483,6611,1589,14358,6191,9930,10823,8743,25152
"g32",20062,292270,67889,94110,86573,83681,4211,23718,42542,61812,237110,78762,31631,168314,146756,102910,166941,179618,935862,549381
"g33",72449,77955,94015,114378,35122,145249,122593,79313,83364,46347,59798,63595,27612,56573,102404,34047,268629,72296,68124,230376
"g34",16965,23115,1096,8013,16328,8003,4155,24605,19513,18415,18621,12769,21261,11831,2008,23586,93972,81741,59573,37212
"g35",2214,677,957,2568,1501,1443,2320,2047,3870,3658,3045,1684,921,2121,2896,1386,2423,2012,1301,3106
"g36",109990,134109,139,87904,65743,3067,968,33323,24,137610,261555,5450,28741,93813,3,812,3,1197,79802,9494
"g37",6001,15821,1389,15168,2517,19005,1120,734,1929,0,0,6005,3750,402,36150,57,3975,810,12966,2324
"g38",2436,935,920,2511,865,1650,3407,979,1586,1959,5453,2028,1195,682,1890,1491,1640,2562,7995,1418
"g39",163732,68997,106999,70433,32763,46467,42783,125334,169729,157220,100556,149695,120344,67166,287980,106448,258633,213188,166006,352468
"g40",179625,247521,24969,96697,119393,100638,134817,64286,179062,62871,99270,469568,215233,177279,164476,204766,211620,96726,835116,439240
"g41",5540,1783,5364,5312,3995,8850,22182,584,11814,13324,45963,1194,13878,7629,797,24836,14737,45857,9523,21434
