"","sample61","sample14","sample79","sample108","sample98","sample80","sample60","sample16","sample28","sample12","sample93","sample75","sample96","sample41","sample104","sample63","sample71","sample52","sample84","sample2","sample92","sample90","sample70","sample29","sample83","sample82","sample23","sample86","sample18","sample62","sample43","sample19","sample44","sample103","sample25","sample6","sample102","sample106","sample65","sample22","sample171","sample124","sample189","sample218","sample208","sample190","sample170","sample126","sample138","sample122","sample203","sample185","sample206","sample151","sample214","sample173","sample181","sample162","sample194","sample112","sample202","sample200","sample180","sample139","sample193","sample192","sample133","sample196","sample128","sample172","sample153","sample129","sample154","sample213","sample135","sample116","sample212","sample216","sample175","sample132"
"GBP1P1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,4,2,3,3,2,2,4,2,2,2,2,2,2,3,2,6,1,3,3,4,1,3,1,2,2,2,3,2,2,4,3,2
"PREX1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,4,5,4,2,4,2,6,2,4,6,4,2,6,2,2,2,4,2,2,4,4,6,3,4,3,4,2,5,2,3,4,3,2,2,2,4,3,2
"KRT40",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,4,1,2,2,2,4,3,3,3,2,2,4,3,2,1,2,1,3,2,4,2,4,1,2,1,2,6,3,1,1,1,6,3,1
"A2MP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,2,3,2,4,2,3,4,5,1,4,1,2,2,4,2,1,6,3,5,2,4,3,4,2,6,2,5,3,3,2,1,2,4,3,3
"BCL2L15",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,4,2,4,2,3,3,2,2,2,2,2,2,2,2,1,3,2,6,3,5,3,4,2,2,2,2,3,2,3,2,2,4,3,2
"RANBP17",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,5,6,5,2,4,2,4,2,3,4,2,1,4,2,2,2,4,2,2,2,4,5,4,2,2,4,2,6,2,3,3,4,1,2,2,4,4,2
"FOCAD",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,3,3,3,2,5,2,4,2,2,3,5,4,2,2,2,2,3,2,2,4,3,6,1,4,3,4,2,3,2,3,3,3,4,1,1,4,3,2
"ARTN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,3,2,3,2,6,2,4,2,3,3,3,2,2,2,2,2,5,2,2,3,2,6,3,3,5,4,2,3,1,2,3,3,2,2,2,4,3,2
"KCNJ3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,1,6,2,4,2,3,3,2,2,3,2,2,2,3,2,2,2,4,6,2,3,3,4,2,3,2,4,3,3,2,2,2,4,3,2
"ZDHHC8P1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,3,2,3,2,4,4,2,2,3,1,2,3,4,1,2,4,4,6,2,2,2,2,1,4,1,5,3,2,2,2,2,4,2,2
"CHROMR",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,1,5,2,4,2,3,3,2,2,2,2,2,2,3,2,2,2,4,6,3,3,6,4,2,3,2,4,3,3,2,2,1,4,3,2
"ENTPD7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,2,2,2,4,2,2,4,2,1,2,2,2,2,3,2,2,2,4,3,2,3,2,4,2,3,1,3,3,2,2,2,1,4,3,3
"AC007461.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,4,3,3,2,4,1,4,2,2,4,3,3,3,2,2,4,3,2,3,4,2,6,2,4,3,4,2,3,1,4,3,3,2,2,4,6,3,4
"TAF6L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,2,4,2,6,2,4,4,2,2,4,2,2,2,3,2,2,2,2,6,2,4,2,4,3,4,2,2,4,4,2,2,2,4,3,1
"LRRC37A4P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,4,1,4,2,2,4,3,1,2,2,2,4,3,2,1,2,2,3,1,4,3,4,1,2,1,2,3,3,1,1,1,6,3,1
"AC046143.1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,4,2,6,3,4,2,3,4,3,2,1,2,2,2,2,2,2,5,3,6,2,4,3,4,2,4,2,6,2,3,3,2,2,4,3,2
"ARHGAP17",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,6,6,5,2,4,2,6,3,4,6,3,2,2,3,2,3,2,3,2,4,3,3,3,6,2,6,2,4,2,4,3,3,2,2,2,4,4,2
"EPB41L2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,6,2,2,1,4,4,3,2,2,1,2,1,3,2,2,5,2,6,3,2,2,4,2,4,1,6,3,2,2,2,2,2,3,3
"FAM151A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,6,2,4,2,3,3,3,2,3,2,2,2,2,2,3,3,2,6,3,3,4,4,2,3,1,2,4,3,2,2,2,4,3,2
"AKT1S1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,2,4,2,4,2,5,4,2,2,2,2,2,3,6,2,2,4,4,5,2,4,3,6,2,6,2,4,4,4,2,2,2,4,4,2
"CEP70",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,4,2,6,3,4,2,2,4,3,2,3,2,2,2,3,2,2,5,3,6,2,4,3,4,2,2,2,2,3,3,3,2,2,4,3,3
