"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",405,131,146,235,170,376,161,195,109,248,236,144,563,342,156,364,444,147,297,304,639,262,235,335,1222,344,410,519,267,460,456,647,140,496,326,109,630,261,148,397
"g2",4415,2169,1716,2556,634,2807,794,1802,1874,7137,3449,2151,1911,3176,1074,3185,4210,3084,3229,1760,6333,3997,2949,1416,7697,4670,3324,3213,1410,5466,3124,1528,1090,8682,1653,635,5728,2598,10208,1652
"g3",4060531,1552209,958657,2626061,991370,1743042,870683,4504811,1078989,3054505,1424593,2376492,2812069,1227039,558820,1803291,1614648,2197467,2395061,2689899,1711652,2202025,2514355,2319054,4129472,1472587,4104326,3941455,218667,2234874,3476896,1802015,2429991,1549004,840500,1371994,908126,3160801,6318963,2108328
"g4",10853,6647,831,4194,544,928,2703,6379,4584,3082,3761,1993,6585,2043,1662,4932,6436,1768,362,4014,2235,1486,1818,3532,3674,1956,2762,5411,3821,11678,16454,2168,2046,1271,456,858,2512,676,7720,1424
"g5",43522,61098,2355,4901,1179,26878,5871,46937,23732,25769,3327,451,150,8202,19980,6765,1088,4569,3836,1356,4,23015,5602,556,4666,26595,103638,17210,13781,42232,22588,16723,12994,678,48,501,2058,26735,76320,345
"g6",793,423,161,103,27,646,245,1408,269,210,585,22,641,1091,124,259,1562,1192,1189,835,586,465,771,1245,448,75,212,4886,822,312,842,510,295,1545,353,1152,462,543,1195,727
"g7",25843,34658,14551,17076,11036,13873,20043,12708,15922,61239,42891,7810,29786,29659,14311,33772,35217,67091,35423,13421,78489,10795,16157,27472,52501,14222,27374,85994,13862,48020,39480,44503,3388,90412,5385,18531,8413,3517,125085,31982
"g8",68666,72070,37219,71501,58837,57982,46452,88829,52018,60931,51180,33992,58439,50056,37385,58204,43712,61891,63716,81289,118257,112787,103629,119568,117320,140039,237660,64973,56473,335526,306698,82292,91713,370610,100098,75835,156876,70483,278670,107063
"g9",355871,350607,51150,153253,66233,36002,75431,22819,32452,185762,188481,145987,33391,21424,177394,52685,180120,17915,85588,31677,281072,364178,122941,24634,155254,47813,138156,100128,71064,88686,206330,140047,80702,162459,28608,199933,66040,57581,53751,57228
"g10",15151,26,19918,5962,5339,81,2750,9247,610,19674,10095,2351,1159,1244,1,15690,864,1291,9320,223,2466,2935,0,1244,46244,278,14504,1496,232,2600,1692,7,289,4615,10173,9546,8,187,2362,12871
