"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",639,155,33,30,840,802,289,35,562,447,396,882,220,667,89,332,127,300,588,347,396,378,320,423,175,376,580,290,519,372,478,52,113,268,143,132,414,806,410,237
"g2",1131,745,350,1637,1326,1610,1265,1636,1532,4298,3488,1708,2114,3154,269,2179,1203,2516,1313,1104,9066,4877,1360,2187,25067,10285,2506,8972,11576,8588,8484,3194,1560,7450,3092,2380,14950,6836,5104,3439
"g3",1276250,804680,1396451,802234,804701,1604502,1209858,1505003,2046047,1221149,1870384,2148900,668880,715427,1795108,1611095,882501,3653618,249741,1315704,1667159,2253716,600976,2479782,1909366,473253,1869916,5636411,1028841,5325940,3324660,2184777,1170235,3698774,1551569,497311,2940156,3993276,3563293,1781571
"g4",7953,1582,1578,1929,2509,13829,8367,4986,2438,6841,4262,2204,6351,4320,4738,4197,3275,8141,5215,1411,5058,16981,11997,18945,13536,3453,10956,29187,6291,24622,25774,1453,6910,10944,4155,6422,32958,6562,11298,5962
"g5",59302,1234,7860,23588,5307,9566,10533,56,0,14855,29296,20313,1751,20358,55,56735,4369,23444,3535,9613,147,42043,10238,681,16748,207,312,70,22211,18,19962,20901,75811,6000,8669,7086,1712,10401,1010,19
"g6",320,349,523,1090,46,198,442,193,617,1826,1991,831,1754,464,115,233,358,1481,724,29,75,320,336,147,54,998,928,693,477,1174,2694,337,423,836,113,724,3554,808,3905,311
"g7",88298,11577,28504,30855,21972,74852,23946,24578,39061,39444,23667,33646,10598,23509,38274,40576,31229,61141,28644,16239,48822,9800,24842,13171,10022,33129,13192,40578,36852,5853,26826,27267,2001,55400,11312,14338,40981,9892,48783,12002
"g8",65519,56770,49530,67585,40664,61683,58757,54082,46093,62438,54707,102834,36339,68824,54632,72554,32935,50916,52437,48940,42708,60302,25852,50905,55394,42574,115788,48711,40224,76316,63066,24139,31008,123440,58027,30734,92224,32466,86028,64399
"g9",196835,40961,62330,116952,141360,168613,68517,324866,19861,193033,175653,195987,74298,52856,41387,117634,76150,52366,57574,79375,73949,62321,74564,108410,186900,100947,404380,94256,42554,65746,101204,25807,104918,451899,96850,38685,168396,116847,272931,16798
"g10",14294,238,252,734,874,20,331,20,12003,336,353,153,3230,0,76,0,688,1477,4165,28,12177,219,1332,6696,532,5999,23526,6802,16,935,2394,1783,0,3,22280,5435,1145,3088,1,2443
"g11",359,20,26,0,0,110,908,12,586,31,306,1356,3,946,1,309,131,9,48,5,3909,0,834,698,0,1,0,146,202,45,4428,8,0,1543,0,471,726,91,18,114
"g12",385,516,85,85,212,195,19,75,678,315,317,340,132,52,1145,635,72,59,28,949,2526,1348,530,23,758,394,1472,230,574,1116,2028,405,689,220,906,1376,396,83,378,1382
"g13",13,491,81,1007,2,0,64,26,1,205,1623,0,0,0,114,0,6,1,0,75,43,637,0,195,2,243,242,0,119,59,36,566,0,40,741,81,341,538,0,0
"g14",453,102,952,346,368,527,543,448,518,432,46,128,283,427,441,142,222,50,102,331,627,313,260,943,602,643,966,410,1354,671,950,412,97,928,320,1383,455,768,462,1029
"g15",9158,17472,13307,4372,1132,14639,13215,7029,2365,19019,2779,9119,6794,5727,81,6596,24684,5797,29609,8132,39365,4012,1999,12915,8354,6910,12080,22566,5422,2194,7076,6220,828,6240,7967,5153,4759,10022,16539,12892
"g16",131037,50785,120619,192732,51443,158678,32216,115843,109029,226768,83666,200446,66595,83392,79865,120737,77436,242637,103367,41561,183447,344657,112985,408108,249011,449184,272625,277800,469047,244538,338512,185135,153485,638931,268267,126200,229007,114186,386306,203437
"g17",124838,117287,83389,127120,83041,102143,93157,163315,63671,111566,133066,105642,61340,57511,113089,118529,64355,156267,97272,66979,138525,116086,32317,92005,90769,58906,251278,44817,87403,109632,153522,56395,55486,268386,42389,43474,77435,93762,170073,77611
"g18",6372,7273,5699,5353,8650,10181,8637,43554,12000,16308,16304,18039,12736,24229,7001,23030,11566,30590,16635,14262,5538,5817,2869,8806,9351,3453,16474,12878,31914,2274,17558,1460,4604,23298,15860,12716,4908,14736,4148,33666
"g19",116098,86283,143389,225441,117039,254863,135390,146735,76148,316618,251403,240686,114214,155372,158308,118305,120448,136033,139359,204476,188490,268890,98451,202282,213751,255058,483294,115368,167867,247296,664892,98752,199610,363131,234737,128666,222293,222858,736620,312323
"g20",106722,95108,84014,58102,34987,82718,69411,125201,55596,90618,149975,113183,61921,100063,78955,84065,113742,163977,99931,63821,222777,82171,59938,119814,183088,97353,98141,181593,233106,169041,92140,88651,59851,138164,69663,61188,270602,112718,158757,107200
"g21",21061,106188,38813,5570,1407,38232,41728,135763,550,1841,14703,29201,19208,63128,2347,28777,24140,285860,38592,18538,5285,59279,17910,21826,5135,96606,281666,101829,75239,60358,387982,14266,55029,91798,987,12262,1118,1739,282674,113370
"g22",169018,354023,48432,429560,128812,487240,247876,233598,150227,120738,334912,233470,231399,233253,115667,129613,145041,306278,463134,152910,378201,150194,149322,150261,202969,121222,278767,150352,126722,136200,124943,60888,78890,302344,284471,101084,82040,60879,177774,88477
"g23",51382,28602,30814,51434,28343,25133,45375,21757,12553,63947,35791,30056,23961,13752,29521,47063,25361,25219,33884,16805,24312,40925,19228,34472,25046,30466,92214,47952,38364,40402,58238,15571,43922,75270,36075,27042,13588,24291,24749,17427
"g24",1491,636,4035,884,801,2615,1190,207,709,3157,3422,1940,543,1312,1917,886,865,1254,1887,471,611,1463,761,857,1288,607,1656,2058,431,2073,2648,580,175,1568,703,237,351,1180,942,2374
"g25",185,111,318,527,125,248,203,308,659,198,237,478,541,88,373,810,259,647,355,581,155,273,334,1368,1902,754,480,357,194,804,444,1168,214,1089,1259,300,932,1100,4378,801
"g26",23551,21064,28310,50436,17673,26065,15181,24860,33984,49195,17524,31575,16634,16290,31537,46565,31620,43972,43973,11132,268168,120586,84823,61713,132479,104641,192610,163820,69802,132078,218472,67284,76896,245981,76774,57606,112365,128591,183930,86245
"g27",77904,38011,50412,84729,35434,55088,46171,58337,53754,96588,72658,155491,41086,92524,43307,118052,35086,150153,55097,58113,120045,125980,38280,48392,63272,21526,81725,73223,46119,50303,127328,77338,62592,121620,139199,32843,99741,62358,354363,63959
"g28",52484,13742,19001,38247,27965,53049,38112,67759,48107,58802,35868,54711,26162,28482,50008,16120,24444,34686,105941,26688,59442,55605,34611,24155,87051,46737,93410,52340,78410,53049,164712,47865,69295,85479,59739,71312,14818,22946,19068,39502
"g29",2325,4065,197,3725,9924,1573,2411,1701,5179,1517,6117,12376,4507,3525,1149,3441,3101,11014,336,4758,6832,490,1005,3972,16814,2190,3455,29355,9518,1490,9646,1523,4898,18472,100,8855,7649,13310,9076,463
"g30",27864,83541,71265,160984,43380,180854,138790,100878,53205,158824,182232,106664,48250,78026,81898,67851,41602,126577,170680,67386,177548,35048,52816,59611,283173,42757,131090,233055,83005,121887,110840,38187,25432,100233,113923,22845,57496,45473,76993,87884
"g31",5624,4068,12116,6157,4471,12072,1862,9912,8564,7219,5996,8407,4196,5756,875,5813,7923,13642,6217,1640,41091,30392,4918,18338,23495,6972,51120,11268,10835,12453,19766,3481,6780,8518,28076,3745,2029,16054,31178,17253
"g32",36712,7596,70118,54966,31472,227586,62095,90525,48381,46863,55135,20621,28769,29943,17955,93507,237232,50933,143335,117657,217163,99900,36163,117667,93185,36809,37749,32562,143679,146403,239246,57549,4268,88716,198341,113984,72201,17354,134140,39497
"g33",182853,21230,346937,61726,12812,137636,24629,129366,39790,178546,85503,111934,86820,45993,73935,56715,151525,110725,44020,79120,511848,48750,65787,91345,678972,112869,971028,277818,324906,223516,163614,207621,209901,162533,121067,156645,321822,263760,229545,249305
"g34",24877,2640,2402,6573,2031,23435,14219,14393,6556,31162,40280,26914,633,12573,8588,78615,2720,56133,33518,9592,79191,18651,14568,26482,75390,79958,120384,20523,92670,171258,63458,46635,51103,61297,78447,3301,6951,35825,43704,8098
"g35",3529,1046,1222,2977,1025,1243,1587,439,2605,3357,1033,3403,614,1665,1331,1905,905,2770,1990,2333,1662,1815,1934,555,3688,6707,3285,3738,2535,1908,5860,2296,377,4299,3190,1201,5006,4235,1434,2851
"g36",16146,160631,87546,33698,76923,30704,31432,1841,43476,1699,18875,211472,5285,17045,101454,242718,3586,90933,79383,265,43635,10870,50349,9141,10760,229053,32363,13748,11156,28511,112500,60370,45705,107,52072,171,41671,23304,2944,28170
"g37",23290,27,1903,339,11365,14099,18965,18912,6641,230,81,7,649,1946,47615,1145,5317,6051,2985,823,1220,1378,242,3339,746,1539,5052,933,46,697,24396,1644,14425,40795,6395,1897,4022,5859,5,426
"g38",1927,511,1971,1892,870,1237,915,2204,753,966,2939,1609,1648,953,2917,1170,1172,1648,1148,780,460,5432,957,968,972,541,2840,1766,5199,3241,340,900,551,6184,1230,481,6786,2482,2678,1200
"g39",60467,102501,168397,92559,40339,202060,125667,167547,136439,283082,87974,191703,53445,37662,29148,181793,57631,72916,94143,77088,121431,148396,93870,128783,184044,46807,304507,88078,254568,141040,186208,64746,66118,137810,93629,103524,133124,54528,56333,119945
"g40",191962,105752,238502,412631,149910,183249,130183,32848,120488,237868,130332,236301,150453,126894,279960,105155,140067,53646,51244,76713,209178,136097,165850,164102,82866,203167,676617,36272,602499,201051,179236,59747,14761,77264,222163,41578,76281,75629,98426,215328
"g41",7264,2864,822,2999,3346,5882,18133,11232,11203,6361,15985,2656,3262,10369,13029,2705,5509,4188,3638,8770,20855,9423,10278,16508,300,2658,17351,1392,13959,1790,1270,2482,3920,4382,1656,7,4650,4798,16459,4277
"g42",23530,27740,80932,74108,67687,21909,51394,70368,9064,136385,51024,40260,46408,56369,38842,159476,98481,86841,50248,72950,169605,158684,136204,114373,81993,104031,425550,198699,269590,546606,37554,13270,79837,107616,48651,16604,118327,42434,374862,239594
"g43",18936,35312,12976,13385,13018,47996,21487,53033,35064,80111,5253,29278,6680,11821,29027,32123,5774,1468,26239,4571,82413,20730,23873,54189,338550,149251,122703,57621,38305,93504,96200,30897,55803,24461,28721,8409,20423,35447,69904,21850
"g44",27950,27659,28397,52483,31462,20323,31667,30854,33074,19491,43704,86622,10578,29280,28396,25397,11063,31645,16942,39771,15797,29138,15285,39732,27777,37577,20628,52018,25169,11831,55106,13264,6418,30108,61312,9148,13360,7845,49156,18306
"g45",59826,230867,32543,20142,26974,89333,24442,363687,310812,3534,19894,485551,80169,42978,359959,110896,79336,389638,87438,34903,447630,15491,27372,192308,585043,599123,150315,93249,178080,1064973,44576,24921,28156,219646,109771,55562,60611,57965,106934,148563
"g46",13070,153919,32319,58091,45127,57154,3194,54755,55405,27589,12569,39536,28835,76682,40681,9593,104576,140537,39122,92755,114123,15243,14442,20355,541453,11401,220278,103200,139175,614202,229648,76712,231162,258915,407825,35612,91084,108253,325824,101922
"g47",6675,12318,2509,33258,20670,6078,21512,17518,10834,11919,7430,27140,23145,9774,5738,7562,17080,21120,28368,8177,8933,17427,28307,38807,64666,18623,21618,30120,70610,46140,28654,10540,26251,26295,38845,21091,45862,84775,6833,67587
"g48",43730,32246,21528,59694,16560,41985,38292,49464,37845,66119,47170,33902,36052,28626,26633,39508,56019,43861,42965,19926,59494,81672,134019,47211,102748,87593,76831,136551,141693,155477,174475,73906,103394,174788,78292,64197,118341,54314,213435,172062
"g49",280,1060,2067,1035,0,960,35,254,945,20,101,13,74,2795,1033,1101,793,5302,1014,33,10,722,2271,743,155,1539,3837,203,99,891,1098,2694,2234,834,41,469,128,147,482,368
"g50",1140,2044,1972,5173,2403,3257,808,3734,5435,7807,3812,6750,3717,1589,3905,2633,1277,11885,1467,2770,4157,6935,5565,12494,19840,2489,21170,5634,6056,1424,8888,2064,3420,4133,10442,1362,23538,4134,7230,5988
"g51",1814,4466,4518,3920,106,1810,4284,292,816,103,1302,2588,10544,5902,14888,2308,7046,10955,6857,79,6596,11,2305,5648,2426,13106,2211,14723,1088,25653,2610,33,445,18190,11071,1176,4484,11269,24830,8082
"g52",451,670,449,663,232,436,378,1823,1524,1071,958,794,598,864,408,869,706,405,360,236,3867,1451,518,1204,1088,2210,7475,2682,1013,797,1826,1576,1793,2520,1286,624,470,1690,5078,2229
"g53",45802,40403,37971,74296,40725,38836,49668,57327,29421,56128,66471,55472,22329,53183,33086,46246,28955,71726,36414,37223,164950,60221,33347,83467,122500,29231,107411,67602,22947,77286,80056,52274,25340,142496,63862,32471,62864,59018,63250,77332
"g54",25548,34975,31289,51438,42329,46017,23782,56435,39891,100302,53679,44570,40072,44704,19840,45977,31915,61111,40032,27550,31851,52240,55222,45711,64793,53753,197744,58814,134908,114320,68696,31327,34083,86950,57142,28747,69700,58704,97370,28012
"g55",24136,13102,21405,25281,16271,18158,26930,37917,21317,32697,17079,4606,7195,11808,5825,12478,11818,20361,9361,7990,14943,5922,12710,18532,15092,18314,37420,22365,14393,23154,43908,4655,12716,18381,15172,6205,30454,3781,5888,25731
"g56",119408,100671,94435,74180,54493,128115,87758,106512,99965,115742,156875,245931,45710,23540,84759,50779,97830,132231,214467,55767,549845,511071,177723,470456,664650,392904,793712,507468,2211579,1656663,662294,376425,116077,1200602,265861,168608,1457595,414408,287848,538583
"g57",72666,15682,22976,28739,33462,41942,39647,49291,17283,42742,37372,77836,15733,31054,31739,65773,42905,55926,48708,26960,27288,33761,23935,45857,34362,37909,60762,55557,67154,22854,78610,17716,122563,63402,47304,31917,70620,43030,33461,34962
"g58",494959,190664,349379,90227,83176,2187,44577,106866,93358,5478,62688,2022,693,30,77394,570,491281,156111,36124,37669,135281,188745,11644,11324,113121,15904,4845,60140,68786,34706,23136,30741,57361,12645,342581,24399,3630,242676,110586,22305
"g59",2211,354,10700,19273,1,2658,1,4503,620,20,2664,47,1,4,363,81,0,2244,106,781,7461,1925,2730,30,628,42,29,0,6010,1769,14,609,0,0,0,164,15770,13857,11212,6
"g60",20757,21668,105,10813,7842,46092,8070,50,821,7135,3340,22,5271,319,3691,53812,291,8667,81,9622,17457,62,11810,56878,15,12876,13655,14148,48108,4246,6932,1112,29460,65948,1850,35364,4054,35397,41613,41487
"g61",36126,11762,117432,53181,48946,98278,49184,129150,13220,116112,133692,69304,127899,19765,51419,15066,22410,39338,82033,36142,4750,63367,51209,40977,17908,137930,39695,122462,66683,145608,53742,79597,13755,25190,35179,70152,48908,26412,61252,107896
"g62",25977,19888,35090,18631,733,4421,13026,5946,31873,11040,1789,50769,4624,52338,37699,2441,20572,45416,15521,37622,9996,14614,21358,1937,21244,5592,8134,49271,65663,19511,48312,1325,4364,11625,9449,1709,30444,19022,105585,28837
"g63",104706,92165,20207,188904,137205,196479,39373,45060,106873,140333,163657,137268,19458,90224,50354,25848,115415,144822,141413,33729,1000860,517769,135028,228904,477428,638600,610596,428348,819820,72855,374022,160315,81014,607895,1017130,442581,275061,643744,2825956,105765
"g64",49650,7949,35259,28662,183,5001,6093,816,2611,6645,28450,17945,16772,31689,6308,8358,20044,18090,956,29747,53845,111993,27616,59713,10635,20473,12510,15850,140352,176694,63952,36522,32051,238284,60557,22475,209175,16130,11746,27687
"g65",6,398,916,218,51,152,330,376,321,869,97,1646,561,15,236,1786,1386,20,194,116,23,7586,420,6787,30,433,411,1260,69,5946,882,545,3036,922,1043,272,2202,181,2115,47
"g66",489,67,29,69,472,275,67,26,373,676,733,26,314,158,772,768,1722,214,634,1799,1325,2522,1057,1308,156,985,1488,1762,11646,2664,3018,89,279,1728,2601,76,1209,824,563,1452
"g67",94,11288,10640,11966,29420,266,68,65242,32267,59,4981,1065,15,997,96,16618,55735,13545,38039,1727,1628,31644,3748,27175,5468,28402,21271,5549,8425,972,17222,8580,23181,17633,4468,31572,21924,6727,2899,32703
"g68",18619,43580,25223,1905,12579,23086,9217,57000,12968,19070,4431,53361,14890,22191,9342,80453,53365,67291,16872,87013,17013,71349,48622,15652,70547,16767,100656,691478,69213,176380,23890,30728,15112,161293,32721,98376,76558,3907,459866,9357
"g69",32684,5400,25054,37797,49256,7189,9298,20958,37668,65316,62846,22455,55146,11710,44600,27962,34934,33540,10950,24174,30111,27338,26818,58548,41846,9544,59643,72000,48690,93123,28748,32692,18675,20946,112209,7301,15656,27587,16146,27461
"g70",5331,69561,13647,2833,9305,3472,17877,39443,3798,35305,16391,9918,30794,14227,38794,2042,27114,55875,46653,1086,163233,66190,15545,443,15090,4190,46468,47421,12110,386,36050,12160,14415,48022,18506,27233,108600,110065,4626,48624
"g71",215435,135438,87658,111071,69996,314737,72400,179166,91193,224684,115714,380194,164244,211270,197393,260730,104631,353219,236927,153825,156140,265842,54726,192165,161653,132681,309719,250986,101627,205178,147664,68198,38303,75955,175532,166858,112974,116261,198195,89544
"g72",83033,39853,26046,124290,34894,59623,35131,58607,85928,55949,91696,101516,17978,42731,47995,46226,27096,85713,74398,59014,95471,53044,41363,92624,73480,80599,119138,174344,61748,77680,108220,23562,77412,120388,111267,31347,129812,46851,86273,82818
