"","sample39","sample8","sample2","sample34","sample59","sample67","sample71","sample44","sample61","sample15","sample106","sample50","sample89","sample1","sample17","sample110","sample41","sample73","sample10","sample82","sample149","sample118","sample112","sample144","sample169","sample177","sample181","sample154","sample171","sample125","sample216","sample160","sample199","sample111","sample127","sample220","sample151","sample183","sample120","sample192"
"SH3BGRL3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,0,2,2,2,3,2,4,2,2,2,2,2,1,1,3,2
"TMEM81",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,5,2,2,2,6,6,2,6,3,2,3,6,3,2,4,6,5
"SIGLEC10",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,1,3,2,2,2,4,4,2,4,2,2,3,4,2,2,2,4,4
"FIBIN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,4,2,4,2,2,2,2,2,1,2,3,4
"AZI2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,2,1,1,3,1,4,2,4,2,2,2,3,2,1,2,3,4
"C8orf88",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,3,2,2,3,5,6,2,4,2,6,5,4,2,2,3,6,5
"CD46",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,5,2,2,2,6,6,2,6,3,2,3,6,3,2,4,6,5
"PET100",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,5,2,2,2,4,1,2,4,2,2,2,4,1,0,2,2,3
"AC021205.3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,2,2,2,3,4,2,5,2,2,5,2,2,1,2,4,3
"TRGV10",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,5,2,2,3,4,4,2,4,2,2,4,5,2,2,2,5,4
"AC099343.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,2,1,2,2,2,3,4,2,4,2,2,5,2,2,1,2,4,3
"EPSTI1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,1,4,2,1,2,2,3,2,2,2,2,3,4
"COX5BP6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,2,2,2,1,3,2,2,0,2,3,3,2,1,2,3,4
"TCF19",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,3,3,2,2,2,3,3,2,4,2,2,3,4,2,2,2,6,6
"MUTYH",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,3,2,2,2,6,3,2,4,2,2,2,2,2,2,1,3,3
"FAM157C",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,1,2,2,3,3,2,4,1,1,3,2,2,1,3,2,2
"RXRB",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,2,3,2,2,2,3,3,2,4,2,2,3,4,2,2,2,2,6
"ARFGAP3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1,2,2,1,2,3,2,2,4,2,2,6,2,2,2,1,2,2
"ICAM1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,5,2,2,2,4,3,2,4,2,2,2,4,3,1,2,2,4
"ATRAID",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,3,2,2,4,2,2,6,2,2,2,2,4,2
"LINC01956",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,4,2,2,5,2,2,2,2,3,3
"PKNOX1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,3,2,2,2,3,3,2,4,1,2,4,2,2,1,2,3,4
"ARHGEF3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,0,2,3,2,2,4,2,2,4,3,2,1,2,3,4
"IQGAP2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,3,2,2,2,1,3,2,4,2,1,2,4,2,1,2,5,4
"GNB3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,2,5,2,2,2,3,3,2,4,2,2,2,4,1,1,2,3,4
"MRM1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,3,1,2,2,6,2,2,4,3,3,4,2,2,3,2,6,4
"STAT2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,3,4,2,4,2,1,3,4,2,1,1,4,4
"CDK5RAP2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,4,2,1,1,4,2
"AC234782.2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,1,2,2,2,2,2,3,2,4,2,2,3,3,1,1,2,3,4
